SHB,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"3,746","3,752","3,743","3,736","3,722"
a. Nguyên giá TSCĐ,"3,866","3,881","3,881","3,881","3,844"
b. Hao mòn TSCĐ,-120,-129,-138,-145,-122
X. Bất động sản đầu tư,17,17,17,17,17
a. Nguyên giá BĐSĐT,17,17,17,17,17
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","12,674","13,268","13,547","13,647","14,691"
1. Các khoản phải thu,"2,088","2,446","2,350","1,608","1,561"
"2. Các khoản lãi, phí phải thu","5,784","5,981","6,243","7,327","7,146"
3. Tài sản thuế TNDN hoãn lại,0,0,,,
4. Tài sản Có khác,"4,876","5,097","5,203","4,942","6,026"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-75,-256,-250,-230,-42
TỔNG CỘNG TÀI SẢN,"143,740","128,031","140,611","153,160","169,363"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"2,119",503,,761,761
II. Tiền gửi và vay các TCTD khác,"20,685","3,181","10,571","19,491","28,357"
1. Tiền gửi của các TCTD khác,"12,156","2,481","7,945","14,306","21,506"
2. Vay các TCTD khác,"8,530",699,"2,626","5,185","6,851"
III. Tiền gửi của khách hàng,"90,714","98,082","109,471","114,740","123,215"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,6,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",476,493,586,,
VI. Phát hành giấy tờ có giá,"16,910","12,357","6,643","5,179","3,911"
VII. Các khoản nợ khác,"2,499","2,830","2,539","2,641","2,600"
"1. Các khoản lãi, phí phải trả","1,374","1,587","1,393","1,712","1,730"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"1,067","1,174","1,064",835,870
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),59,69,82,94,
TỔNG NỢ PHẢI TRẢ,"133,410","117,446","129,809","142,813","158,844"
VIII. Vốn và các quỹ,"10,327","10,582","10,799","10,344","10,516"
1. Vốn của TCTD,"8,962","8,962","8,962","8,962","8,962"
a. Vốn điều lệ,"8,866","8,866","8,866","8,866","8,866"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,102,102,102,102,102
d. Cổ phiếu quỹ,-5,-5,-5,-5,-5
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,518,642,626,626,626
3. Chênh lệch tỷ giá hối đoái,0,5,1,-6,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,847,972,"1,209",762,928
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,3,3,3,3,3
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"143,740","128,031","140,611","153,160","169,363"
