SHB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
3. Đầu tư dài hạn khác,327,324,324,313,299
4. Dự phòng giảm giá đầu tư dài hạn,-20,-17,-16,-10,-10
IX. Tài sản cố định,"4,078","4,057","4,031","4,055","4,032"
1. Tài sản cố định hữu hình,364,349,328,360,343
a. Nguyên giá TSCĐ,780,786,787,813,816
b. Hao mòn TSCĐ,-416,-436,-458,-453,-472
2. Tài sản cố định thuê tài chính,0,0,0,0,0
a. Nguyên giá TSCĐ,0,0,0,0,0
b. Hao mòn TSCĐ,0,0,0,0,0
3. Tài sản cố định vô hình,"3,714","3,707","3,703","3,695","3,689"
a. Nguyên giá TSCĐ,"3,844","3,845","3,849","3,849","3,849"
b. Hao mòn TSCĐ,-130,-138,-145,-153,-161
X. Bất động sản đầu tư,17,17,17,0,17
a. Nguyên giá BĐSĐT,17,17,17,0,17
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","16,093","15,617","17,348","19,006","16,354"
1. Các khoản phải thu,"1,506","1,462","1,245","1,842","1,668"
"2. Các khoản lãi, phí phải thu","7,769","8,034","8,875","8,848","8,994"
3. Tài sản thuế TNDN hoãn lại,0,0,0,0,0
4. Tài sản Có khác,"6,871","6,177","7,285","8,387","5,763"
- Trong đó: Lợi thế thương mại,0,0,0,0,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-54,-56,-56,-71,-71
TỔNG CỘNG TÀI SẢN,"165,930","177,746","183,309","204,765","203,631"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,0,2,16,"4,225",518
II. Tiền gửi và vay các TCTD khác,"12,157","17,219","18,762","28,144","24,462"
1. Tiền gửi của các TCTD khác,"11,080","14,997","16,184","24,318","20,648"
2. Vay các TCTD khác,"1,077","2,221","2,578","3,826","3,814"
III. Tiền gửi của khách hàng,"134,602","140,948","144,221","148,813","154,817"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,8,14,100,37
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",225,269,370,415,411
VI. Phát hành giấy tờ có giá,"5,601","5,611","5,568","8,259","8,440"
VII. Các khoản nợ khác,"2,663","2,795","3,280","3,551","3,395"
"1. Các khoản lãi, phí phải trả","1,879","2,179","2,723","3,037","2,967"
2. Thuế TNDN hoãn lại phải trả,0,0,0,0,0
3. Các khoản phải trả và công nợ khác,785,615,557,513,428
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,0,0,0
TỔNG NỢ PHẢI TRẢ,"155,248","166,851","172,231","193,507","192,080"
VIII. Vốn và các quỹ,"10,682","10,896","11,077","11,258","11,551"
1. Vốn của TCTD,"8,962","8,962","9,582","9,582","9,582"
a. Vốn điều lệ,"8,866","8,866","9,486","9,486","9,486"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,102,102,102,102,102
d. Cổ phiếu quỹ,-5,-5,-5,-5,-5
e. Cổ phiếu ưu đãi,0,0,0,0,0
g. Vốn khác,0,0,0,0,0
2. Quỹ của TCTD,734,754,754,754,864
3. Chênh lệch tỷ giá hối đoái,3,0,-9,0,-1
4. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,980,"1,176",746,918,"1,103"
6. Lợi ích cổ đông không kiểm soát,3,3,3,3,2
IX. Lợi ích của cổ đông thiểu số,0,0,0,0,0
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"165,930","177,746","183,309","204,765","203,631"
