SHB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
II. Tiền gửi và vay các TCTD khác,"71,043","56,704","79,623","75,909","85,190"
1. Tiền gửi của các TCTD khác,"65,894","54,619","74,319","71,103","72,513"
2. Vay các TCTD khác,"5,148","2,084","5,304","4,807","12,677"
III. Tiền gửi của khách hàng,"310,924","324,243","327,318","333,639","339,768"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,67
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","4,091","4,006","4,952","4,906","1,773"
VI. Phát hành giấy tờ có giá,"36,604","41,171","46,292","49,572","40,194"
VII. Các khoản nợ khác,"8,146","9,114","11,183","12,225","14,000"
"1. Các khoản lãi, phí phải trả","6,732","7,601","7,863","8,247","8,300"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"1,414","1,513","3,320","3,978","5,700"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"431,365","435,915","470,880","477,735","482,450"
VIII. Vốn và các quỹ,"26,984","28,680","35,676","37,819","39,681"
1. Vốn của TCTD,"19,357","19,357","28,118","28,118","28,118"
a. Vốn điều lệ,"19,260","19,260","26,674","26,674","26,674"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,102,102,"1,450","1,450","1,450"
d. Cổ phiếu quỹ,-5,-5,-5,-5,-5
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"2,201","2,206","2,901","2,912","2,905"
3. Chênh lệch tỷ giá hối đoái,-4,2,,-340,-520
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"5,429","7,115","4,657","7,129","9,178"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"458,349","464,595","506,556","515,553","522,131"
