SHB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
4. Dự phòng giảm giá đầu tư dài hạn,-33,-33,-33,-33,-33
IX. Tài sản cố định,"4,823","4,861","4,876","4,882","4,890"
1. Tài sản cố định hữu hình,503,518,530,533,535
a. Nguyên giá TSCĐ,"1,228","1,255","1,275","1,289","1,305"
b. Hao mòn TSCĐ,-725,-737,-745,-756,-770
2. Tài sản cố định thuê tài chính,,18,17,16,15
a. Nguyên giá TSCĐ,,23,22,22,22
b. Hao mòn TSCĐ,,-4,-5,-6,-6
3. Tài sản cố định vô hình,"4,321","4,325","4,329","4,333","4,340"
a. Nguyên giá TSCĐ,"4,604","4,610","4,616","4,623","4,633"
b. Hao mòn TSCĐ,-283,-285,-287,-290,-293
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","32,116","33,291","34,537","29,450","25,690"
1. Các khoản phải thu,"15,915","12,985","15,768","17,578","13,926"
"2. Các khoản lãi, phí phải thu","9,641","11,521","13,205","7,672","9,772"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,"7,073","9,330","6,328","4,523","2,339"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-512,-545,-765,-323,-347
TỔNG CỘNG TÀI SẢN,"368,982","391,410","401,926","412,918","418,408"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,699,670,642,610,587
II. Tiền gửi và vay các TCTD khác,"47,483","43,509","34,948","38,468","47,839"
1. Tiền gửi của các TCTD khác,"32,538","27,580","17,617","21,800","33,691"
2. Vay các TCTD khác,"14,945","15,929","17,331","16,668","14,148"
III. Tiền gửi của khách hàng,"262,540","279,504","296,517","303,632","300,654"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,16,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","2,784","2,764","3,155","3,969","3,693"
VI. Phát hành giấy tờ có giá,"25,480","33,018","32,522","31,034","31,218"
VII. Các khoản nợ khác,"10,776","8,867","10,266","10,812","8,804"
"1. Các khoản lãi, phí phải trả","8,431","8,075","9,335","8,713","7,572"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"2,345",792,931,"2,099","1,231"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"349,777","368,332","378,050","388,525","392,795"
VIII. Vốn và các quỹ,"19,204","23,078","23,876","24,393","25,612"
1. Vốn của TCTD,"14,647","17,655","17,655","17,655","17,607"
a. Vốn điều lệ,"14,551","17,558","17,558","17,558","17,510"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,102,102,102,102,102
d. Cổ phiếu quỹ,-5,-5,-5,-5,-5
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"1,798","1,823","1,823","1,822","2,195"
3. Chênh lệch tỷ giá hối đoái,7,,6,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"2,752","3,600","4,393","4,916","5,811"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"368,982","391,410","401,926","412,918","418,408"
