SHB,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
"XI. Tài sản ""Có"" khác","11,546","11,496","11,682","11,648","12,444"
1. Các khoản phải thu,"2,890","2,686","2,140","2,216","2,095"
"2. Các khoản lãi, phí phải thu","3,981","4,539","4,661","4,751","5,614"
3. Tài sản thuế TNDN hoãn lại,,0,0,0,0
4. Tài sản Có khác,"4,675","4,271","4,935","4,753","4,807"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,,-54,-72,-71
TỔNG CỘNG TÀI SẢN,"103,785","117,569","104,400","104,525","116,764"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,800,,,,
II. Tiền gửi và vay các TCTD khác,"21,081","21,777","11,276","12,710","14,502"
1. Tiền gửi của các TCTD khác,"20,801","15,506","9,508","9,442","2,750"
2. Vay các TCTD khác,280,"6,272","1,768","3,268","11,752"
III. Tiền gửi của khách hàng,"65,285","77,599","78,411","76,861","80,583"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,6
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",353,385,423,442,464
VI. Phát hành giấy tờ có giá,"4,269","4,370","2,172","2,618","8,832"
VII. Các khoản nợ khác,"3,671","3,930","2,427","2,115","2,335"
"1. Các khoản lãi, phí phải trả","1,577","1,945","1,357","1,112","1,338"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"2,000","1,889","1,030",962,945
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),93,96,40,40,52
TỔNG NỢ PHẢI TRẢ,"95,459","108,062","94,709","94,747","106,722"
VIII. Vốn và các quỹ,"8,324","9,505","9,688","9,775","10,040"
1. Vốn của TCTD,"8,960","8,962","8,962","8,962","8,962"
a. Vốn điều lệ,"8,866","8,866","8,866","8,866","8,866"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,99,102,102,102,102
d. Cổ phiếu quỹ,-5,-5,-5,-5,-5
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,518,518,518,518,518
3. Chênh lệch tỷ giá hối đoái,,0,-34,,-64
4. Chênh lệch đánh giá lại tài sản,-24,,,-55,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"-1,130",25,242,351,623
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,2,3,3,3,3
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"103,785","117,569","104,400","104,525","116,764"
