SSI,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giao dịch mua bán lại trái phiếu Chính phủ (TS),,,0,,
5. Tài sản ngắn hạn khác,38,2,23,20,7
6. Dự phòng suy giảm giá trị tài sản ngắn hạn khác,,,0,,
B. TÀI SẢN DÀI HẠN,"3,412","3,494","3,524","3,514","3,441"
I. Tài sản tài chính dài hạn,"2,726","2,773","2,809","2,847","2,765"
1. Các khoản phải thu dài hạn,,,0,,
1.1. Phải thu dài hạn của khách hàng,,,0,,
1.2. Vốn kinh doanh ở các đơn vị trực thuộc,,,0,,
1.3.  Phải thu dài hạn nội bộ,,,0,,
1.4. Phải thu dài hạn khác,,,0,,
1.5. Dự phòng phải thu dài hạn khó đòi,,,0,,
2. Các khoản đầu tư,"2,726","2,773","2,809","2,847","2,765"
2.1. Các khoản đầu tư nắm giữ đến ngày đáo hạn,"2,121","2,156","2,192","2,228","2,134"
2.2. Đầu tư vào công ty con,,,0,,
"2.3 Đầu tư vào công ty liên kết, liên doanh",605,617,617,620,631
2.4 Đầu tư chứng khoán dài hạn,,,0,,
- Chứng khoán sẵn sàng để bán,,,0,,
- Chứng khoán nắm giữ đến ngày đáo hạn,,,0,,
2.5 Đầu tư dài hạn khác,,,0,,
2.6 Dự phòng giảm giá đầu tư dài hạn,,,0,,
II. Tài sản cố định,206,282,261,249,277
1. Tài sản cố định hữu hình,139,182,167,155,187
- Nguyên giá,309,365,365,368,411
- Giá trị hao mòn lũy kế,-170,-184,-197,-213,-225
- Đánh giá TSCĐHH theo giá trị hợp lý,,,0,,
2. Tài sản cố định thuê tài chính,,,0,,
- Nguyên giá,,,0,,
- Giá trị hao mòn lũy kế,,,0,,
- Đánh giá TSCĐTTC theo giá trị hợp lý,,,0,,
3. Tài sản cố định vô hình,67,100,94,94,90
- Nguyên giá,196,237,240,248,252
- Giá trị hao mòn lũy kế,-129,-137,-146,-154,-162
- Đánh giá TSCĐVH theo giá trị hợp lý,,,0,,
III. Bất động sản đầu tư,271,265,261,234,238
- Nguyên giá,371,365,364,325,335
- Giá trị hao mòn lũy kế,-99,-100,-102,-91,-96
- Đánh giá BĐSĐT theo giá trị hợp lý,,,0,,
IV. Chi phí xây dựng cơ bản dở dang,56,26,27,30,32
V. Tài sản dài hạn khác,153,148,167,154,129
"1. Cầm cố, thế chấp, ký quỹ, ký cược dài hạn",33,34,34,34,34
2. Chi phí trả trước dài hạn,48,53,45,41,35
3. Tài sản thuế thu nhập hoãn lại,37,23,32,17,17
4. Tiền nộp Quỹ hỗ trợ thanh toán,20,20,20,20,20
5. Tài sản dài hạn khác,,,0,,
6. Lợi thế thương mại,15,19,36,42,23
VI. Dự phòng suy giảm giá trị tài sản dài hạn,,,0,,
TỔNG CỘNG TÀI SẢN (270=100+200),"45,436","52,226","52,709","50,136","55,282"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ (300=310+340),"23,275","29,843","29,736","28,143","32,575"
I. Nợ ngắn hạn,"23,221","29,789","29,680","28,087","32,517"
1. Vay và nợ thuê tài chính ngắn hạn,"21,405","27,892","28,207","24,771","30,410"
1.1. Vay ngắn hạn,"21,405","27,892","28,207","24,771","30,410"
1.2 Nợ thuê tài sản tài chính ngắn hạn,,,0,,
2. Vay tài sản tài chính ngắn hạn,,,0,,
3. Trái phiếu chuyển đổi ngắn hạn,,,0,,
4. Trái phiếu phát hành ngắn hạn,,,0,,
5. Vay quỹ hỗ trợ thanh toán,,,0,,
6. Phải trả hoạt động giao dịch chứng khoán,22,49,33,37,209
7. Phải trả về lỗi giao dịch các tài sản tài chính,,,0,,
8. Phải trả người bán ngắn hạn,31,319,183,29,249
9. Người mua trả tiền trước ngắn hạn,7,5,5,215,217
10. Thuế và các khoản phải nộp Nhà nước,146,115,158,187,250
11. Phải trả người lao động,99,114,57,57,57
12. Các khoản trích nộp phúc lợi nhân viên,1,1,1,1,1
13. Chi phí phải trả ngắn hạn,57,58,56,69,66
14. Phải trả nội bộ ngắn hạn,,,0,,
15. Doanh thu chưa thực hiện ngắn hạn,1,0,0,4,7
"16. Nhận ký quỹ, ký cược ngắn hạn",1,0,0,0,0
"17. Các khoản phải trả, phải nộp khác ngắn hạn","1,124",913,721,"2,408",743
"Phải trả hộ cổ tức, gốc và lãi trái phiếu",,,0,,
Phải trả tổ chức phát hành chứng khoán,,,0,,
18. Dự phòng phải trả ngắn hạn,,,0,,
Giao dịch mua bán lại trái phiếu chính phủ,,,0,,
19. Quỹ khen thưởng phúc lợi,326,322,260,310,306
II. Nợ dài hạn,53,54,56,55,58
1. Vay và nợ thuê tài chính dài hạn,,,0,,
1.1. Vay dài hạn,,,0,,
1.2 Nợ thuê tài sản tài chính dài hạn,,,0,,
2. Vay tài sản tài chính dài hạn,,,0,,
3. Trái phiếu chuyển đổi dài hạn,,,0,,
4. Trái phiếu phát hành dài hạn,,,0,,
5. Phải trả người bán dài hạn,,,0,,
6. Người mua trả tiền trước dài hạn,,,0,,
7. Chi phí phải trả dài hạn,,,0,,
8. Phải trả nội bộ dài hạn,,,0,,
9. Doanh thu chưa thực hiện dài hạn,53,53,53,52,52
"10. Nhận ký quỹ, ký cược dài hạn",,,0,,
"11. Phải trả, phải nộp khác dài hạn",,,0,,
Vốn nhận ủy thác đầu tư dài hạn,,,0,,
Dự phòng trợ cấp mất việc làm,,,0,,
12. Dự phòng phải trả dài hạn,,,0,,
13. Dự phòng bồi thường thiệt hại cho nhà đầu tư,,,0,,
14. Thuế thu nhập hoãn lại phải trả,0,1,3,3,6
15. Quỹ phát triển khoa học và công nghệ,,,0,,
B. VỐN CHỦ SỞ HỮU (400=410+420),"22,162","22,384","22,973","21,994","22,708"
I. Vốn chủ sở hữu,"22,162","22,384","22,973","21,994","22,708"
1. Vốn đầu tư của chủ sở hữu,"18,191","18,191","18,291","18,291","18,291"
1.1. Vốn góp của chủ sở hữu,"14,911","14,911","15,011","15,011","15,011"
a. Cổ phiếu phổ thông,"14,911","14,911","15,011","15,011","15,011"
b. Cổ phiếu ưu đãi,,,0,,
1.2. Thặng dư vốn cổ phần,"3,299","3,299","3,299","3,299","3,299"
1.3. Quyền chọn chuyển đổi trái phiếu,,,0,,
1.4. Vốn khác của chủ sở hữu,,,0,,
1.5. Cổ phiếu quỹ,-19,-19,-19,-19,-19
2. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,-4,-6,-18,-16,-24
3. Chênh lệch tỷ giá hối đoái,49,45,43,45,56
4. Quỹ dự trữ điều lệ,61,61,61,61,61
Quỹ đầu tư phát triển,,,0,,
5. Quỹ dự phòng tài chính và rủi ro nghề nghiệp,,,0,,
6. Quỹ khác thuộc vốn chủ sở hữu,,,0,,
7. Lợi nhuận sau thuế chưa phân phối,"3,720","3,954","4,456","3,469","4,181"
7.1. Lợi nhuận đã thực hiện,"3,851","4,080","4,460","3,456","4,170"
7.2. Lợi nhuận chưa thực hiện,-131,-126,-4,13,11
Nguồn vốn đầu tư XDCB,,,0,,
Quỹ hỗ trợ sắp xếp doanh nghiệp,,,0,,
8. Lợi ích cổ đông không nắm quyền kiểm soát,144,139,138,143,142
II. Nguồn kinh phí và quỹ khác,,,0,,
1. Nguồn kinh phí,,,0,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,0,,
TỔNG CỘNG NGUỒN VỐN  (440=300+400),"45,436","52,226","52,709","50,136","55,282"
LỢI NHUẬN ĐÃ PHÂN PHỐI CHO NHÀ ĐẦU TƯ,,,0,,
1. Lợi nhuận đã phân phối cho Nhà đầu tư trong năm,,,0,,
