SSI,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Hàng tồn kho (chi tiết),,,,,
Dự phòng giảm giá hàng tồn kho,,,,,
II. Tài sản ngắn hạn khác,96,129,107,205,119
1. Tạm ứng,19,22,23,28,21
"2. Vật tư văn phòng, công cụ, dụng cụ",1,1,1,1,1
3. Chi phí trả trước ngắn hạn,63,57,59,44,55
"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn",0,0,0,0,1
8. Thuế GTGT còn được khấu trừ,,,,,
Thuế và các khoản khác phải thu của nhà nước,,0,0,0,0
Giao dịch mua bán lại trái phiếu Chính phủ (TS),,,,,
5. Tài sản ngắn hạn khác,12,49,24,133,42
6. Dự phòng suy giảm giá trị tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"3,486","3,531","3,550","1,898","2,575"
I. Tài sản tài chính dài hạn,"2,821","2,874","2,903","1,281","1,626"
1. Các khoản phải thu dài hạn,,,,,
1.1. Phải thu dài hạn của khách hàng,,,,,
1.2. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
1.3.  Phải thu dài hạn nội bộ,,,,,
1.4. Phải thu dài hạn khác,,,,,
1.5. Dự phòng phải thu dài hạn khó đòi,,,,,
2. Các khoản đầu tư,"2,821","2,874","2,903","1,281","1,626"
2.1. Các khoản đầu tư nắm giữ đến ngày đáo hạn,"2,172","2,210","2,249",605,938
2.2. Đầu tư vào công ty con,,,,,
"2.3 Đầu tư vào công ty liên kết, liên doanh",650,664,654,676,687
2.4 Đầu tư chứng khoán dài hạn,,,,,
- Chứng khoán sẵn sàng để bán,,,,,
- Chứng khoán nắm giữ đến ngày đáo hạn,,,,,
2.5 Đầu tư dài hạn khác,,,,,
2.6 Dự phòng giảm giá đầu tư dài hạn,,,,,
II. Tài sản cố định,269,249,228,235,231
1. Tài sản cố định hữu hình,172,158,144,130,119
- Nguyên giá,409,409,408,408,408
- Giá trị hao mòn lũy kế,-237,-251,-264,-278,-290
- Đánh giá TSCĐHH theo giá trị hợp lý,,,,,
2. Tài sản cố định thuê tài chính,,,,,
- Nguyên giá,,,,,
- Giá trị hao mòn lũy kế,,,,,
- Đánh giá TSCĐTTC theo giá trị hợp lý,,,,,
3. Tài sản cố định vô hình,97,91,84,105,113
- Nguyên giá,255,260,265,297,314
- Giá trị hao mòn lũy kế,-158,-169,-181,-193,-201
- Đánh giá TSCĐVH theo giá trị hợp lý,,,,,
III. Bất động sản đầu tư,236,239,242,232,200
- Nguyên giá,334,342,351,339,287
- Giá trị hao mòn lũy kế,-99,-103,-108,-107,-87
- Đánh giá BĐSĐT theo giá trị hợp lý,,,,,
IV. Chi phí xây dựng cơ bản dở dang,32,39,48,26,388
V. Tài sản dài hạn khác,127,130,129,125,130
"1. Cầm cố, thế chấp, ký quỹ, ký cược dài hạn",34,34,35,35,31
2. Chi phí trả trước dài hạn,30,26,29,27,22
3. Tài sản thuế thu nhập hoãn lại,19,25,19,17,24
4. Tiền nộp Quỹ hỗ trợ thanh toán,20,20,20,20,20
5. Tài sản dài hạn khác,,,,,
6. Lợi thế thương mại,24,26,26,26,33
VI. Dự phòng suy giảm giá trị tài sản dài hạn,,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),"69,241","65,488","71,108","66,181","73,507"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ (300=310+340),"46,000","41,467","46,268","42,066","46,681"
I. Nợ ngắn hạn,"45,939","41,413","46,201","41,981","46,599"
1. Vay và nợ thuê tài chính ngắn hạn,"43,169","40,100","45,073","39,286","45,502"
1.1. Vay ngắn hạn,"43,169","40,100","45,073","39,286","45,502"
1.2 Nợ thuê tài sản tài chính ngắn hạn,,,,,
2. Vay tài sản tài chính ngắn hạn,,,,,
3. Trái phiếu chuyển đổi ngắn hạn,,,,,
4. Trái phiếu phát hành ngắn hạn,,,,,
5. Vay quỹ hỗ trợ thanh toán,,,,,
6. Phải trả hoạt động giao dịch chứng khoán,141,213,262,302,228
7. Phải trả về lỗi giao dịch các tài sản tài chính,,,,,
8. Phải trả người bán ngắn hạn,862,418,62,122,103
9. Người mua trả tiền trước ngắn hạn,24,34,28,31,26
10. Thuế và các khoản phải nộp Nhà nước,360,259,259,225,201
11. Phải trả người lao động,108,49,49,49,94
12. Các khoản trích nộp phúc lợi nhân viên,1,1,1,1,1
13. Chi phí phải trả ngắn hạn,68,98,83,75,68
14. Phải trả nội bộ ngắn hạn,,,,,
15. Doanh thu chưa thực hiện ngắn hạn,1,1,2,1,1
"16. Nhận ký quỹ, ký cược ngắn hạn",0,0,0,0,0
"17. Các khoản phải trả, phải nộp khác ngắn hạn",903,24,17,"1,526",18
"Phải trả hộ cổ tức, gốc và lãi trái phiếu",,,,,
Phải trả tổ chức phát hành chứng khoán,,,,,
18. Dự phòng phải trả ngắn hạn,,,,,
Giao dịch mua bán lại trái phiếu chính phủ,,,,,
19. Quỹ khen thưởng phúc lợi,302,217,366,364,357
II. Nợ dài hạn,61,54,66,86,81
1. Vay và nợ thuê tài chính dài hạn,,,,,
1.1. Vay dài hạn,,,,,
1.2 Nợ thuê tài sản tài chính dài hạn,,,,,
2. Vay tài sản tài chính dài hạn,,,,,
3. Trái phiếu chuyển đổi dài hạn,,,,,
4. Trái phiếu phát hành dài hạn,,,,,
5. Phải trả người bán dài hạn,,,,,
6. Người mua trả tiền trước dài hạn,,,,,
7. Chi phí phải trả dài hạn,,,,,
8. Phải trả nội bộ dài hạn,,,,,
9. Doanh thu chưa thực hiện dài hạn,52,52,52,52,55
"10. Nhận ký quỹ, ký cược dài hạn",,,,,
"11. Phải trả, phải nộp khác dài hạn",,,,,
Vốn nhận ủy thác đầu tư dài hạn,,,,,
Dự phòng trợ cấp mất việc làm,,,,,
12. Dự phòng phải trả dài hạn,,,,,
13. Dự phòng bồi thường thiệt hại cho nhà đầu tư,,,,,
14. Thuế thu nhập hoãn lại phải trả,9,2,14,33,27
15. Quỹ phát triển khoa học và công nghệ,,,,,
B. VỐN CHỦ SỞ HỮU (400=410+420),"23,241","24,021","24,840","24,115","26,827"
I. Vốn chủ sở hữu,"23,241","24,021","24,840","24,115","26,827"
1. Vốn đầu tư của chủ sở hữu,"18,291","18,291","18,391","18,449","20,713"
1.1. Vốn góp của chủ sở hữu,"15,011","15,011","15,111","18,130","19,639"
a. Cổ phiếu phổ thông,"15,011","15,011","15,111","18,130","19,639"
b. Cổ phiếu ưu đãi,,,,,
1.2. Thặng dư vốn cổ phần,"3,299","3,299","3,299",339,"1,094"
1.3. Quyền chọn chuyển đổi trái phiếu,,,,,
1.4. Vốn khác của chủ sở hữu,,,,,
1.5. Cổ phiếu quỹ,-19,-19,-19,-19,-19
2. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,-4,5,20,22,32
3. Chênh lệch tỷ giá hối đoái,55,63,72,60,72
4. Quỹ dự trữ điều lệ,61,61,61,3,3
Quỹ đầu tư phát triển,,,,,
5. Quỹ dự phòng tài chính và rủi ro nghề nghiệp,,,,,
6. Quỹ khác thuộc vốn chủ sở hữu,,,,,
7. Lợi nhuận sau thuế chưa phân phối,"4,696","5,460","6,155","5,440","5,856"
7.1. Lợi nhuận đã thực hiện,"4,765","5,534","6,263","5,354","6,025"
7.2. Lợi nhuận chưa thực hiện,-69,-74,-108,86,-169
Nguồn vốn đầu tư XDCB,,,,,
Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
8. Lợi ích cổ đông không nắm quyền kiểm soát,141,141,141,140,151
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
TỔNG CỘNG NGUỒN VỐN  (440=300+400),"69,241","65,488","71,108","66,181","73,507"
LỢI NHUẬN ĐÃ PHÂN PHỐI CHO NHÀ ĐẦU TƯ,,,,,
1. Lợi nhuận đã phân phối cho Nhà đầu tư trong năm,,,,,
