SSI,Q3/2007,Q4/2007,Q1/2008,Q2/2008,Q3/2008
5. Tài sản ngắn hạn khác,11,21,15,9,50
6. Dự phòng suy giảm giá trị tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,291,"3,160","3,074","2,875","3,034"
I. Tài sản tài chính dài hạn,,,,,
1. Các khoản phải thu dài hạn,0,0,0,0,0
1.1. Phải thu dài hạn của khách hàng,0,0,0,0,0
1.2. Vốn kinh doanh ở các đơn vị trực thuộc,0,0,0,0,0
1.3.  Phải thu dài hạn nội bộ,0,0,0,0,0
1.4. Phải thu dài hạn khác,0,0,0,0,0
1.5. Dự phòng phải thu dài hạn khó đòi,0,0,0,0,0
2. Các khoản đầu tư,235,"3,051","2,888","2,686","2,867"
2.1. Các khoản đầu tư nắm giữ đến ngày đáo hạn,,,,,
2.2. Đầu tư vào công ty con,0,0,0,0,0
"2.3 Đầu tư vào công ty liên kết, liên doanh",0,0,492,443,475
2.4 Đầu tư chứng khoán dài hạn,235,"3,032","2,420","2,530","2,567"
- Chứng khoán sẵn sàng để bán,235,"3,032","2,420","2,530","2,567"
- Chứng khoán nắm giữ đến ngày đáo hạn,0,0,0,0,0
2.5 Đầu tư dài hạn khác,0,8,78,82,82
2.6 Dự phòng giảm giá đầu tư dài hạn,0,11,-103,-369,-257
II. Tài sản cố định,43,109,164,167,147
1. Tài sản cố định hữu hình,24,36,39,40,39
- Nguyên giá,32,45,39,40,56
- Giá trị hao mòn lũy kế,-8,-9,0,0,-17
- Đánh giá TSCĐHH theo giá trị hợp lý,,,,,
2. Tài sản cố định thuê tài chính,0,0,0,0,0
- Nguyên giá,0,0,0,0,0
- Giá trị hao mòn lũy kế,0,0,0,0,0
- Đánh giá TSCĐTTC theo giá trị hợp lý,,,,,
3. Tài sản cố định vô hình,19,72,125,127,108
- Nguyên giá,20,74,125,127,112
- Giá trị hao mòn lũy kế,-1,-1,0,0,-4
- Đánh giá TSCĐVH theo giá trị hợp lý,,,,,
III. Bất động sản đầu tư,0,0,0,0,0
- Nguyên giá,0,0,0,0,0
- Giá trị hao mòn lũy kế,0,0,0,0,0
- Đánh giá BĐSĐT theo giá trị hợp lý,,,,,
IV. Chi phí xây dựng cơ bản dở dang,0,0,0,0,0
V. Tài sản dài hạn khác,13,0,22,22,21
"1. Cầm cố, thế chấp, ký quỹ, ký cược dài hạn",,,,,
2. Chi phí trả trước dài hạn,13,0,22,22,6
3. Tài sản thuế thu nhập hoãn lại,0,0,0,0,0
4. Tiền nộp Quỹ hỗ trợ thanh toán,0,0,0,0,6
5. Tài sản dài hạn khác,0,0,0,0,8
6. Lợi thế thương mại,0,0,0,0,0
VI. Dự phòng suy giảm giá trị tài sản dài hạn,,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),"6,495","6,134","6,560","5,645","6,066"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ (300=310+340),"2,466","2,083","2,263","1,848","2,025"
I. Nợ ngắn hạn,"1,821","1,526","1,331",941,"1,128"
1. Vay và nợ thuê tài chính ngắn hạn,0,0,"1,331",941,100
1.1. Vay ngắn hạn,,,,,
1.2 Nợ thuê tài sản tài chính ngắn hạn,,,,,
2. Vay tài sản tài chính ngắn hạn,,,,,
3. Trái phiếu chuyển đổi ngắn hạn,,,,,
4. Trái phiếu phát hành ngắn hạn,,,,,
5. Vay quỹ hỗ trợ thanh toán,,,,,
6. Phải trả hoạt động giao dịch chứng khoán,"1,219","1,237",0,0,770
7. Phải trả về lỗi giao dịch các tài sản tài chính,,,,,
8. Phải trả người bán ngắn hạn,8,104,0,0,108
9. Người mua trả tiền trước ngắn hạn,0,0,0,0,3
10. Thuế và các khoản phải nộp Nhà nước,-8,73,0,0,21
11. Phải trả người lao động,0,0,0,0,0
12. Các khoản trích nộp phúc lợi nhân viên,,,,,
13. Chi phí phải trả ngắn hạn,56,80,0,0,62
14. Phải trả nội bộ ngắn hạn,0,0,0,0,0
15. Doanh thu chưa thực hiện ngắn hạn,0,0,0,0,0
"16. Nhận ký quỹ, ký cược ngắn hạn",,,,,
"17. Các khoản phải trả, phải nộp khác ngắn hạn",12,5,0,0,44
"Phải trả hộ cổ tức, gốc và lãi trái phiếu",2,7,0,0,19
Phải trả tổ chức phát hành chứng khoán,518,13,0,0,2
18. Dự phòng phải trả ngắn hạn,0,0,0,0,0
Giao dịch mua bán lại trái phiếu chính phủ,0,0,0,0,0
19. Quỹ khen thưởng phúc lợi,13,8,0,0,0
II. Nợ dài hạn,646,557,932,907,897
1. Vay và nợ thuê tài chính dài hạn,556,556,932,907,389
1.1. Vay dài hạn,,,,,
1.2 Nợ thuê tài sản tài chính dài hạn,,,,,
2. Vay tài sản tài chính dài hạn,,,,,
3. Trái phiếu chuyển đổi dài hạn,,,,,
4. Trái phiếu phát hành dài hạn,,,,,
5. Phải trả người bán dài hạn,0,0,0,0,0
6. Người mua trả tiền trước dài hạn,,,,,
7. Chi phí phải trả dài hạn,,,,,
8. Phải trả nội bộ dài hạn,0,0,0,0,0
9. Doanh thu chưa thực hiện dài hạn,0,0,0,0,0
"10. Nhận ký quỹ, ký cược dài hạn",,,,,
"11. Phải trả, phải nộp khác dài hạn",1,1,0,0,0
Vốn nhận ủy thác đầu tư dài hạn,89,0,0,0,508
Dự phòng trợ cấp mất việc làm,0,0,0,0,0
12. Dự phòng phải trả dài hạn,0,0,0,0,0
13. Dự phòng bồi thường thiệt hại cho nhà đầu tư,0,0,0,0,0
14. Thuế thu nhập hoãn lại phải trả,0,0,0,0,0
15. Quỹ phát triển khoa học và công nghệ,0,0,0,0,0
B. VỐN CHỦ SỞ HỮU (400=410+420),"4,028","4,052","4,297","3,797","4,040"
I. Vốn chủ sở hữu,"4,028","4,052","4,297","3,797","4,040"
1. Vốn đầu tư của chủ sở hữu,,,,,
1.1. Vốn góp của chủ sở hữu,800,"1,200","1,367","1,367","1,367"
a. Cổ phiếu phổ thông,,,,,
b. Cổ phiếu ưu đãi,,,,,
1.2. Thặng dư vốn cổ phần,"2,396","1,996","1,996","1,996","1,996"
1.3. Quyền chọn chuyển đổi trái phiếu,,,,,
1.4. Vốn khác của chủ sở hữu,0,0,0,0,0
1.5. Cổ phiếu quỹ,0,0,0,0,0
2. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,0,0,0,-83,-82
3. Chênh lệch tỷ giá hối đoái,0,0,0,0,0
4. Quỹ dự trữ điều lệ,,,,,
Quỹ đầu tư phát triển,0,0,935,517,104
5. Quỹ dự phòng tài chính và rủi ro nghề nghiệp,27,27,0,0,115
6. Quỹ khác thuộc vốn chủ sở hữu,0,0,0,0,541
7. Lợi nhuận sau thuế chưa phân phối,805,829,0,0,0
7.1. Lợi nhuận đã thực hiện,,,,,
7.2. Lợi nhuận chưa thực hiện,,,,,
Nguồn vốn đầu tư XDCB,0,0,0,0,0
Quỹ hỗ trợ sắp xếp doanh nghiệp,0,0,0,0,0
8. Lợi ích cổ đông không nắm quyền kiểm soát,0,0,0,0,0
II. Nguồn kinh phí và quỹ khác,0,0,0,0,0
1. Nguồn kinh phí,0,0,0,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,0,0,0,0,0
TỔNG CỘNG NGUỒN VỐN  (440=300+400),"6,495","6,134","6,560","5,645","6,066"
LỢI NHUẬN ĐÃ PHÂN PHỐI CHO NHÀ ĐẦU TƯ,,,,,
1. Lợi nhuận đã phân phối cho Nhà đầu tư trong năm,,,,,
