SSI,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Hàng tồn kho,0,,,,
Hàng tồn kho (chi tiết),0,,,,
Dự phòng giảm giá hàng tồn kho,0,,,,
II. Tài sản ngắn hạn khác,32,44,52,39,35
1. Tạm ứng,4,7,6,7,9
"2. Vật tư văn phòng, công cụ, dụng cụ",3,3,2,2,1
3. Chi phí trả trước ngắn hạn,21,30,28,26,20
"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn",1,1,1,1,1
8. Thuế GTGT còn được khấu trừ,0,,,,
Thuế và các khoản khác phải thu của nhà nước,0,,,,
Giao dịch mua bán lại trái phiếu Chính phủ (TS),0,,,,
5. Tài sản ngắn hạn khác,3,3,14,3,4
6. Dự phòng suy giảm giá trị tài sản ngắn hạn khác,0,,,,
B. TÀI SẢN DÀI HẠN,"1,555","3,291","1,894","2,269","4,753"
I. Tài sản tài chính dài hạn,"1,066","2,804","1,411","1,771","4,239"
1. Các khoản phải thu dài hạn,0,,,,
1.1. Phải thu dài hạn của khách hàng,0,,,,
1.2. Vốn kinh doanh ở các đơn vị trực thuộc,0,,,,
1.3.  Phải thu dài hạn nội bộ,0,,,,
1.4. Phải thu dài hạn khác,0,,,,
1.5. Dự phòng phải thu dài hạn khó đòi,0,,,,
2. Các khoản đầu tư,"1,066","2,804","1,411","1,771","4,239"
2.1. Các khoản đầu tư nắm giữ đến ngày đáo hạn,302,"2,046",651,"1,001","3,445"
2.2. Đầu tư vào công ty con,0,,,,
"2.3 Đầu tư vào công ty liên kết, liên doanh",764,758,761,770,794
2.4 Đầu tư chứng khoán dài hạn,0,,,,
- Chứng khoán sẵn sàng để bán,0,,,,
- Chứng khoán nắm giữ đến ngày đáo hạn,0,,,,
2.5 Đầu tư dài hạn khác,0,,,,
2.6 Dự phòng giảm giá đầu tư dài hạn,0,,,,
II. Tài sản cố định,119,112,111,134,147
1. Tài sản cố định hữu hình,84,80,78,85,97
- Nguyên giá,176,176,178,188,206
- Giá trị hao mòn lũy kế,-92,-96,-100,-104,-109
- Đánh giá TSCĐHH theo giá trị hợp lý,0,,,,
2. Tài sản cố định thuê tài chính,0,,,,
- Nguyên giá,0,,,,
- Giá trị hao mòn lũy kế,0,,,,
- Đánh giá TSCĐTTC theo giá trị hợp lý,0,,,,
3. Tài sản cố định vô hình,35,32,34,50,50
- Nguyên giá,101,102,105,124,128
- Giá trị hao mòn lũy kế,-67,-69,-72,-75,-78
- Đánh giá TSCĐVH theo giá trị hợp lý,0,,,,
III. Bất động sản đầu tư,215,212,211,208,206
- Nguyên giá,279,279,280,279,278
- Giá trị hao mòn lũy kế,-64,-66,-69,-71,-72
- Đánh giá BĐSĐT theo giá trị hợp lý,0,,,,
IV. Chi phí xây dựng cơ bản dở dang,5,8,10,4,29
V. Tài sản dài hạn khác,151,154,151,152,132
"1. Cầm cố, thế chấp, ký quỹ, ký cược dài hạn",24,24,24,28,28
2. Chi phí trả trước dài hạn,40,44,41,38,37
3. Tài sản thuế thu nhập hoãn lại,52,51,51,51,32
4. Tiền nộp Quỹ hỗ trợ thanh toán,20,20,20,20,20
5. Tài sản dài hạn khác,15,,,,
6. Lợi thế thương mại,0,15,15,15,15
VI. Dự phòng suy giảm giá trị tài sản dài hạn,0,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),"23,826","25,032","27,241","25,683","27,044"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ (300=310+340),"14,670","15,661","17,753","15,959","17,643"
I. Nợ ngắn hạn,"13,469","14,445","16,534","14,727","16,410"
1. Vay và nợ thuê tài chính ngắn hạn,"11,193","12,576","14,733","13,549","15,550"
1.1. Vay ngắn hạn,"11,193","12,576","14,733","13,549","15,550"
1.2 Nợ thuê tài sản tài chính ngắn hạn,0,,,,
2. Vay tài sản tài chính ngắn hạn,0,,,,
3. Trái phiếu chuyển đổi ngắn hạn,0,,,,
4. Trái phiếu phát hành ngắn hạn,255,,,,
5. Vay quỹ hỗ trợ thanh toán,0,,,,
6. Phải trả hoạt động giao dịch chứng khoán,21,45,6,53,30
7. Phải trả về lỗi giao dịch các tài sản tài chính,0,,,,
8. Phải trả người bán ngắn hạn,10,5,20,9,30
9. Người mua trả tiền trước ngắn hạn,56,67,73,26,5
10. Thuế và các khoản phải nộp Nhà nước,70,76,65,76,59
11. Phải trả người lao động,43,14,12,11,27
12. Các khoản trích nộp phúc lợi nhân viên,0,0,0,0,0
13. Chi phí phải trả ngắn hạn,114,58,98,53,99
14. Phải trả nội bộ ngắn hạn,0,,,,
15. Doanh thu chưa thực hiện ngắn hạn,0,0,1,0,0
"16. Nhận ký quỹ, ký cược ngắn hạn",1,1,1,1,1
"17. Các khoản phải trả, phải nộp khác ngắn hạn","1,490","1,425","1,258",683,343
"Phải trả hộ cổ tức, gốc và lãi trái phiếu",0,,,,
Phải trả tổ chức phát hành chứng khoán,0,,,,
18. Dự phòng phải trả ngắn hạn,0,,,,
Giao dịch mua bán lại trái phiếu chính phủ,0,,,,
19. Quỹ khen thưởng phúc lợi,216,177,267,266,263
II. Nợ dài hạn,"1,201","1,216","1,219","1,232","1,234"
1. Vay và nợ thuê tài chính dài hạn,0,,,,
1.1. Vay dài hạn,0,,,,
1.2 Nợ thuê tài sản tài chính dài hạn,0,,,,
2. Vay tài sản tài chính dài hạn,0,,,,
3. Trái phiếu chuyển đổi dài hạn,"1,068","1,077","1,087","1,096","1,106"
4. Trái phiếu phát hành dài hạn,0,,,,
5. Phải trả người bán dài hạn,0,,,,
6. Người mua trả tiền trước dài hạn,2,3,3,,
7. Chi phí phải trả dài hạn,0,,,,
8. Phải trả nội bộ dài hạn,0,,,,
9. Doanh thu chưa thực hiện dài hạn,51,51,51,51,51
"10. Nhận ký quỹ, ký cược dài hạn",0,0,0,0,
"11. Phải trả, phải nộp khác dài hạn",0,,,,
Vốn nhận ủy thác đầu tư dài hạn,0,,,,
Dự phòng trợ cấp mất việc làm,0,,,,
12. Dự phòng phải trả dài hạn,0,,,,
13. Dự phòng bồi thường thiệt hại cho nhà đầu tư,0,,,,
14. Thuế thu nhập hoãn lại phải trả,78,84,78,84,76
15. Quỹ phát triển khoa học và công nghệ,0,,,,
B. VỐN CHỦ SỞ HỮU (400=410+420),"9,156","9,371","9,488","9,724","9,401"
I. Vốn chủ sở hữu,"9,156","9,371","9,488","9,724","9,401"
1. Vốn đầu tư của chủ sở hữu,"5,235","5,235","5,235","5,225","5,225"
1.1. Vốn góp của chủ sở hữu,"5,101","5,101","5,101","5,101","5,101"
a. Cổ phiếu phổ thông,"5,101","5,101","5,101","5,101","5,101"
b. Cổ phiếu ưu đãi,0,,,,
1.2. Thặng dư vốn cổ phần,29,29,29,29,29
1.3. Quyền chọn chuyển đổi trái phiếu,114,114,114,114,114
1.4. Vốn khác của chủ sở hữu,0,,,,
1.5. Cổ phiếu quỹ,-9,-9,-9,-19,-19
2. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,278,307,296,280,259
3. Chênh lệch tỷ giá hối đoái,41,41,42,41,40
4. Quỹ dự trữ điều lệ,412,412,477,477,477
Quỹ đầu tư phát triển,0,,,,
5. Quỹ dự phòng tài chính và rủi ro nghề nghiệp,328,328,393,393,393
6. Quỹ khác thuộc vốn chủ sở hữu,0,,,,
7. Lợi nhuận sau thuế chưa phân phối,"2,795","2,982","2,978","3,242","2,941"
7.1. Lợi nhuận đã thực hiện,"3,056","3,218","3,223","3,444","3,195"
7.2. Lợi nhuận chưa thực hiện,-261,-236,-245,-202,-253
Nguồn vốn đầu tư XDCB,0,,,,
Quỹ hỗ trợ sắp xếp doanh nghiệp,0,,,,
8. Lợi ích cổ đông không nắm quyền kiểm soát,67,67,66,66,65
II. Nguồn kinh phí và quỹ khác,0,,,,
1. Nguồn kinh phí,0,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,0,,,,
TỔNG CỘNG NGUỒN VỐN  (440=300+400),"23,826","25,032","27,241","25,683","27,044"
LỢI NHUẬN ĐÃ PHÂN PHỐI CHO NHÀ ĐẦU TƯ,0,,,,
1. Lợi nhuận đã phân phối cho Nhà đầu tư trong năm,0,,,,
