SSI,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
11. Phải thu về lỗi giao dịch chứng khoán,,,,,
12. Các khoản phải thu khác,7,4,5,5,7
13. Dự phòng suy giảm giá trị các khoản phải thu,-308,-308,-306,-301,-291
Dự phòng các khoản phải thu ngắn hạn khó đòi,,,,,
Phải thu khách hàng,,,,,
Hàng tồn kho,,,,,
Hàng tồn kho (chi tiết),,,,,
Dự phòng giảm giá hàng tồn kho,,,,,
II. Tài sản ngắn hạn khác,42,39,47,151,54
1. Tạm ứng,13,15,17,9,14
"2. Vật tư văn phòng, công cụ, dụng cụ",1,1,1,1,1
3. Chi phí trả trước ngắn hạn,22,15,23,26,29
"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn",2,2,2,2,1
8. Thuế GTGT còn được khấu trừ,,,,,
Thuế và các khoản khác phải thu của nhà nước,,,,,
Giao dịch mua bán lại trái phiếu Chính phủ (TS),,,,,
5. Tài sản ngắn hạn khác,3,6,5,113,9
6. Dự phòng suy giảm giá trị tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"5,822","5,885","5,883","6,729","4,761"
I. Tài sản tài chính dài hạn,"5,314","5,380","5,391","6,250","4,289"
1. Các khoản phải thu dài hạn,,,,,
1.1. Phải thu dài hạn của khách hàng,,,,,
1.2. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
1.3.  Phải thu dài hạn nội bộ,,,,,
1.4. Phải thu dài hạn khác,,,,,
1.5. Dự phòng phải thu dài hạn khó đòi,,,,,
2. Các khoản đầu tư,"5,314","5,380","5,391","6,250","4,289"
2.1. Các khoản đầu tư nắm giữ đến ngày đáo hạn,"4,517","4,594","4,596","5,465","3,526"
2.2. Đầu tư vào công ty con,,,,,
"2.3 Đầu tư vào công ty liên kết, liên doanh",797,786,795,785,763
2.4 Đầu tư chứng khoán dài hạn,,,,,
- Chứng khoán sẵn sàng để bán,,,,,
- Chứng khoán nắm giữ đến ngày đáo hạn,,,,,
2.5 Đầu tư dài hạn khác,,,,,
2.6 Dự phòng giảm giá đầu tư dài hạn,,,,,
II. Tài sản cố định,139,144,136,148,136
1. Tài sản cố định hữu hình,92,95,90,98,91
- Nguyên giá,206,213,214,228,227
- Giá trị hao mòn lũy kế,-114,-118,-124,-130,-136
- Đánh giá TSCĐHH theo giá trị hợp lý,,,,,
2. Tài sản cố định thuê tài chính,,,,,
- Nguyên giá,,,,,
- Giá trị hao mòn lũy kế,,,,,
- Đánh giá TSCĐTTC theo giá trị hợp lý,,,,,
3. Tài sản cố định vô hình,47,50,47,50,45
- Nguyên giá,129,131,132,139,139
- Giá trị hao mòn lũy kế,-82,-81,-85,-90,-94
- Đánh giá TSCĐVH theo giá trị hợp lý,,,,,
III. Bất động sản đầu tư,207,202,199,197,194
- Nguyên giá,283,278,278,277,277
- Giá trị hao mòn lũy kế,-76,-77,-79,-81,-83
- Đánh giá BĐSĐT theo giá trị hợp lý,,,,,
IV. Chi phí xây dựng cơ bản dở dang,40,39,42,43,45
V. Tài sản dài hạn khác,123,119,115,92,97
"1. Cầm cố, thế chấp, ký quỹ, ký cược dài hạn",28,28,28,17,29
2. Chi phí trả trước dài hạn,31,27,23,26,21
3. Tài sản thuế thu nhập hoãn lại,29,29,29,13,12
4. Tiền nộp Quỹ hỗ trợ thanh toán,20,20,20,20,20
5. Tài sản dài hạn khác,,,,,
6. Lợi thế thương mại,15,15,15,15,15
VI. Dự phòng suy giảm giá trị tài sản dài hạn,,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),"27,500","25,926","26,933","35,770","37,623"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ (300=310+340),"18,219","16,123","17,436","25,897","26,176"
I. Nợ ngắn hạn,"18,153","16,053","17,381","25,823","26,106"
1. Vay và nợ thuê tài chính ngắn hạn,"15,801","13,984","15,305","23,351","24,227"
1.1. Vay ngắn hạn,"15,801","13,984","15,305","23,351","24,227"
1.2 Nợ thuê tài sản tài chính ngắn hạn,,,,,
2. Vay tài sản tài chính ngắn hạn,,,,,
3. Trái phiếu chuyển đổi ngắn hạn,"1,116","1,126","1,136","1,147",
4. Trái phiếu phát hành ngắn hạn,,,,,
5. Vay quỹ hỗ trợ thanh toán,,,,,
6. Phải trả hoạt động giao dịch chứng khoán,1,5,25,217,350
7. Phải trả về lỗi giao dịch các tài sản tài chính,,,,,
8. Phải trả người bán ngắn hạn,9,11,23,31,132
9. Người mua trả tiền trước ngắn hạn,4,23,34,4,64
10. Thuế và các khoản phải nộp Nhà nước,25,160,105,113,171
11. Phải trả người lao động,7,7,7,27,15
12. Các khoản trích nộp phúc lợi nhân viên,0,0,0,0,0
13. Chi phí phải trả ngắn hạn,85,114,83,80,62
14. Phải trả nội bộ ngắn hạn,,,,,
15. Doanh thu chưa thực hiện ngắn hạn,0,0,0,0,0
"16. Nhận ký quỹ, ký cược ngắn hạn",2,2,2,2,2
"17. Các khoản phải trả, phải nộp khác ngắn hạn",868,389,430,622,913
"Phải trả hộ cổ tức, gốc và lãi trái phiếu",,,,,
Phải trả tổ chức phát hành chứng khoán,,,,,
18. Dự phòng phải trả ngắn hạn,,,,,
Giao dịch mua bán lại trái phiếu chính phủ,,,,,
19. Quỹ khen thưởng phúc lợi,236,233,232,229,171
II. Nợ dài hạn,66,69,56,73,70
1. Vay và nợ thuê tài chính dài hạn,,,,,
1.1. Vay dài hạn,,,,,
1.2 Nợ thuê tài sản tài chính dài hạn,,,,,
2. Vay tài sản tài chính dài hạn,,,,,
3. Trái phiếu chuyển đổi dài hạn,,,,,
4. Trái phiếu phát hành dài hạn,,,,,
5. Phải trả người bán dài hạn,,,,,
6. Người mua trả tiền trước dài hạn,,,,,
7. Chi phí phải trả dài hạn,,,,,
8. Phải trả nội bộ dài hạn,,,,,
9. Doanh thu chưa thực hiện dài hạn,53,53,53,53,53
"10. Nhận ký quỹ, ký cược dài hạn",,,,,
"11. Phải trả, phải nộp khác dài hạn",,,,,
Vốn nhận ủy thác đầu tư dài hạn,,,,,
Dự phòng trợ cấp mất việc làm,,,,,
12. Dự phòng phải trả dài hạn,,,,,
13. Dự phòng bồi thường thiệt hại cho nhà đầu tư,,,,,
14. Thuế thu nhập hoãn lại phải trả,13,16,3,20,17
15. Quỹ phát triển khoa học và công nghệ,,,,,
B. VỐN CHỦ SỞ HỮU (400=410+420),"9,280","9,804","9,496","9,873","11,447"
I. Vốn chủ sở hữu,"9,280","9,804","9,496","9,873","11,447"
1. Vốn đầu tư của chủ sở hữu,"5,325","6,154","6,154","6,138","7,288"
1.1. Vốn góp của chủ sở hữu,"5,201","6,029","6,029","6,029","6,498"
a. Cổ phiếu phổ thông,"5,201","6,029","6,029","6,029","6,498"
b. Cổ phiếu ưu đãi,,,,,
1.2. Thặng dư vốn cổ phần,29,29,29,29,825
1.3. Quyền chọn chuyển đổi trái phiếu,114,114,114,114,
1.4. Vốn khác của chủ sở hữu,,,,,
1.5. Cổ phiếu quỹ,-19,-19,-19,-35,-35
2. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,20,35,-16,-5,-4
3. Chênh lệch tỷ giá hối đoái,46,41,40,39,39
4. Quỹ dự trữ điều lệ,477,522,522,522,522
Quỹ đầu tư phát triển,,,,,
5. Quỹ dự phòng tài chính và rủi ro nghề nghiệp,393,438,438,438,438
6. Quỹ khác thuộc vốn chủ sở hữu,,,,,
7. Lợi nhuận sau thuế chưa phân phối,"2,955","2,551","2,296","2,677","3,102"
7.1. Lợi nhuận đã thực hiện,"3,496","2,663","2,332","2,660","3,122"
7.2. Lợi nhuận chưa thực hiện,-542,-112,-36,17,-21
Nguồn vốn đầu tư XDCB,,,,,
Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
8. Lợi ích cổ đông không nắm quyền kiểm soát,64,64,63,63,63
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
TỔNG CỘNG NGUỒN VỐN  (440=300+400),"27,500","25,926","26,933","35,770","37,623"
LỢI NHUẬN ĐÃ PHÂN PHỐI CHO NHÀ ĐẦU TƯ,,,,,
1. Lợi nhuận đã phân phối cho Nhà đầu tư trong năm,,,,,
