SSI,Q4/2008,Q1/2009,Q2/2009,Q3/2009,Q4/2009
Dự phòng giảm giá hàng tồn kho,0,0,0,0,0
II. Tài sản ngắn hạn khác,5,6,6,9,7
1. Tạm ứng,,,,,
"2. Vật tư văn phòng, công cụ, dụng cụ",,,,,
3. Chi phí trả trước ngắn hạn,0,3,3,4,4
"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn",,,,,
8. Thuế GTGT còn được khấu trừ,0,0,0,0,0
Thuế và các khoản khác phải thu của nhà nước,0,0,0,0,0
Giao dịch mua bán lại trái phiếu Chính phủ (TS),0,0,0,0,0
5. Tài sản ngắn hạn khác,5,3,2,5,2
6. Dự phòng suy giảm giá trị tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"2,788","3,043","2,968","2,587","2,339"
I. Tài sản tài chính dài hạn,,,,,
1. Các khoản phải thu dài hạn,0,0,0,0,0
1.1. Phải thu dài hạn của khách hàng,0,0,0,0,0
1.2. Vốn kinh doanh ở các đơn vị trực thuộc,0,0,0,0,0
1.3.  Phải thu dài hạn nội bộ,0,0,0,0,0
1.4. Phải thu dài hạn khác,0,0,0,0,0
1.5. Dự phòng phải thu dài hạn khó đòi,0,0,0,0,0
2. Các khoản đầu tư,"2,606","2,863","2,788","2,402","2,132"
2.1. Các khoản đầu tư nắm giữ đến ngày đáo hạn,,,,,
2.2. Đầu tư vào công ty con,0,0,0,0,0
"2.3 Đầu tư vào công ty liên kết, liên doanh",453,440,468,504,454
2.4 Đầu tư chứng khoán dài hạn,"2,312","2,535","2,315","1,813","1,587"
- Chứng khoán sẵn sàng để bán,"2,312","2,535","2,315","1,813","1,587"
- Chứng khoán nắm giữ đến ngày đáo hạn,0,0,0,0,0
2.5 Đầu tư dài hạn khác,131,131,131,126,126
2.6 Dự phòng giảm giá đầu tư dài hạn,-290,-244,-126,-42,-35
II. Tài sản cố định,163,162,159,163,164
1. Tài sản cố định hữu hình,38,37,35,35,34
- Nguyên giá,38,62,63,66,69
- Giá trị hao mòn lũy kế,0,-24,-28,-31,-35
- Đánh giá TSCĐHH theo giá trị hợp lý,,,,,
2. Tài sản cố định thuê tài chính,0,0,0,0,0
- Nguyên giá,0,0,0,0,0
- Giá trị hao mòn lũy kế,0,0,0,0,0
- Đánh giá TSCĐTTC theo giá trị hợp lý,,,,,
3. Tài sản cố định vô hình,125,124,124,127,129
- Nguyên giá,125,130,131,135,138
- Giá trị hao mòn lũy kế,0,-6,-7,-8,-10
- Đánh giá TSCĐVH theo giá trị hợp lý,,,,,
III. Bất động sản đầu tư,0,0,0,0,0
- Nguyên giá,0,0,0,0,0
- Giá trị hao mòn lũy kế,0,0,0,0,0
- Đánh giá BĐSĐT theo giá trị hợp lý,,,,,
IV. Chi phí xây dựng cơ bản dở dang,0,0,0,1,1
V. Tài sản dài hạn khác,20,18,21,22,43
"1. Cầm cố, thế chấp, ký quỹ, ký cược dài hạn",,,,,
2. Chi phí trả trước dài hạn,20,6,6,8,28
3. Tài sản thuế thu nhập hoãn lại,0,0,0,0,0
4. Tiền nộp Quỹ hỗ trợ thanh toán,0,6,8,8,8
5. Tài sản dài hạn khác,0,6,6,6,7
6. Lợi thế thương mại,0,0,0,0,0
VI. Dự phòng suy giảm giá trị tài sản dài hạn,,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),"5,620","5,496","6,563","7,105","7,077"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ (300=310+340),"1,712","1,517","2,380","2,401","2,258"
I. Nợ ngắn hạn,935,943,"1,778","1,975","1,895"
1. Vay và nợ thuê tài chính ngắn hạn,935,35,0,0,0
1.1. Vay ngắn hạn,,,,,
1.2 Nợ thuê tài sản tài chính ngắn hạn,,,,,
2. Vay tài sản tài chính ngắn hạn,,,,,
3. Trái phiếu chuyển đổi ngắn hạn,,,,,
4. Trái phiếu phát hành ngắn hạn,,,,,
5. Vay quỹ hỗ trợ thanh toán,,,,,
6. Phải trả hoạt động giao dịch chứng khoán,0,723,2,"1,809","1,453"
7. Phải trả về lỗi giao dịch các tài sản tài chính,,,,,
8. Phải trả người bán ngắn hạn,0,63,9,3,1
9. Người mua trả tiền trước ngắn hạn,0,2,2,2,2
10. Thuế và các khoản phải nộp Nhà nước,0,19,44,69,54
11. Phải trả người lao động,0,0,0,0,0
12. Các khoản trích nộp phúc lợi nhân viên,,,,,
13. Chi phí phải trả ngắn hạn,0,9,16,26,33
14. Phải trả nội bộ ngắn hạn,0,0,0,0,0
15. Doanh thu chưa thực hiện ngắn hạn,0,0,0,0,0
"16. Nhận ký quỹ, ký cược ngắn hạn",,,,,
"17. Các khoản phải trả, phải nộp khác ngắn hạn",0,5,5,7,161
"Phải trả hộ cổ tức, gốc và lãi trái phiếu",0,3,13,2,158
Phải trả tổ chức phát hành chứng khoán,0,1,"1,626",1,3
18. Dự phòng phải trả ngắn hạn,0,0,0,0,0
Giao dịch mua bán lại trái phiếu chính phủ,0,0,0,0,0
19. Quỹ khen thưởng phúc lợi,0,83,62,56,31
II. Nợ dài hạn,777,573,601,426,363
1. Vay và nợ thuê tài chính dài hạn,777,222,222,222,222
1.1. Vay dài hạn,,,,,
1.2 Nợ thuê tài sản tài chính dài hạn,,,,,
2. Vay tài sản tài chính dài hạn,,,,,
3. Trái phiếu chuyển đổi dài hạn,,,,,
4. Trái phiếu phát hành dài hạn,,,,,
5. Phải trả người bán dài hạn,0,0,0,0,0
6. Người mua trả tiền trước dài hạn,,,,,
7. Chi phí phải trả dài hạn,,,,,
8. Phải trả nội bộ dài hạn,0,0,0,0,0
9. Doanh thu chưa thực hiện dài hạn,0,0,0,0,0
"10. Nhận ký quỹ, ký cược dài hạn",,,,,
"11. Phải trả, phải nộp khác dài hạn",0,0,375,200,13
Vốn nhận ủy thác đầu tư dài hạn,0,346,0,0,124
Dự phòng trợ cấp mất việc làm,0,5,4,4,4
12. Dự phòng phải trả dài hạn,0,0,0,0,0
13. Dự phòng bồi thường thiệt hại cho nhà đầu tư,0,0,0,0,0
14. Thuế thu nhập hoãn lại phải trả,0,0,0,0,0
15. Quỹ phát triển khoa học và công nghệ,0,0,0,0,0
B. VỐN CHỦ SỞ HỮU (400=410+420),"3,908","3,979","4,183","4,704","4,819"
I. Vốn chủ sở hữu,"3,908","3,979","4,183","4,704","4,819"
1. Vốn đầu tư của chủ sở hữu,,,,,
1.1. Vốn góp của chủ sở hữu,"1,367","1,533","1,533","1,533","1,533"
a. Cổ phiếu phổ thông,,,,,
b. Cổ phiếu ưu đãi,,,,,
1.2. Thặng dư vốn cổ phần,"1,996","1,996","1,996","2,096","2,096"
1.3. Quyền chọn chuyển đổi trái phiếu,,,,,
1.4. Vốn khác của chủ sở hữu,0,0,0,0,0
1.5. Cổ phiếu quỹ,-88,-119,-120,0,0
2. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,0,0,0,0,0
3. Chênh lệch tỷ giá hối đoái,0,0,0,0,0
4. Quỹ dự trữ điều lệ,,,,,
Quỹ đầu tư phát triển,634,0,0,0,0
5. Quỹ dự phòng tài chính và rủi ro nghề nghiệp,0,115,140,140,140
6. Quỹ khác thuộc vốn chủ sở hữu,0,0,0,0,0
7. Lợi nhuận sau thuế chưa phân phối,0,454,634,935,"1,050"
7.1. Lợi nhuận đã thực hiện,,,,,
7.2. Lợi nhuận chưa thực hiện,,,,,
Nguồn vốn đầu tư XDCB,0,0,0,0,0
Quỹ hỗ trợ sắp xếp doanh nghiệp,0,0,0,0,0
8. Lợi ích cổ đông không nắm quyền kiểm soát,0,0,0,0,0
II. Nguồn kinh phí và quỹ khác,0,0,0,0,0
1. Nguồn kinh phí,0,0,0,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,0,0,0,0,0
TỔNG CỘNG NGUỒN VỐN  (440=300+400),"5,620","5,496","6,563","7,105","7,077"
LỢI NHUẬN ĐÃ PHÂN PHỐI CHO NHÀ ĐẦU TƯ,,,,,
1. Lợi nhuận đã phân phối cho Nhà đầu tư trong năm,,,,,
