TCB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,,,"1,448",432,"1,000"
II. Tiền gửi và vay các TCTD khác,"31,099","25,599","24,886","16,917","20,882"
1. Tiền gửi của các TCTD khác,"23,088","20,307","15,115","10,572","14,733"
2. Vay các TCTD khác,"8,011","5,292","9,771","6,345","6,149"
III. Tiền gửi của khách hàng,"149,927","163,515","173,449","178,623","172,100"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,140,57,68,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",558,553,587,,
VI. Phát hành giấy tờ có giá,"8,048","9,842","10,415","10,397","10,320"
VII. Các khoản nợ khác,"5,176","4,462","4,878","5,500","6,286"
"1. Các khoản lãi, phí phải trả","2,488","2,353","2,195","2,426","2,888"
2. Thuế TNDN hoãn lại phải trả,,,,"3,074",
3. Các khoản phải trả và công nợ khác,"2,688","2,109","2,683",,"3,398"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"194,947","204,027","215,731","211,870","210,589"
VIII. Vốn và các quỹ,"17,736","18,743","19,632","20,653","21,751"
1. Vốn của TCTD,"8,878","8,878","8,878","8,878","8,878"
a. Vốn điều lệ,"8,878","8,878","8,878","8,878","8,878"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,,,,,
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"4,745","4,745","5,223","5,219","5,219"
3. Chênh lệch tỷ giá hối đoái,10,-5,,7,-20
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"4,102","5,125","5,531","6,548","7,673"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"212,682","222,770","235,363","232,522","232,340"
