TCB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
X. Bất động sản đầu tư,"1,062","1,053",,,
a. Nguyên giá BĐSĐT,"1,436","1,436",,,
b. Hao mòn BĐSĐT,-374,-383,,,
"XI. Tài sản ""Có"" khác","71,795","70,517","70,304","67,879","71,981"
1. Các khoản phải thu,"62,296","61,609","60,672","57,751","60,920"
"2. Các khoản lãi, phí phải thu","8,681","8,029","8,365","8,875","9,402"
3. Tài sản thuế TNDN hoãn lại,21,61,62,63,66
4. Tài sản Có khác,"1,601","1,617","1,878","1,873","2,298"
- Trong đó: Lợi thế thương mại,,0,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-804,-798,-674,-684,-705
TỔNG CỘNG TÀI SẢN,"671,354","699,033","723,518","732,470","781,279"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,6,8,122,136,50
II. Tiền gửi và vay các TCTD khác,"179,152","167,563","151,194","153,626","159,262"
1. Tiền gửi của các TCTD khác,"68,284","61,294","47,940","49,594","57,582"
2. Vay các TCTD khác,"110,868","106,269","103,254","104,031","101,680"
III. Tiền gửi của khách hàng,"318,919","358,404","387,298","381,947","409,045"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,"1,851",974,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",,0,,,
VI. Phát hành giấy tờ có giá,"42,858","34,007","46,729","54,958","61,825"
VII. Các khoản nợ khác,"20,519","23,775","19,235","19,339","23,967"
"1. Các khoản lãi, phí phải trả","4,750","6,144","8,303","8,118","8,739"
2. Thuế TNDN hoãn lại phải trả,,0,,,
3. Các khoản phải trả và công nợ khác,"15,769","17,631","10,932","11,221","15,228"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,0,,,
TỔNG NỢ PHẢI TRẢ,"561,454","585,608","605,552","610,005","654,149"
VIII. Vốn và các quỹ,"109,899","113,425","117,965","122,465","127,130"
1. Vốn của TCTD,"35,649","36,205","36,205","36,205","36,205"
a. Vốn điều lệ,"35,172","35,172","35,172","35,172","35,172"
b. Vốn đầu tư XDCB,,0,,,
c. Thặng dư vốn cổ phần,476,476,476,476,476
d. Cổ phiếu quỹ,,0,,,
e. Cổ phiếu ưu đãi,,0,,,
g. Vốn khác,,556,556,556,556
2. Quỹ của TCTD,"9,151","11,609","11,607","43,387","43,386"
3. Chênh lệch tỷ giá hối đoái,7,0,5,1,-2
4. Chênh lệch đánh giá lại tài sản,,0,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"64,059","64,483","68,979","41,654","46,267"
6. Lợi ích cổ đông không kiểm soát,"1,032","1,129","1,170","1,218","1,274"
IX. Lợi ích của cổ đông thiểu số,,0,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"671,354","699,033","723,518","732,470","781,279"
