TCB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
a. Nguyên giá TSCĐ,"1,835","1,770","2,050","2,067","1,761"
b. Hao mòn TSCĐ,"-1,047",-978,-942,-956,-968
2. Tài sản cố định thuê tài chính,,,0,0,0
a. Nguyên giá TSCĐ,,,0,0,0
b. Hao mòn TSCĐ,,,0,0,0
3. Tài sản cố định vô hình,931,"2,312","2,331","2,393","2,414"
a. Nguyên giá TSCĐ,"1,540","2,953","3,005","3,041","3,086"
b. Hao mòn TSCĐ,-609,-641,-674,-647,-672
X. Bất động sản đầu tư,"1,196","1,187","1,178","1,169","1,161"
a. Nguyên giá BĐSĐT,"1,436","1,436","1,436","1,436","1,436"
b. Hao mòn BĐSĐT,-239,-248,-257,-266,-275
"XI. Tài sản ""Có"" khác","17,703","11,542","12,621","15,567","19,334"
1. Các khoản phải thu,"11,323","6,049","7,199","9,815","12,954"
"2. Các khoản lãi, phí phải thu","5,738","4,739","4,649","5,112","5,554"
3. Tài sản thuế TNDN hoãn lại,,,0,0,0
4. Tài sản Có khác,717,819,838,784,"1,055"
- Trong đó: Lợi thế thương mại,,,0,0,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-76,-65,-64,-144,-229
TỔNG CỘNG TÀI SẢN,"321,049","326,112","360,663","367,538","383,699"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"6,025","2,699","3,063","2,000",0
II. Tiền gửi và vay các TCTD khác,"36,426","38,643","56,963","58,858","61,267"
1. Tiền gửi của các TCTD khác,"28,973","31,159","47,003","48,419","38,632"
2. Vay các TCTD khác,"7,452","7,484","9,960","10,438","22,634"
III. Tiền gửi của khách hàng,"201,471","207,978","220,263","218,655","231,297"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,310,391,369,306,434
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",,,0,0,0
VI. Phát hành giấy tờ có giá,"13,178","12,866","12,642","14,489","17,461"
VII. Các khoản nợ khác,"11,857","9,660","10,998","14,291","11,169"
"1. Các khoản lãi, phí phải trả","3,425","3,498","3,797","3,542","3,479"
2. Thuế TNDN hoãn lại phải trả,,,0,0,0
3. Các khoản phải trả và công nợ khác,"8,432","6,161","7,202","10,749","7,689"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,0,0,0
TỔNG NỢ PHẢI TRẢ,"269,267","272,237","304,298","308,598","321,627"
VIII. Vốn và các quỹ,"51,783","53,875","56,366","58,941","62,073"
1. Vốn của TCTD,"35,443","35,443","35,443","35,443","35,478"
a. Vốn điều lệ,"34,966","34,966","34,966","34,966","35,001"
b. Vốn đầu tư XDCB,,,0,0,0
c. Thặng dư vốn cổ phần,477,477,477,477,477
d. Cổ phiếu quỹ,,,0,0,0
e. Cổ phiếu ưu đãi,,,0,0,0
g. Vốn khác,,,0,0,0
2. Quỹ của TCTD,"3,868","3,868","3,866","3,858","5,173"
3. Chênh lệch tỷ giá hối đoái,,0,0,0,0
4. Chênh lệch đánh giá lại tài sản,,,0,0,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"12,403","14,486","16,885","19,439","21,130"
6. Lợi ích cổ đông không kiểm soát,69,79,173,201,292
IX. Lợi ích của cổ đông thiểu số,,,0,0,0
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"321,049","326,112","360,663","367,538","383,699"
