TCB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
1. Tài sản cố định hữu hình,"3,528","3,594","3,669","6,975","6,577"
a. Nguyên giá TSCĐ,"5,493","5,704","5,924","9,348","9,081"
b. Hao mòn TSCĐ,"-1,965","-2,110","-2,254","-2,374","-2,504"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"5,365","5,665","5,957","5,778","5,890"
a. Nguyên giá TSCĐ,"7,199","7,696","8,148","8,160","8,485"
b. Hao mòn TSCĐ,"-1,834","-2,031","-2,191","-2,382","-2,595"
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","80,543","73,476","72,011","51,848","39,501"
1. Các khoản phải thu,"69,834","60,267","57,105","36,295","29,541"
"2. Các khoản lãi, phí phải thu","9,681","11,655","13,395","13,922","8,126"
3. Tài sản thuế TNDN hoãn lại,70,70,72,73,80
4. Tài sản Có khác,"1,651","1,853","1,764","1,716","1,819"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-693,-369,-325,-158,-65
TỔNG CỘNG TÀI SẢN,"849,482","885,653","908,307","927,053","978,799"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,0,939,410,21,12
II. Tiền gửi và vay các TCTD khác,"153,173","172,893","154,612","138,462","132,239"
1. Tiền gửi của các TCTD khác,"50,620","76,497","60,471","70,584","72,211"
2. Vay các TCTD khác,"102,553","96,396","94,141","67,878","60,028"
III. Tiền gửi của khách hàng,"454,661","458,041","481,860","494,954","533,392"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,931
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",,,,,
VI. Phát hành giấy tờ có giá,"84,703","93,777","111,985","126,061","140,422"
VII. Các khoản nợ khác,"25,317","22,132","20,887","23,187","23,862"
"1. Các khoản lãi, phí phải trả","9,419","8,126","7,013","7,310","7,282"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"15,898","14,006","13,874","15,878","16,581"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"717,854","747,781","769,755","782,685","830,859"
VIII. Vốn và các quỹ,"131,628","137,873","138,552","144,368","147,940"
1. Vốn của TCTD,"36,257","36,257","71,006","71,006","78,413"
a. Vốn điều lệ,"35,225","35,225","70,450","70,450","70,649"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,476,476,,,0
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,556,556,556,556,"7,764"
2. Quỹ của TCTD,"45,726","45,028","20,845","20,845","24,785"
3. Chênh lệch tỷ giá hối đoái,,-20,-13,10,
4. Chênh lệch đánh giá lại tài sản,,,,,"42,222"
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"48,328","55,234","45,331","51,069",
6. Lợi ích cổ đông không kiểm soát,"1,317","1,373","1,382","1,437","2,520"
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"849,482","885,653","908,307","927,053","978,799"
