ACB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
3. Đầu tư dài hạn khác,102,102,102,102,102
4. Dự phòng giảm giá đầu tư dài hạn,-5,-5,-5,-5,-5
IX. Tài sản cố định,"3,773","3,756","3,729","3,783","3,721"
1. Tài sản cố định hữu hình,"2,729","2,688","2,649","2,717","2,665"
a. Nguyên giá TSCĐ,"4,774","4,795","4,817","4,949","4,951"
b. Hao mòn TSCĐ,"-2,044","-2,107","-2,168","-2,233","-2,286"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"1,043","1,068","1,080","1,066","1,056"
a. Nguyên giá TSCĐ,"1,419","1,461","1,491","1,496","1,504"
b. Hao mòn TSCĐ,-376,-392,-411,-430,-448
X. Bất động sản đầu tư,360,358,356,349,216
a. Nguyên giá BĐSĐT,365,365,365,356,217
b. Hao mòn BĐSĐT,-5,-7,-8,-8,0
"XI. Tài sản ""Có"" khác","6,020","5,252","6,088","6,893","7,258"
1. Các khoản phải thu,"3,435","2,984","3,413","3,046","3,612"
"2. Các khoản lãi, phí phải thu","3,045","2,671","3,042","3,638","3,071"
3. Tài sản thuế TNDN hoãn lại,38,58,52,51,140
4. Tài sản Có khác,959,983,"1,008","1,115","1,029"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,"-1,456","-1,444","-1,428",-957,-594
TỔNG CỘNG TÀI SẢN,"387,396","396,760","418,748","444,530","449,515"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,,,,,
II. Tiền gửi và vay các TCTD khác,"13,433","2,366","17,962","23,875","20,336"
1. Tiền gửi của các TCTD khác,"8,751","1,207","16,865","15,081","12,716"
2. Vay các TCTD khác,"4,682","1,160","1,097","8,794","7,619"
III. Tiền gửi của khách hàng,"312,654","330,551","334,729","353,196","352,218"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,19,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",143,134,128,117,108
VI. Phát hành giấy tờ có giá,"22,989","23,091","22,888","22,050","20,384"
VII. Các khoản nợ khác,"8,745","9,785","10,123","9,844","18,540"
"1. Các khoản lãi, phí phải trả","5,046","5,183","5,386","5,097","5,137"
2. Thuế TNDN hoãn lại phải trả,,,,0,
3. Các khoản phải trả và công nợ khác,"3,699","4,602","4,737","4,747","13,403"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"357,984","365,928","385,829","409,082","411,585"
VIII. Vốn và các quỹ,"29,412","30,832","32,919","35,448","37,929"
1. Vốn của TCTD,"16,899","16,899","21,887","21,887","21,887"
a. Vốn điều lệ,"16,627","16,627","21,616","21,616","21,616"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,272,272,272,272,272
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"4,596","4,596","4,596","5,742","5,742"
3. Chênh lệch tỷ giá hối đoái,10,8,20,,-2
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"7,907","9,329","6,415","7,819","10,302"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"387,396","396,760","418,748","444,530","449,515"
