ACB,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
a. Nguyên giá BĐSĐT,0,0,,,
b. Hao mòn BĐSĐT,0,0,,,
"XI. Tài sản ""Có"" khác","31,727","12,709","12,781","11,096","9,752"
1. Các khoản phải thu,0,0,,,"3,493"
"2. Các khoản lãi, phí phải thu","5,522","4,122","4,925","4,198",
3. Tài sản thuế TNDN hoãn lại,5,5,5,5,5
4. Tài sản Có khác,"26,199","8,747","8,032","7,087","6,472"
- Trong đó: Lợi thế thương mại,0,0,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,-165,-181,-195,-219
TỔNG CỘNG TÀI SẢN,"214,254","177,012","175,910","169,404","160,477"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"5,752",0,,,
II. Tiền gửi và vay các TCTD khác,"20,021","13,749","11,176","7,141","7,077"
1. Tiền gửi của các TCTD khác,"15,126","9,300","7,198","4,805","3,726"
2. Vay các TCTD khác,"4,895","4,449","3,978","2,336","3,351"
III. Tiền gửi của khách hàng,"122,848","125,234","135,305","141,994","133,674"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,0,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",335,316,296,296,324
VI. Phát hành giấy tờ có giá,"40,048","20,201","12,689","3,400","3,300"
VII. Các khoản nợ khác,"12,252","4,748","3,519","4,139","3,291"
"1. Các khoản lãi, phí phải trả","5,942","1,809","2,041","2,174","1,889"
2. Thuế TNDN hoãn lại phải trả,0,0,,"1,909",
3. Các khoản phải trả và công nợ khác,"6,245","2,890","1,428","1,909","1,344"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),65,48,50,56,58
TỔNG NỢ PHẢI TRẢ,"201,257","164,248","162,986","156,970","147,666"
VIII. Vốn và các quỹ,"12,997","12,764","12,924","12,434","12,811"
1. Vốn của TCTD,"9,377","9,377","9,377","9,149","9,118"
a. Vốn điều lệ,"9,377","9,377","9,377","9,377","9,377"
b. Vốn đầu tư XDCB,0,0,,,
c. Thặng dư vốn cổ phần,0,0,,,
d. Cổ phiếu quỹ,0,0,,-228,-259
e. Cổ phiếu ưu đãi,0,0,,,
g. Vốn khác,0,0,,,
2. Quỹ của TCTD,"2,398","2,605","2,568","1,912","1,903"
3. Chênh lệch tỷ giá hối đoái,129,0,7,-8,7
4. Chênh lệch đánh giá lại tài sản,0,0,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,093",782,972,"1,382","1,783"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,0,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"214,254","177,012","175,910","169,404","160,477"
