ACB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
3. Đầu tư dài hạn khác,928,748,742,217,200
4. Dự phòng giảm giá đầu tư dài hạn,-45,-10,-10,-11,-11
IX. Tài sản cố định,"2,560","2,550","2,480","2,480","2,481"
1. Tài sản cố định hữu hình,"2,123","2,114","2,053","2,054","2,052"
a. Nguyên giá TSCĐ,"3,196","3,218","3,193","3,219","3,267"
b. Hao mòn TSCĐ,"-1,073","-1,104","-1,140","-1,165","-1,215"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,437,436,427,425,429
a. Nguyên giá TSCĐ,582,589,590,597,610
b. Hao mòn TSCĐ,-145,-154,-163,-172,-181
X. Bất động sản đầu tư,9,8,8,62,43
a. Nguyên giá BĐSĐT,9,9,9,63,44
b. Hao mòn BĐSĐT,0,-1,-1,-1,-1
"XI. Tài sản ""Có"" khác","9,770","8,672","9,021","9,852","8,027"
1. Các khoản phải thu,"7,076","6,635","6,786","6,957","5,547"
"2. Các khoản lãi, phí phải thu","2,666","1,999","2,358","2,798","2,288"
3. Tài sản thuế TNDN hoãn lại,5,5,3,3,3
4. Tài sản Có khác,565,577,645,657,731
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-543,-543,-770,-563,-541
TỔNG CỘNG TÀI SẢN,"187,311","189,496","192,997","201,457","209,868"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,200,,,"5,179",515
II. Tiền gửi và vay các TCTD khác,"10,871","7,856","4,455","2,433","8,540"
1. Tiền gửi của các TCTD khác,"8,857","5,879","2,747","2,098","6,890"
2. Vay các TCTD khác,"2,014","1,977","1,708",336,"1,650"
III. Tiền gửi của khách hàng,"156,734","162,408","169,248","174,919","181,063"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",172,166,171,162,177
VI. Phát hành giấy tờ có giá,"3,078","3,013","3,000","3,075","3,380"
VII. Các khoản nợ khác,"3,577","3,711","3,508","2,901","3,089"
"1. Các khoản lãi, phí phải trả","1,950","1,924","2,115","1,742","2,111"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"1,627","1,787","1,392","1,160",978
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"174,631","177,154","180,382","188,669","196,764"
VIII. Vốn và các quỹ,"12,680","12,342","12,615","12,788","13,103"
1. Vốn của TCTD,"8,711","8,711","8,711","8,711","8,711"
a. Vốn điều lệ,"9,377","9,377","9,377","9,377","9,377"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,,,,,
d. Cổ phiếu quỹ,-666,-666,-666,-666,-666
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"2,208","2,208","2,208","2,374","2,374"
3. Chênh lệch tỷ giá hối đoái,2,13,3,,6
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,759","1,411","1,693","1,702","2,012"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"187,311","189,496","192,997","201,457","209,868"
