ACB,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
a. Nguyên giá TSCĐ,"3,168","3,159","3,257","3,278","3,415"
b. Hao mòn TSCĐ,-888,-923,-941,-986,"-1,030"
2. Tài sản cố định thuê tài chính,,,0,,
a. Nguyên giá TSCĐ,,,0,,
b. Hao mòn TSCĐ,,,0,,
3. Tài sản cố định vô hình,274,271,352,346,420
a. Nguyên giá TSCĐ,392,393,477,477,556
b. Hao mòn TSCĐ,-118,-122,-125,-131,-136
X. Bất động sản đầu tư,,9,9,9,9
a. Nguyên giá BĐSĐT,,9,9,9,9
b. Hao mòn BĐSĐT,,,0,0,0
"XI. Tài sản ""Có"" khác","10,376","10,918","10,516","10,242","9,955"
1. Các khoản phải thu,"5,835","7,134","7,585","7,190","6,682"
"2. Các khoản lãi, phí phải thu","3,690","3,789","2,941","2,915","3,254"
3. Tài sản thuế TNDN hoãn lại,15,12,10,10,5
4. Tài sản Có khác,"1,158",417,404,552,557
- Trong đó: Lợi thế thương mại,,,0,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-321,-433,-425,-425,-543
TỔNG CỘNG TÀI SẢN,"166,738","173,391","177,454","179,381","179,610"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"1,583",,0,,
II. Tiền gửi và vay các TCTD khác,"7,794","9,198","11,376","10,034","6,145"
1. Tiền gửi của các TCTD khác,"5,843","6,131","6,790","6,820","3,244"
2. Vay các TCTD khác,"1,951","3,067","4,585","3,214","2,901"
III. Tiền gửi của khách hàng,"138,111","144,409","147,173","150,183","154,614"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,0,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",363,362,344,335,188
VI. Phát hành giấy tờ có giá,"3,500","3,600","3,300","3,000","3,078"
VII. Các khoản nợ khác,"2,884","3,059","2,989","3,322","3,187"
"1. Các khoản lãi, phí phải trả","1,545","1,621","1,854","1,997","1,737"
2. Thuế TNDN hoãn lại phải trả,,2,2,2,
3. Các khoản phải trả và công nợ khác,"1,282","1,373","1,133","1,322","1,451"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),58,63,0,,
TỔNG NỢ PHẢI TRẢ,"154,236","160,629","165,182","166,874","167,212"
VIII. Vốn và các quỹ,"12,502","12,762","12,272","12,507","12,397"
1. Vốn của TCTD,"11,152","11,145","8,921","8,921","8,712"
a. Vốn điều lệ,"9,377","9,377","9,377","9,377","9,377"
b. Vốn đầu tư XDCB,,,0,,
c. Thặng dư vốn cổ phần,,,0,,
d. Cổ phiếu quỹ,-259,-264,-456,-456,-665
e. Cổ phiếu ưu đãi,,,0,,
g. Vốn khác,"2,034","2,033",0,,
2. Quỹ của TCTD,,16,"2,040","2,040","2,208"
3. Chênh lệch tỷ giá hối đoái,,,44,16,
4. Chênh lệch đánh giá lại tài sản,,,0,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,350","1,601","1,267","1,531","1,478"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,0,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"166,738","173,391","177,454","179,381","179,610"
