ACB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
I. Các khoản nợ Chính phủ và NHNN,,,,655,
II. Tiền gửi và vay các TCTD khác,"8,401","3,341","2,235","4,299","9,677"
1. Tiền gửi của các TCTD khác,"5,256","2,333","1,735","2,948","6,884"
2. Vay các TCTD khác,"3,145","1,008",500,"1,351","2,793"
III. Tiền gửi của khách hàng,"190,503","201,386","207,051","221,245","230,186"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,17,14,,,8
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",175,144,123,131,137
VI. Phát hành giấy tờ có giá,"5,664","5,683","6,615","6,404","6,544"
VII. Các khoản nợ khác,"3,678","4,574","3,594","4,247","4,405"
"1. Các khoản lãi, phí phải trả","2,324","2,478","2,281","2,571","2,784"
2. Thuế TNDN hoãn lại phải trả,,,0,,
3. Các khoản phải trả và công nợ khác,"1,355","2,095","1,312","1,676","1,621"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"208,437","215,142","219,618","236,981","250,958"
VIII. Vốn và các quỹ,"13,389","13,725","14,063","14,556","14,884"
1. Vốn của TCTD,"8,711","8,711","8,711","9,608","9,608"
a. Vốn điều lệ,"9,377","9,377","9,377","10,273","10,273"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,,,,,
d. Cổ phiếu quỹ,-666,-666,-666,-666,-666
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"2,374","2,374","2,590","2,584","2,584"
3. Chênh lệch tỷ giá hối đoái,-11,-9,,15,-9
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"2,315","2,649","2,761","2,350","2,702"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"221,826","228,867","233,681","251,537","265,842"
