ACB,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
1. Vốn của TCTD,"7,814","7,814","7,814","9,377","9,377"
a. Vốn điều lệ,"7,814","7,814","7,814","9,377","9,377"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,0,0,0,0,0
d. Cổ phiếu quỹ,0,0,0,0,0
e. Cổ phiếu ưu đãi,0,0,0,0,0
g. Vốn khác,0,0,0,0,0
2. Quỹ của TCTD,897,796,954,"1,321","1,165"
3. Chênh lệch tỷ giá hối đoái,26,55,54,0,0
4. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,606,"1,030","1,557",683,"1,426"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,0,0,0,0
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"172,641","174,743","177,944","205,802","206,844"
