FPT,Q4/2008,Q1/2009,Q2/2009,Q3/2009,Q4/2009
5. Phải thu về cho vay dài hạn,,,,,
6. Phải thu dài hạn khác,6,0,0,0,1
7. Dự phòng phải thu dài hạn khó đòi (*),0,0,0,0,0
II. Tài sản cố định,732,930,959,"1,080","1,324"
1. Tài sản cố định hữu hình,650,672,689,752,889
- Nguyên giá,"1,159","1,233","1,300","1,415","1,588"
- Giá trị hao mòn lũy kế (*),-509,-560,-611,-664,-699
2. Tài sản cố định thuê tài chính,0,0,0,0,0
- Nguyên giá,0,0,0,0,0
- Giá trị hao mòn lũy kế (*),0,0,0,0,0
3. Tài sản cố định vô hình,40,44,42,45,52
- Nguyên giá,73,82,85,99,112
- Giá trị hao mòn lũy kế (*),-33,-38,-43,-54,-59
III. Bất động sản đầu tư,0,0,0,0,0
- Nguyên giá,0,0,0,0,0
- Giá trị hao mòn lũy kế (*),0,0,0,0,0
IV. Tài sản dở dang dài hạn,,,,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,
2. Chi phí xây dựng cơ bản dở dang,42,213,228,283,383
V. Đầu tư tài chính dài hạn,309,294,331,332,913
1. Đầu tư vào công ty con,0,294,0,0,0
2. Đầu tư vào công ty liên kết. liên doanh,263,0,261,277,380
3. Đầu tư góp vốn vào đơn vị khác,,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),-1,0,-1,-1,-26
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
6. Đầu tư dài hạn khác,48,0,72,56,560
VI. Tài sản dài hạn khác,355,200,206,236,297
1. Chi phí trả trước dài hạn,323,200,164,197,244
2. Tài sản thuế thu nhập hoãn lại,13,0,25,20,34
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,19,0,16,19,19
5. Lợi thế thương mại,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),0,6,6,6,6
TỔNG CỘNG TÀI SẢN,"6,146","5,966","6,408","7,466","10,645"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ,"3,236","2,760","3,076","3,673","6,907"
I. Nợ ngắn hạn,"3,227","2,595","3,065","3,658","4,879"
1. Phải trả người bán ngắn hạn,"1,064",0,"1,109",956,"1,559"
2. Người mua trả tiền trước ngắn hạn,339,0,298,348,272
3. Thuế và các khoản phải nộp Nhà nước,183,0,218,253,346
4. Phải trả người lao động,51,0,6,5,144
5. Chi phí phải trả ngắn hạn,135,0,128,221,136
6. Phải trả nội bộ ngắn hạn,0,0,0,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,27,0,15,8,13
8. Doanh thu chưa thực hiện ngắn hạn,,,,,
9. Phải trả ngắn hạn khác,134,0,128,142,247
10. Vay và nợ thuê tài chính ngắn hạn,"1,237","2,586","1,196","1,764","2,099"
11. Dự phòng phải trả ngắn hạn,0,0,0,0,3
"12. Quỹ khen thưởng, phúc lợi",58,10,-34,-40,59
13. Quỹ bình ổn giá,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,0,0,0,0,0
II. Nợ dài hạn,9,165,11,15,"2,028"
1. Phải trả người bán dài hạn,0,9,0,0,0
2. Người mua trả tiền trước dài hạn,,,,,
3. Chi phí phải trả dài hạn,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,
5. Phải trả nội bộ dài hạn,0,0,0,0,0
6. Doanh thu chưa thực hiện dài hạn,0,0,0,0,0
7. Phải trả dài hạn khác,7,156,8,13,17
8. Vay và nợ thuê tài chính dài hạn,0,0,0,0,"2,005"
9. Trái phiếu chuyển đổi,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,0,0,0,0,0
12. Dự phòng phải trả dài hạn,1,0,1,1,5
13. Quỹ phát triển khoa học và công nghệ,0,0,0,0,0
14. Dự phòng trợ cấp mất việc làm,1,0,1,1,1
B. VỐN CHỦ SỞ HỮU,"2,384","2,591","2,687","3,024","2,991"
I. Vốn chủ sở hữu,"2,382","2,591","2,684","3,021","2,988"
1. Vốn góp của chủ sở hữu,"1,412","1,412","1,412","1,438","1,438"
- Cổ phiếu phổ thông có quyền biểu quyết,,,,,
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,55,55,55,55,55
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,0,0,0,0,0
5. Cổ phiếu quỹ (*),-2,-2,-2,-3,-3
6. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
7. Chênh lệch tỷ giá hối đoái,-1,0,5,6,6
8. Quỹ đầu tư phát triển,79,108,0,0,0
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,0,0,0,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,0,0,0,0,0
11. Lợi nhuận sau thuế chưa phân phối,839,"1,018","1,109","1,417","1,387"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,,,
- LNST chưa phân phối kỳ này,,,,,
12. Nguồn vốn đầu tư XDCB,0,0,0,0,0
13. Lợi ích cổ đông không kiểm soát,,,,,
14. Quỹ dự phòng tài chính,0,0,107,107,104
II. Nguồn kinh phí và quỹ khác,3,0,3,3,3
1. Nguồn kinh phí,3,0,3,3,3
2. Nguồn kinh phí đã hình thành TSCĐ,0,0,0,0,0
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,526,615,646,769,747
TỔNG CỘNG NGUỒN VỐN,"6,146","5,966","6,408","7,466","10,645"
