STB,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
3. Đầu tư dài hạn khác,633,653,630,"1,069",654
4. Dự phòng giảm giá đầu tư dài hạn,-12,-33,-26,-3,-7
IX. Tài sản cố định,"2,481","2,691","2,912","2,971","3,200"
1. Tài sản cố định hữu hình,"1,364","1,519","1,549","1,602","1,609"
a. Nguyên giá TSCĐ,"1,664","1,872","1,958","2,021","2,094"
b. Hao mòn TSCĐ,-299,-353,-409,-419,-485
2. Tài sản cố định thuê tài chính,8,7,21,20,9
a. Nguyên giá TSCĐ,11,11,25,24,13
b. Hao mòn TSCĐ,-4,-3,-4,-4,-4
3. Tài sản cố định vô hình,"1,109","1,165","1,342","1,349","1,582"
a. Nguyên giá TSCĐ,"1,180","1,249","1,443","1,467","1,719"
b. Hao mòn TSCĐ,-71,-85,-100,-118,-137
X. Bất động sản đầu tư,0,0,0,0,0
a. Nguyên giá BĐSĐT,0,0,0,0,0
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","5,267","6,279","5,164","5,798","6,187"
1. Các khoản phải thu,"6,395","4,509","3,288","3,170","3,480"
"2. Các khoản lãi, phí phải thu",796,943,"1,116","1,531","1,708"
3. Tài sản thuế TNDN hoãn lại,0,0,0,9,0
4. Tài sản Có khác,"-1,923",828,760,"1,088",999
- Trong đó: Lợi thế thương mại,0,0,0,0,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,0,0,0,0
TỔNG CỘNG TÀI SẢN,"107,722","118,553","133,539","152,561","147,923"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"3,543","2,819","2,470","4,820","4,569"
II. Tiền gửi và vay các TCTD khác,"3,773","6,589","10,342","15,421","12,841"
1. Tiền gửi của các TCTD khác,34,243,"9,342","12,626","8,180"
2. Vay các TCTD khác,"3,738","6,346","1,000","2,795","4,662"
III. Tiền gửi của khách hàng,"62,951","73,128","80,938","77,734","79,804"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,0,106,0,0
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","1,946","1,728","1,714","2,103","2,296"
VI. Phát hành giấy tờ có giá,"21,042","17,449","19,962","28,577","25,942"
VII. Các khoản nợ khác,"4,599","6,368","4,354","9,223","7,454"
"1. Các khoản lãi, phí phải trả",906,"1,006",922,"1,168","1,340"
2. Thuế TNDN hoãn lại phải trả,0,0,0,0,0
3. Các khoản phải trả và công nợ khác,"3,652","5,316","3,364","8,002","6,030"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),40,46,68,52,84
TỔNG NỢ PHẢI TRẢ,"97,853","108,082","119,886","137,877","132,907"
VIII. Vốn và các quỹ,"9,683","10,005","13,164","13,983","14,340"
1. Vốn của TCTD,"8,078","8,078","10,897","10,931","10,931"
a. Vốn điều lệ,"6,700","6,700","9,179","9,179","9,179"
b. Vốn đầu tư XDCB,1,1,1,1,1
c. Thặng dư vốn cổ phần,"1,377","1,377","1,717","1,751","1,751"
d. Cổ phiếu quỹ,0,0,0,0,0
e. Cổ phiếu ưu đãi,0,0,0,0,0
g. Vốn khác,0,0,0,0,0
2. Quỹ của TCTD,"1,046","1,026","1,047","1,047","1,327"
3. Chênh lệch tỷ giá hối đoái,-62,-406,-483,-1,-224
4. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,620,"1,306","1,704","2,006","2,306"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,186,467,489,700,676
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"107,722","118,553","133,539","152,561","147,923"
