STB,Q4/2008,Q1/2009,Q2/2009,Q3/2009,Q4/2009
b. Hao mòn TSCĐ,-156,-177,-195,-287,-249
2. Tài sản cố định thuê tài chính,24,22,21,4,9
a. Nguyên giá TSCĐ,30,28,28,4,13
b. Hao mòn TSCĐ,-6,-6,-7,0,-4
3. Tài sản cố định vô hình,760,843,947,0,"1,106"
a. Nguyên giá TSCĐ,797,885,996,0,"1,169"
b. Hao mòn TSCĐ,-36,-42,-50,0,-63
X. Bất động sản đầu tư,0,0,0,0,
a. Nguyên giá BĐSĐT,0,0,0,0,
b. Hao mòn BĐSĐT,0,0,0,0,
"XI. Tài sản ""Có"" khác","2,644","2,861","3,352","4,900","4,194"
1. Các khoản phải thu,"1,439","1,982","2,345","3,594","2,822"
"2. Các khoản lãi, phí phải thu",728,690,901,911,945
3. Tài sản thuế TNDN hoãn lại,0,0,0,0,
4. Tài sản Có khác,476,189,106,395,427
- Trong đó: Lợi thế thương mại,0,0,0,0,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,0,0,0,
TỔNG CỘNG TÀI SẢN,"68,556","74,480","83,634","98,243","104,060"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,52,53,46,"3,251","3,614"
II. Tiền gửi và vay các TCTD khác,"4,488","1,094","1,449",153,"3,139"
1. Tiền gửi của các TCTD khác,"1,007",196,362,153,963
2. Vay các TCTD khác,"3,481",897,"1,088",0,"2,176"
III. Tiền gửi của khách hàng,"46,130","56,871","57,067","64,530","60,527"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,145,65,0,0,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","1,014","1,028","1,015","1,612","1,975"
VI. Phát hành giấy tờ có giá,"7,659","5,924","13,798","16,637","21,977"
VII. Các khoản nợ khác,"1,339","2,208","2,560","2,714","2,044"
"1. Các khoản lãi, phí phải trả",869,799,820,"1,778",806
2. Thuế TNDN hoãn lại phải trả,0,0,0,0,
3. Các khoản phải trả và công nợ khác,442,"1,374","1,690",936,"1,196"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),28,36,50,0,42
TỔNG NỢ PHẢI TRẢ,"60,683","67,323","75,999","88,897","93,277"
VIII. Vốn và các quỹ,"7,873","7,157","7,634","9,346","10,553"
1. Vốn của TCTD,"5,978","5,978","5,978","7,261","8,078"
a. Vốn điều lệ,"5,116","5,116","5,116","5,883","6,700"
b. Vốn đầu tư XDCB,1,1,1,"1,377",1
c. Thặng dư vốn cổ phần,"1,213","1,213","1,213",0,"1,377"
d. Cổ phiếu quỹ,-352,-352,-352,0,0
e. Cổ phiếu ưu đãi,0,0,0,0,
g. Vốn khác,0,0,0,1,0
2. Quỹ của TCTD,814,784,796,767,"1,001"
3. Chênh lệch tỷ giá hối đoái,-12,-1,28,0,
4. Chênh lệch đánh giá lại tài sản,0,0,0,0,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,081",407,862,"1,290","1,474"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,0,0,230,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"68,556","74,480","83,634","98,243","104,060"
