STB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
I. Các khoản nợ Chính phủ và NHNN,"3,775","2,427",,,
II. Tiền gửi và vay các TCTD khác,"3,422","5,566","8,411","5,713","6,122"
1. Tiền gửi của các TCTD khác,"1,339","2,346","3,644","3,122","1,620"
2. Vay các TCTD khác,"2,083","3,220","4,768","2,591","4,502"
III. Tiền gửi của khách hàng,"279,991","285,405","291,366","303,044","317,075"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,4,17,0,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","1,384","1,379","1,404","1,378","1,358"
VI. Phát hành giấy tờ có giá,1,1,1,"2,773","2,743"
VII. Các khoản nợ khác,"4,839","5,017","5,367","5,962","6,232"
"1. Các khoản lãi, phí phải trả","3,393","3,401","3,554","3,737","4,076"
2. Thuế TNDN hoãn lại phải trả,23,,,,
3. Các khoản phải trả và công nợ khác,"1,446","1,616","1,812","2,225","2,133"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"289,640","297,385","310,323","321,297","333,530"
VIII. Vốn và các quỹ,"22,734","22,671","22,972","23,113","22,443"
1. Vốn của TCTD,"18,167","18,167","18,167","18,167","18,167"
a. Vốn điều lệ,"18,852","18,852","18,852","18,852","18,852"
b. Vốn đầu tư XDCB,1,1,1,1,1
c. Thặng dư vốn cổ phần,64,64,64,64,64
d. Cổ phiếu quỹ,-751,-751,-751,-751,-751
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,1,1,1,1,1
2. Quỹ của TCTD,"2,434","2,434","2,429","2,431","2,519"
3. Chênh lệch tỷ giá hối đoái,88,-125,251,202,188
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"2,045","2,196","2,126","2,314","1,569"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"312,375","320,056","333,295","344,409","355,973"
