STB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
b. Hao mòn TSCĐ,"-4,058","-4,232","-4,368","-4,438","-4,496"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"2,987","3,023","2,978","3,025","2,980"
a. Nguyên giá TSCĐ,"4,761","4,871","4,893","4,989","5,004"
b. Hao mòn TSCĐ,"-1,774","-1,847","-1,915","-1,965","-2,024"
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","46,506","36,966","22,407","12,236","10,461"
1. Các khoản phải thu,"42,027","32,911","18,813","8,392","6,728"
"2. Các khoản lãi, phí phải thu","5,687","5,504","5,518","5,680","5,240"
3. Tài sản thuế TNDN hoãn lại,398,398,387,387,542
4. Tài sản Có khác,"1,301","1,268","1,241","1,327","1,488"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,"-2,907","-3,115","-3,553","-3,550","-3,537"
TỔNG CỘNG TÀI SẢN,"674,390","693,535","717,313","702,986","748,095"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,19,19,"2,835",49,54
II. Tiền gửi và vay các TCTD khác,"37,950","40,647","51,334","32,209","70,655"
1. Tiền gửi của các TCTD khác,"34,386","36,896","48,718","27,674","61,323"
2. Vay các TCTD khác,"3,564","3,751","2,616","4,535","9,332"
III. Tiền gửi của khách hàng,"510,744","533,358","549,184","566,724","566,882"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,91,183,54,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",323,369,332,363,449
VI. Phát hành giấy tờ có giá,"28,992","31,829","37,855","34,707","36,754"
VII. Các khoản nợ khác,"50,535","39,220","26,695","17,653","18,275"
"1. Các khoản lãi, phí phải trả","11,644","10,178","8,471","8,250","8,510"
2. Thuế TNDN hoãn lại phải trả,30,30,30,30,30
3. Các khoản phải trả và công nợ khác,"38,837","28,989","18,172","9,351","9,710"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),25,25,22,23,24
TỔNG NỢ PHẢI TRẢ,"628,656","645,626","668,235","651,705","693,122"
VIII. Vốn và các quỹ,"45,734","47,909","49,078","51,281","54,972"
1. Vốn của TCTD,"20,602","20,602","20,602","20,602","20,602"
a. Vốn điều lệ,"18,852","18,852","18,852","18,852","18,852"
b. Vốn đầu tư XDCB,1,1,1,1,1
c. Thặng dư vốn cổ phần,"1,748","1,748","1,748","1,748","1,748"
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,1,1,1,1,1
2. Quỹ của TCTD,"4,971","4,971","6,080","6,080","6,083"
3. Chênh lệch tỷ giá hối đoái,-225,-160,-233,-232,-138
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"20,387","22,496","22,629","24,830",
6. Lợi ích cổ đông không kiểm soát,"28,426",,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"674,390","693,535","717,313","702,986","748,095"
