STB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","41,290","49,741","47,180","45,507","45,541"
1. Các khoản phải thu,"15,264","24,123","22,183","20,861","20,639"
"2. Các khoản lãi, phí phải thu","25,042","24,735","24,174","23,791","23,959"
3. Tài sản thuế TNDN hoãn lại,60,70,74,74,74
4. Tài sản Có khác,"1,353","1,327","1,261","1,234","1,323"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-429,-513,-513,-453,-454
TỔNG CỘNG TÀI SẢN,"363,488","368,680","381,252","400,686","403,602"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,221,231,245,245,247
II. Tiền gửi và vay các TCTD khác,"15,270","12,649","5,388","3,943","4,403"
1. Tiền gửi của các TCTD khác,"2,973","6,454","1,182","1,421","1,475"
2. Vay các TCTD khác,"12,297","6,195","4,205","2,522","2,928"
III. Tiền gửi của khách hàng,"312,561","319,860","339,235","355,860","357,220"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,10,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",46,91,91,91,89
VI. Phát hành giấy tờ có giá,"5,717","5,601","5,565","8,185","8,121"
VII. Các khoản nợ khác,"6,890","7,020","7,059","8,702","9,743"
"1. Các khoản lãi, phí phải trả","4,311","4,464","4,505","5,263","5,553"
2. Thuế TNDN hoãn lại phải trả,24,23,23,24,24
3. Các khoản phải trả và công nợ khác,"2,555","2,533","2,530","3,415","4,166"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"340,705","345,453","357,582","377,038","379,822"
VIII. Vốn và các quỹ,"22,783","23,228","23,670","23,649","23,781"
1. Vốn của TCTD,"18,167","18,167","18,167","18,167","18,167"
a. Vốn điều lệ,"18,852","18,852","18,852","18,852","18,852"
b. Vốn đầu tư XDCB,1,1,1,1,1
c. Thặng dư vốn cổ phần,64,64,64,64,64
d. Cổ phiếu quỹ,-751,-751,-751,-751,-751
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,1,1,1,1,1
2. Quỹ của TCTD,"2,519","2,550","2,550","2,719","2,719"
3. Chênh lệch tỷ giá hối đoái,179,234,266,262,231
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,918","2,277","2,688","2,501","2,664"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"363,488","368,680","381,252","400,686","403,602"
