STB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
I. Các khoản nợ Chính phủ và NHNN,107,89,523,59,63
II. Tiền gửi và vay các TCTD khác,"8,856","6,959","15,229","17,661","14,376"
1. Tiền gửi của các TCTD khác,"2,716","3,043","9,191","10,246","8,317"
2. Vay các TCTD khác,"6,139","3,915","6,038","7,415","6,059"
III. Tiền gửi của khách hàng,"433,944","418,839","427,387","457,792","456,418"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,108,91,26,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",240,306,279,260,196
VI. Phát hành giấy tờ có giá,"13,707","16,743","21,104","20,589","22,066"
VII. Các khoản nợ khác,"17,296","17,976","22,306","20,607","22,478"
"1. Các khoản lãi, phí phải trả","6,751","5,982","5,884","5,816","5,970"
2. Thuế TNDN hoãn lại phải trả,26,26,28,28,28
3. Các khoản phải trả và công nợ khác,"10,520","11,968","16,394","14,763","16,480"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"474,150","460,912","486,935","517,058","515,624"
VIII. Vốn và các quỹ,"30,384","33,383","34,261","35,481","35,798"
1. Vốn của TCTD,"18,167","20,602","20,602","20,602","20,602"
a. Vốn điều lệ,"18,852","18,852","18,852","18,852","18,852"
b. Vốn đầu tư XDCB,1,1,1,1,1
c. Thặng dư vốn cổ phần,64,"1,748","1,748","1,748","1,748"
d. Cổ phiếu quỹ,-751,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,1,1,1,1,1
2. Quỹ của TCTD,"3,714","3,714","3,715","3,715","4,234"
3. Chênh lệch tỷ giá hối đoái,92,17,37,9,-73
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"8,411","9,051","9,907","11,155","11,035"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"504,534","494,295","521,196","552,539","551,422"
