STB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","26,060","36,874","25,126","25,861","33,186"
1. Các khoản phải thu,"22,835","32,715","20,948","21,593","28,730"
"2. Các khoản lãi, phí phải thu","4,241","5,079","5,197","5,413","5,628"
3. Tài sản thuế TNDN hoãn lại,409,243,243,257,257
4. Tài sản Có khác,"1,170","1,229","1,299","1,244","1,304"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,"-2,594","-2,391","-2,560","-2,646","-2,732"
TỔNG CỘNG TÀI SẢN,"564,193","591,994","596,694","622,178","651,288"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,52,"9,901",34,29,28
II. Tiền gửi và vay các TCTD khác,"17,693","28,430","24,549","18,123","29,634"
1. Tiền gửi của các TCTD khác,"10,601","21,730","20,030","14,629","26,757"
2. Vay các TCTD khác,"7,092","6,701","4,519","3,494","2,878"
III. Tiền gửi của khách hàng,"457,890","454,740","478,789","501,583","507,833"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,213
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",226,240,271,229,350
VI. Phát hành giấy tờ có giá,"26,674","25,820","25,857","29,067","27,099"
VII. Các khoản nợ khác,"24,718","34,235","26,636","31,354","42,421"
"1. Các khoản lãi, phí phải trả","6,635","7,517","9,624","11,362","13,487"
2. Thuế TNDN hoãn lại phải trả,28,29,29,29,29
3. Các khoản phải trả và công nợ khác,"18,054","26,660","16,954","19,940","28,872"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,28,29,23,34
TỔNG NỢ PHẢI TRẢ,"527,253","553,367","556,136","580,385","607,578"
VIII. Vốn và các quỹ,"36,940","38,627","40,558","41,793","43,710"
1. Vốn của TCTD,"20,602","20,602","20,602","20,602","20,602"
a. Vốn điều lệ,"18,852","18,852","18,852","18,852","18,852"
b. Vốn đầu tư XDCB,1,1,1,1,1
c. Thặng dư vốn cổ phần,"1,748","1,748","1,748","1,748","1,748"
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,1,1,1,1,1
2. Quỹ của TCTD,"4,234","4,223","4,223","4,905","4,969"
3. Chênh lệch tỷ giá hối đoái,-142,-169,-157,-307,10
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"12,247","13,972","15,890","16,593","18,130"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"564,193","591,994","596,694","622,178","651,288"
