STB,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
I. Các khoản nợ Chính phủ và NHNN,0,"3,884","2,130",0,0
II. Tiền gửi và vay các TCTD khác,"20,837","19,974","12,824","8,766","8,339"
1. Tiền gửi của các TCTD khác,"12,545","11,475","6,660","2,810","2,940"
2. Vay các TCTD khác,"8,292","8,500","6,164","5,956","5,398"
III. Tiền gửi của khách hàng,"75,177","73,910","75,092","80,559","87,581"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,16,0,0,0
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","2,456","4,823","4,714","4,778","4,795"
VI. Phát hành giấy tờ có giá,"25,372","30,517","17,617","15,042","20,270"
VII. Các khoản nợ khác,"3,796","3,381","14,611","16,416","9,950"
"1. Các khoản lãi, phí phải trả","1,376","1,409","1,298","1,404","1,382"
2. Thuế TNDN hoãn lại phải trả,0,0,0,0,0
3. Các khoản phải trả và công nợ khác,"2,344","1,709","13,183","14,882","8,243"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),76,264,130,130,324
TỔNG NỢ PHẢI TRẢ,"127,638","136,505","126,987","125,561","130,934"
VIII. Vốn và các quỹ,"13,501","14,022","14,545","15,290","13,991"
1. Vốn của TCTD,"10,852","10,852","10,962","10,905","10,905"
a. Vốn điều lệ,"9,179","9,179","10,740","10,740","10,740"
b. Vốn đầu tư XDCB,1,1,1,1,1
c. Thặng dư vốn cổ phần,"1,672","1,672","1,672","1,672","1,672"
d. Cổ phiếu quỹ,0,0,"-1,451","-1,507","-1,507"
e. Cổ phiếu ưu đãi,0,0,0,0,0
g. Vốn khác,0,0,0,0,0
2. Quỹ của TCTD,"1,247","1,238","1,538","1,518","1,548"
3. Chênh lệch tỷ giá hối đoái,27,157,87,143,45
4. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,375","1,775","1,958","2,724","1,493"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,0,0,0,0
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"141,138","150,527","141,532","140,850","144,926"
