STB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
b. Hao mòn TSCĐ,"-2,470","-2,563","-2,612","-2,676","-2,752"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"3,632","3,626","3,478","3,601","3,593"
a. Nguyên giá TSCĐ,"4,574","4,598","4,480","4,644","4,678"
b. Hao mòn TSCĐ,-942,-972,"-1,002","-1,043","-1,085"
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","47,654","44,482","43,792","42,872","42,653"
1. Các khoản phải thu,"23,730","21,154","21,562","21,369","22,259"
"2. Các khoản lãi, phí phải thu","23,155","22,387","21,260","20,611","19,539"
3. Tài sản thuế TNDN hoãn lại,65,63,131,130,160
4. Tài sản Có khác,"1,185","1,328","1,480","1,626","1,561"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-480,-450,-641,-864,-866
TỔNG CỘNG TÀI SẢN,"406,041","425,033","439,170","450,200","453,581"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"5,293",250,248,252,242
II. Tiền gửi và vay các TCTD khác,"7,492","3,215","3,014","2,991","3,526"
1. Tiền gửi của các TCTD khác,"1,273","1,236",665,588,400
2. Vay các TCTD khác,"6,219","1,979","2,349","2,403","3,126"
III. Tiền gửi của khách hàng,"349,197","377,223","388,243","399,370","400,844"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",88,87,87,85,84
VI. Phát hành giấy tờ có giá,"8,066","8,058","9,558","9,512","9,490"
VII. Các khoản nợ khác,"11,272","10,723","12,522","11,760","12,654"
"1. Các khoản lãi, phí phải trả","5,947","5,982","6,624","6,601","7,105"
2. Thuế TNDN hoãn lại phải trả,25,25,25,25,25
3. Các khoản phải trả và công nợ khác,"5,300","4,715","5,873","5,133","5,523"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"381,408","399,556","413,671","423,970","426,839"
VIII. Vốn và các quỹ,"24,632","25,477","25,499","26,230","26,742"
1. Vốn của TCTD,"18,167","18,167","18,167","18,167","18,167"
a. Vốn điều lệ,"18,852","18,852","18,852","18,852","18,852"
b. Vốn đầu tư XDCB,1,1,1,1,1
c. Thặng dư vốn cổ phần,64,64,64,64,64
d. Cổ phiếu quỹ,-751,-751,-751,-751,-751
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,1,1,1,1,1
2. Quỹ của TCTD,"2,721","2,721","2,976","2,964","2,964"
3. Chênh lệch tỷ giá hối đoái,224,225,260,219,200
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"3,521","4,365","4,096","4,880","5,412"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"406,041","425,033","439,170","450,200","453,581"
