STB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
4. Dự phòng giảm giá đầu tư dài hạn,-195,-192,-184,-133,-133
IX. Tài sản cố định,"8,216","8,182","8,378","8,575","8,473"
1. Tài sản cố định hữu hình,"4,624","4,558","4,629","4,746","4,695"
a. Nguyên giá TSCĐ,"7,457","7,456","7,594","7,787","7,826"
b. Hao mòn TSCĐ,"-2,833","-2,899","-2,965","-3,040","-3,131"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"3,592","3,625","3,749","3,829","3,778"
a. Nguyên giá TSCĐ,"4,720","4,798","4,972","5,098","5,097"
b. Hao mòn TSCĐ,"-1,128","-1,174","-1,223","-1,269","-1,319"
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","39,602","39,789","38,809","37,356","35,195"
1. Các khoản phải thu,"20,580","21,261","21,633","21,277","20,510"
"2. Các khoản lãi, phí phải thu","18,826","18,612","18,377","17,500","16,183"
3. Tài sản thuế TNDN hoãn lại,161,160,160,450,450
4. Tài sản Có khác,"1,434","1,564","1,275","1,211","1,136"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,"-1,400","-1,807","-2,636","-3,083","-3,084"
TỔNG CỘNG TÀI SẢN,"459,076","481,898","485,213","492,637","497,428"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,212,187,163,144,125
II. Tiền gửi và vay các TCTD khác,"3,844","3,792","3,248","7,880","8,463"
1. Tiền gửi của các TCTD khác,705,"1,156",532,"3,988","3,306"
2. Vay các TCTD khác,"3,139","2,636","2,716","3,892","5,157"
III. Tiền gửi của khách hàng,"405,709","426,236","428,954","427,972","431,137"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,82,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",162,158,158,229,246
VI. Phát hành giấy tờ có giá,"9,485","9,482","9,480","11,144","12,867"
VII. Các khoản nợ khác,"12,035","14,595","15,005","16,311","14,857"
"1. Các khoản lãi, phí phải trả","7,088","7,803","7,670","6,924","6,758"
2. Thuế TNDN hoãn lại phải trả,25,25,25,26,26
3. Các khoản phải trả và công nợ khác,"4,922","6,767","7,309","9,362","8,073"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"431,530","454,450","457,008","463,680","467,694"
VIII. Vốn và các quỹ,"27,547","27,448","28,205","28,956","29,734"
1. Vốn của TCTD,"18,167","18,167","18,167","18,167","18,167"
a. Vốn điều lệ,"18,852","18,852","18,852","18,852","18,852"
b. Vốn đầu tư XDCB,1,1,1,1,1
c. Thặng dư vốn cổ phần,64,64,64,64,64
d. Cổ phiếu quỹ,-751,-751,-751,-751,-751
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,1,1,1,1,1
2. Quỹ của TCTD,"2,992","3,335","3,335","3,337","3,337"
3. Chênh lệch tỷ giá hối đoái,236,198,244,149,125
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"6,152","5,748","6,459","7,304","8,106"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"459,076","481,898","485,213","492,637","497,428"
