STB,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
a. Nguyên giá TSCĐ,"3,932","3,956","3,953","4,012","4,106"
b. Hao mòn TSCĐ,"-1,025","-1,093","-1,148","-1,207","-1,274"
2. Tài sản cố định thuê tài chính,1,1,1,0,0
a. Nguyên giá TSCĐ,2,2,2,1,1
b. Hao mòn TSCĐ,-1,-1,-1,0,0
3. Tài sản cố định vô hình,"2,399","2,381","2,383","2,375","2,367"
a. Nguyên giá TSCĐ,"2,793","2,802","2,832","2,850","2,868"
b. Hao mòn TSCĐ,-394,-421,-449,-475,-501
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","8,949","8,629","8,699","10,439","11,360"
1. Các khoản phải thu,"3,494","2,864","2,763","3,874","4,888"
"2. Các khoản lãi, phí phải thu","3,809","4,185","4,463","5,180","5,149"
3. Tài sản thuế TNDN hoãn lại,104,104,104,104,61
4. Tài sản Có khác,"1,848","1,873","1,766","1,775","1,695"
- Trong đó: Lợi thế thương mại,17,17,16,16,15
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-305,-397,-397,-495,-434
TỔNG CỘNG TÀI SẢN,"161,378","168,982","178,939","186,634","189,803"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,,,,,
II. Tiền gửi và vay các TCTD khác,"5,007","3,755","5,730","5,946","4,411"
1. Tiền gửi của các TCTD khác,"3,197","3,229","2,263","1,882","1,860"
2. Vay các TCTD khác,"1,810",526,"3,467","4,064","2,551"
III. Tiền gửi của khách hàng,"131,645","141,187","148,276","156,041","163,057"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,5,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","4,405","4,421","4,490","3,497","1,116"
VI. Phát hành giấy tờ có giá,501,1,1,1,1
VII. Các khoản nợ khác,"2,756","3,067","3,331","3,443","3,149"
"1. Các khoản lãi, phí phải trả","1,805","1,722","1,730","1,849","1,924"
2. Thuế TNDN hoãn lại phải trả,,,0,1,1
3. Các khoản phải trả và công nợ khác,879,"1,273","1,513","1,594","1,224"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),72,72,88,,
TỔNG NỢ PHẢI TRẢ,"144,314","152,431","161,833","168,928","171,734"
VIII. Vốn và các quỹ,"17,064","16,551","17,106","17,705","18,069"
1. Vốn của TCTD,"12,591","12,591","12,591","12,591","12,591"
a. Vốn điều lệ,"12,425","12,425","12,425","12,425","12,425"
b. Vốn đầu tư XDCB,1,1,1,1,1
c. Thặng dư vốn cổ phần,"1,672","1,672","1,672","1,672","1,672"
d. Cổ phiếu quỹ,"-1,507","-1,507","-1,507","-1,507","-1,507"
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,0,0,0,0,0
2. Quỹ của TCTD,"1,621","2,005","1,931","1,931","1,939"
3. Chênh lệch tỷ giá hối đoái,97,80,83,75,104
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"2,755","1,876","2,501","3,109","3,435"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,0,0,0,0
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"161,378","168,982","178,939","186,634","189,803"
