STB,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
a. Nguyên giá BĐSĐT,0,,,,
b. Hao mòn BĐSĐT,0,,,,
"XI. Tài sản ""Có"" khác","8,432","8,369","8,991","8,185","8,334"
1. Các khoản phải thu,"4,231","4,488","4,408","3,686","3,095"
"2. Các khoản lãi, phí phải thu","1,706","2,199","2,972","2,910","3,430"
3. Tài sản thuế TNDN hoãn lại,0,,309,309,309
4. Tài sản Có khác,"2,495","1,682","2,015","1,598","1,806"
- Trong đó: Lợi thế thương mại,19,19,17,18,18
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,,-713,-335,-306
TỔNG CỘNG TÀI SẢN,"147,348","151,915","158,548","160,504","157,811"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,0,,,,
II. Tiền gửi và vay các TCTD khác,"7,168","4,731","3,512","5,009","4,847"
1. Tiền gửi của các TCTD khác,"1,922","1,135",910,"2,892","2,869"
2. Vay các TCTD khác,"5,246","3,596","2,602","2,117","1,978"
III. Tiền gửi của khách hàng,"97,374","107,746","117,942","124,611","128,138"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,,,4,6
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","4,675","4,545","4,429","4,496","4,458"
VI. Phát hành giấy tờ có giá,"9,495","7,777","4,469","2,152",451
VII. Các khoản nợ khác,"14,365","13,704","13,852","9,986","3,480"
"1. Các khoản lãi, phí phải trả","1,278","1,299","1,643","1,952","1,909"
2. Thuế TNDN hoãn lại phải trả,0,,,,
3. Các khoản phải trả và công nợ khác,"12,758","11,990","12,117","7,943","1,479"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),329,415,91,91,91
TỔNG NỢ PHẢI TRẢ,"133,076","138,503","144,205","146,257","141,380"
VIII. Vốn và các quỹ,"14,272","13,413","14,343","14,246","16,431"
1. Vốn của TCTD,"10,905","10,905","10,905","10,905","12,591"
a. Vốn điều lệ,"10,740","10,740","10,740","10,740","12,425"
b. Vốn đầu tư XDCB,1,1,1,1,1
c. Thặng dư vốn cổ phần,"1,672","1,672","1,672","1,672","1,672"
d. Cổ phiếu quỹ,"-1,507","-1,507","-1,507","-1,507","-1,507"
e. Cổ phiếu ưu đãi,0,,,,
g. Vốn khác,0,0,0,0,0
2. Quỹ của TCTD,"1,531","1,529","1,632","1,623","1,617"
3. Chênh lệch tỷ giá hối đoái,72,88,73,37,34
4. Chênh lệch đánh giá lại tài sản,0,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,763",891,"1,733","1,681","2,190"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,0,0,0,0
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"147,348","151,915","158,548","160,504","157,811"
