STB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
"2. Đầu tư vào công ty liên doanh, liên kết",0,0,,,
3. Đầu tư dài hạn khác,400,400,400,459,442
4. Dự phòng giảm giá đầu tư dài hạn,-136,-122,-122,-133,-133
IX. Tài sản cố định,"5,657","6,008","6,232","7,968","7,901"
1. Tài sản cố định hữu hình,"2,830","3,068","3,181","4,530","4,479"
a. Nguyên giá TSCĐ,"4,173","4,483","4,681","6,554","6,587"
b. Hao mòn TSCĐ,"-1,344","-1,416","-1,500","-2,023","-2,108"
2. Tài sản cố định thuê tài chính,0,0,0,0,0
a. Nguyên giá TSCĐ,1,1,1,1,1
b. Hao mòn TSCĐ,0,0,0,-1,-1
3. Tài sản cố định vô hình,"2,827","2,940","3,050","3,437","3,422"
a. Nguyên giá TSCĐ,"3,354","3,489","3,626","4,089","4,098"
b. Hao mòn TSCĐ,-526,-550,-576,-652,-677
X. Bất động sản đầu tư,0,0,,,
a. Nguyên giá BĐSĐT,0,0,,,
b. Hao mòn BĐSĐT,0,0,,,
"XI. Tài sản ""Có"" khác","10,103","9,121","9,400","44,518","44,127"
1. Các khoản phải thu,"4,032","3,500","3,118","17,680","16,974"
"2. Các khoản lãi, phí phải thu","5,205","4,771","5,308","25,230","25,564"
3. Tài sản thuế TNDN hoãn lại,61,61,61,60,60
4. Tài sản Có khác,"1,238","1,172","1,182","1,854","1,846"
- Trong đó: Lợi thế thương mại,15,14,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-434,-382,-269,-306,-317
TỔNG CỘNG TÀI SẢN,"198,742","210,777","213,077","292,542","306,515"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,0,0,,,
II. Tiền gửi và vay các TCTD khác,"4,283","6,108","3,699","2,951","3,239"
1. Tiền gửi của các TCTD khác,"1,825","3,335",664,654,"1,996"
2. Vay các TCTD khác,"2,458","2,774","3,035","2,297","1,243"
III. Tiền gửi của khách hàng,"171,100","179,952","183,924","260,998","274,328"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,29,0,25,23,67
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","1,072","2,003","1,892","1,793","1,640"
VI. Phát hành giấy tờ có giá,1,1,1,1,1
VII. Các khoản nợ khác,"3,547","3,754","4,034","4,198","4,555"
"1. Các khoản lãi, phí phải trả","1,927","2,095","2,047","3,068","3,093"
2. Thuế TNDN hoãn lại phải trả,1,0,0,0,
3. Các khoản phải trả và công nợ khác,"1,619","1,659","1,986","1,130","1,462"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,,,
TỔNG NỢ PHẢI TRẢ,"180,033","191,818","193,574","269,964","283,830"
VIII. Vốn và các quỹ,"18,709","18,959","19,503","22,578","22,685"
1. Vốn của TCTD,"12,591","12,591","12,591","18,167","18,167"
a. Vốn điều lệ,"12,425","12,425","12,425","18,852","18,852"
b. Vốn đầu tư XDCB,1,1,1,1,1
c. Thặng dư vốn cổ phần,"1,672","1,672","1,672",64,64
d. Cổ phiếu quỹ,"-1,507","-1,507","-1,507",-751,-751
e. Cổ phiếu ưu đãi,0,0,,,
g. Vốn khác,0,0,0,1,1
2. Quỹ của TCTD,"1,950","2,281","2,283","2,419","2,433"
3. Chênh lệch tỷ giá hối đoái,122,109,163,228,185
4. Chênh lệch đánh giá lại tài sản,0,0,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"4,046","3,978","4,465","1,764","1,901"
6. Lợi ích cổ đông không kiểm soát,0,0,,,
IX. Lợi ích của cổ đông thiểu số,0,0,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"198,742","210,777","213,077","292,542","306,515"
