VCB,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","7,281","5,986","8,338","5,766","7,576"
1. Các khoản phải thu,"2,528","1,688","4,971","2,876","2,538"
"2. Các khoản lãi, phí phải thu","3,306","3,512","3,047","2,556","3,201"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,"1,447",786,319,334,"1,837"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,,,,
TỔNG CỘNG TÀI SẢN,"416,741","414,670","420,480","436,471","439,657"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"36,264","24,806","12,655","27,210","24,411"
II. Tiền gửi và vay các TCTD khác,"45,766","34,066","37,775","42,491","40,133"
1. Tiền gửi của các TCTD khác,"20,568","16,964","21,850","34,159","31,107"
2. Vay các TCTD khác,"25,198","17,102","15,925","8,332","9,026"
III. Tiền gửi của khách hàng,"262,107","284,515","297,759","304,812","316,189"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,78,5,350,228,392
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",,,,,
VI. Phát hành giấy tờ có giá,"2,050","2,028","2,021","2,020","2,016"
VII. Các khoản nợ khác,"29,068","26,761","27,283","18,941","14,856"
"1. Các khoản lãi, phí phải trả","3,610","3,489","3,431","4,022","4,696"
2. Thuế TNDN hoãn lại phải trả,13,54,55,15,15
3. Các khoản phải trả và công nợ khác,"24,670","22,650","23,229","14,236","9,488"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),775,568,568,668,657
TỔNG NỢ PHẢI TRẢ,"375,333","372,181","377,842","395,701","397,996"
VIII. Vốn và các quỹ,"41,253","42,337","42,482","40,603","41,514"
1. Vốn của TCTD,"32,421","32,421","32,421","32,421","32,421"
a. Vốn điều lệ,"23,174","23,174","23,174","23,174","23,174"
b. Vốn đầu tư XDCB,,"9,201",,,"9,201"
c. Thặng dư vốn cổ phần,"9,201",,"9,201","9,201",
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,45,45,45,45,45
2. Quỹ của TCTD,"2,127","2,146","2,794","2,812","2,812"
3. Chênh lệch tỷ giá hối đoái,155,191,-59,-8,-136
4. Chênh lệch đánh giá lại tài sản,64,73,71,71,71
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"6,487","7,507","7,255","5,307","6,347"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,154,152,157,167,146
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"416,741","414,670","420,480","436,471","439,657"
