VCB,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
TỔNG NỢ PHẢI TRẢ,"221,509","229,927","240,068","286,278","305,777"
VIII. Vốn và các quỹ,"17,497","16,408","20,131","21,216","26,562"
1. Vốn của TCTD,"12,146","12,101","14,256","14,256","18,620"
a. Vốn điều lệ,"12,101","12,101","13,224","13,224","17,588"
b. Vốn đầu tư XDCB,0,,0,0,0
c. Thặng dư vốn cổ phần,0,,987,987,987
d. Cổ phiếu quỹ,0,,0,0,0
e. Cổ phiếu ưu đãi,0,,0,0,0
g. Vốn khác,45,,45,45,45
2. Quỹ của TCTD,"1,000",872,835,834,"1,457"
3. Chênh lệch tỷ giá hối đoái,170,21,342,275,364
4. Chênh lệch đánh giá lại tài sản,10,,12,36,36
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"4,171","3,414","4,686","5,815","6,086"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,121,,118,120,138
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"239,127","246,335","260,316","307,615","332,477"
