VCB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
TỔNG CỘNG TÀI SẢN,"678,274","737,585","788,169","794,279","849,298"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"31,671","41,910","54,151","50,367","70,661"
II. Tiền gửi và vay các TCTD khác,"49,477","57,101","72,238","57,539","46,512"
1. Tiền gửi của các TCTD khác,"38,601","47,645","53,282","41,045","37,274"
2. Vay các TCTD khác,"10,876","9,456","18,956","16,494","9,238"
III. Tiền gửi của khách hàng,"534,945","573,153","590,398","609,314","649,474"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,0,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",0,0,2,,
VI. Phát hành giấy tờ có giá,"2,473","2,454","10,286","10,056","13,037"
VII. Các khoản nợ khác,"11,036","15,430","11,800","16,691","17,501"
"1. Các khoản lãi, phí phải trả","4,699","5,544","6,454","6,626","6,703"
2. Thuế TNDN hoãn lại phải trả,19,19,18,19,19
3. Các khoản phải trả và công nợ khác,"6,317","9,867","5,327","10,046","10,780"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,,,
TỔNG NỢ PHẢI TRẢ,"629,601","690,048","738,874","743,966","797,188"
VIII. Vốn và các quỹ,"48,673","47,537","49,295","50,313","52,110"
1. Vốn của TCTD,"32,421","36,023","36,023","36,023","36,023"
a. Vốn điều lệ,"26,650","35,978","35,978","35,978","35,978"
b. Vốn đầu tư XDCB,0,45,0,,
c. Thặng dư vốn cổ phần,"5,725",0,,,
d. Cổ phiếu quỹ,0,0,,,
e. Cổ phiếu ưu đãi,0,0,,,
g. Vốn khác,45,45,45,45,
2. Quỹ của TCTD,"4,937","4,936","4,938","5,937","5,935"
3. Chênh lệch tỷ giá hối đoái,184,74,78,86,88
4. Chênh lệch đánh giá lại tài sản,89,89,89,83,83
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"10,894","6,263","8,023","8,037","9,829"
6. Lợi ích cổ đông không kiểm soát,148,152,144,147,152
IX. Lợi ích của cổ đông thiểu số,0,0,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"678,274","737,585","788,169","794,279","849,298"
