VCB,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
1. Tài sản cố định hữu hình,"2,556","2,447","2,381","2,382","2,812"
a. Nguyên giá TSCĐ,"5,770","5,777","5,835","5,967","6,537"
b. Hao mòn TSCĐ,"-3,214","-3,330","-3,454","-3,586","-3,725"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"1,530","1,507","1,519","1,502","1,634"
a. Nguyên giá TSCĐ,"1,948","1,948","1,982","1,989","2,136"
b. Hao mòn TSCĐ,-418,-441,-464,-487,-502
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","6,549","6,868","9,500","7,650","8,321"
1. Các khoản phải thu,"2,227","2,755","2,640","3,224","3,078"
"2. Các khoản lãi, phí phải thu","3,246","3,094","2,687","3,127","3,648"
3. Tài sản thuế TNDN hoãn lại,3,3,3,3,2
4. Tài sản Có khác,"1,072","1,016","4,170","1,297","1,592"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,,,,
TỔNG CỘNG TÀI SẢN,"467,459","446,118","504,432","530,226","574,260"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"32,622","13,125","30,008","45,281","54,093"
II. Tiền gửi và vay các TCTD khác,"43,951","25,398","40,717","38,399","43,238"
1. Tiền gửi của các TCTD khác,"31,182","19,191","29,367","30,124","33,697"
2. Vay các TCTD khác,"12,769","6,207","11,350","8,275","9,541"
III. Tiền gửi của khách hàng,"330,306","342,998","378,559","387,326","418,929"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,75,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",58,,,,
VI. Phát hành giấy tờ có giá,"2,014","2,011","2,011","2,009","2,209"
VII. Các khoản nợ khác,"15,339","18,417","8,509","13,824","11,388"
"1. Các khoản lãi, phí phải trả","4,399","3,540","3,646","4,578","4,803"
2. Thuế TNDN hoãn lại phải trả,17,17,18,18,18
3. Các khoản phải trả và công nợ khác,"10,280","14,273","4,846","9,228","6,568"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),643,586,,,
TỔNG NỢ PHẢI TRẢ,"424,232","402,006","459,804","486,839","529,932"
VIII. Vốn và các quỹ,"43,078","43,959","44,493","43,248","44,181"
1. Vốn của TCTD,"32,421","32,421","32,421","32,421","32,421"
a. Vốn điều lệ,"23,174","23,174","23,174","26,650","26,650"
b. Vốn đầu tư XDCB,"9,201",,,,
c. Thặng dư vốn cổ phần,"9,201","9,201","5,725","5,725",
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,45,45,45,45,45
2. Quỹ của TCTD,"2,822","3,468","3,468","3,468","3,474"
3. Chênh lệch tỷ giá hối đoái,122,532,23,521,127
4. Chênh lệch đánh giá lại tài sản,82,82,82,82,82
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"7,631","7,455","8,499","6,757","8,076"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,150,153,136,139,148
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"467,459","446,118","504,432","530,226","574,260"
