VCB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
1. Đầu tư vào công ty con,962,713,0,0,
"2. Đầu tư vào công ty liên doanh, liên kết",12,726,744,723,749
3. Đầu tư dài hạn khác,"1,588","1,588","1,678","1,588","1,588"
4. Dự phòng giảm giá đầu tư dài hạn,-75,-75,-75,-75,-75
IX. Tài sản cố định,"6,551","6,724","7,030","8,540","8,333"
1. Tài sản cố định hữu hình,"4,285","4,410","4,713","5,412","5,293"
a. Nguyên giá TSCĐ,"11,176","11,485","12,026","12,865","12,930"
b. Hao mòn TSCĐ,"-6,891","-7,075","-7,313","-7,453","-7,637"
2. Tài sản cố định thuê tài chính,0,0,,,
a. Nguyên giá TSCĐ,0,0,,,
b. Hao mòn TSCĐ,0,0,,,
3. Tài sản cố định vô hình,"2,266","2,314","2,317","3,128","3,041"
a. Nguyên giá TSCĐ,"3,080","3,162","3,207","4,212","4,211"
b. Hao mòn TSCĐ,-814,-848,-889,"-1,084","-1,171"
X. Bất động sản đầu tư,0,0,,,
a. Nguyên giá BĐSĐT,0,0,,,
b. Hao mòn BĐSĐT,0,0,,,
"XI. Tài sản ""Có"" khác","20,269","20,387","24,190","21,447","24,267"
1. Các khoản phải thu,"9,272","10,771","8,220","9,201","8,547"
"2. Các khoản lãi, phí phải thu","8,570","6,871","7,931","7,206","8,422"
3. Tài sản thuế TNDN hoãn lại,408,407,6,7,910
4. Tài sản Có khác,"2,023","2,342","8,036","5,037","6,393"
- Trong đó: Lợi thế thương mại,0,0,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-4,-4,-4,-4,-4
TỔNG CỘNG TÀI SẢN,"1,144,270","1,185,262","1,188,572","1,327,537","1,278,966"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"32,453","10,326","6,051","41,177","18,538"
II. Tiền gửi và vay các TCTD khác,"43,642","48,404","52,329","103,584","80,759"
1. Tiền gửi của các TCTD khác,"42,548","46,551","50,569","100,916","78,271"
2. Vay các TCTD khác,"1,094","1,853","1,760","2,667","2,488"
III. Tiền gửi của khách hàng,"934,048","981,218","981,492","1,032,114","1,025,548"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,366,59,34,52,64
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",19,18,16,15,11
VI. Phát hành giấy tờ có giá,"21,372","21,294","21,262","21,240","21,408"
VII. Các khoản nợ khác,"27,298","34,364","33,812","30,496","31,630"
"1. Các khoản lãi, phí phải trả","10,803","10,929","10,996","9,798","9,420"
2. Thuế TNDN hoãn lại phải trả,23,0,0,0,
3. Các khoản phải trả và công nợ khác,"16,472","23,435","22,815","20,698","22,210"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,,,
TỔNG NỢ PHẢI TRẢ,"1,059,198","1,095,684","1,094,996","1,228,678","1,177,958"
VIII. Vốn và các quỹ,"85,072","89,578","93,576","98,859","101,008"
1. Vốn của TCTD,"42,429","42,429","42,429","42,429","42,429"
a. Vốn điều lệ,"37,089","37,089","37,089","37,089","37,089"
b. Vốn đầu tư XDCB,"4,995",0,0,,
c. Thặng dư vốn cổ phần,"4,995",345,"4,995","4,995","4,995"
d. Cổ phiếu quỹ,0,0,,,
e. Cổ phiếu ưu đãi,0,0,,,
g. Vốn khác,345,345,345,345,345
2. Quỹ của TCTD,"12,186","12,184","12,181","12,204","14,926"
3. Chênh lệch tỷ giá hối đoái,18,27,27,23,10
4. Chênh lệch đánh giá lại tài sản,116,0,0,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"30,235","34,845","38,841","44,118","43,553"
6. Lợi ích cổ đông không kiểm soát,88,93,98,85,90
IX. Lợi ích của cổ đông thiểu số,0,0,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"1,144,270","1,185,262","1,188,572","1,327,537","1,278,966"
