VCB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
TỔNG CỘNG TÀI SẢN,"1,303,633","1,385,235","1,414,765","1,462,748","1,602,392"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"9,077","8,709","9,468","36,310","61,021"
II. Tiền gửi và vay các TCTD khác,"84,189","106,139","109,758","81,278","171,677"
1. Tiền gửi của các TCTD khác,"80,672","101,596","104,044","75,590","159,084"
2. Vay các TCTD khác,"3,517","4,543","5,714","5,688","12,592"
III. Tiền gửi của khách hàng,"1,051,274","1,108,419","1,135,324","1,179,669","1,195,392"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,31,0,5,19,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",10,9,8,7,5
VI. Phát hành giấy tờ có giá,"21,398","21,378","17,388","17,380","14,367"
VII. Các khoản nợ khác,"32,720","31,055","31,650","31,021","36,921"
"1. Các khoản lãi, phí phải trả","9,375","10,029","9,339","10,138","10,960"
2. Thuế TNDN hoãn lại phải trả,0,0,,,
3. Các khoản phải trả và công nợ khác,"23,345","21,026","22,310","20,884","25,961"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,,,
TỔNG NỢ PHẢI TRẢ,"1,198,698","1,275,709","1,303,595","1,345,670","1,479,402"
VIII. Vốn và các quỹ,"104,935","109,527","111,171","117,078","122,990"
1. Vốn của TCTD,"42,429","42,429","42,429","52,665","52,665"
a. Vốn điều lệ,"37,089","37,089","37,089","47,325","47,325"
b. Vốn đầu tư XDCB,"4,995","4,995",,,
c. Thặng dư vốn cổ phần,"4,995","4,995",345,0,"4,995"
d. Cổ phiếu quỹ,0,0,,,
e. Cổ phiếu ưu đãi,0,0,,,
g. Vốn khác,345,345,0,345,345
2. Quỹ của TCTD,"14,917","14,919","14,977","18,173","18,172"
3. Chênh lệch tỷ giá hối đoái,2,-4,-5,-10,-2
4. Chênh lệch đánh giá lại tài sản,"53,683",0,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"47,493","52,084",87,"46,157","52,057"
6. Lợi ích cổ đông không kiểm soát,94,99,0,92,98
IX. Lợi ích của cổ đông thiểu số,0,0,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"1,303,633","1,385,235","1,414,765","1,462,748","1,602,392"
