VCB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
IX. Tài sản cố định,"7,708","7,589","7,717","8,027","8,093"
1. Tài sản cố định hữu hình,"5,116","5,047","5,171","5,467","5,531"
a. Nguyên giá TSCĐ,"14,715","14,847","15,153","15,641","15,808"
b. Hao mòn TSCĐ,"-9,599","-9,800","-9,982","-10,174","-10,278"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"2,593","2,542","2,546","2,560","2,562"
a. Nguyên giá TSCĐ,"4,907","4,907","4,960","5,028","5,073"
b. Hao mòn TSCĐ,"-2,314","-2,365","-2,414","-2,468","-2,510"
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","31,114","26,920","26,023","38,091","30,862"
1. Các khoản phải thu,"12,587","14,119","14,344","13,508","14,503"
"2. Các khoản lãi, phí phải thu","9,200","9,755","8,516","8,627","8,865"
3. Tài sản thuế TNDN hoãn lại,848,850,850,850,992
4. Tài sản Có khác,"8,494","2,211","2,324","15,116","6,516"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-15,-15,-11,-10,-14
TỔNG CỘNG TÀI SẢN,"1,839,223","1,773,714","1,905,639","1,932,362","2,085,397"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"1,671","4,141","66,988","36,293","78,237"
II. Tiền gửi và vay các TCTD khác,"213,842","171,488","218,638","217,260","234,653"
1. Tiền gửi của các TCTD khác,"193,966","163,347","210,682","209,222","223,273"
2. Vay các TCTD khác,"19,876","8,141","7,956","8,038","11,380"
III. Tiền gửi của khách hàng,"1,395,695","1,347,326","1,374,683","1,430,071","1,514,665"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,118,91,117,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",0,0,0,0,1
VI. Phát hành giấy tờ có giá,"19,913","29,905","26,901","26,901","24,125"
VII. Các khoản nợ khác,"39,442","47,149","36,726","31,422","34,760"
"1. Các khoản lãi, phí phải trả","19,527","15,789","13,664","13,931","13,990"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"19,915","31,360","23,062","17,491","20,770"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"1,670,680","1,600,099","1,723,936","1,742,065","1,886,441"
VIII. Vốn và các quỹ,"168,543","173,614","181,703","190,297","198,956"
1. Vốn của TCTD,"61,696","61,696","61,696","61,696","61,696"
a. Vốn điều lệ,"55,891","55,891","55,891","55,891","55,891"
b. Vốn đầu tư XDCB,"4,995","4,995","4,995",,
c. Thặng dư vốn cổ phần,810,810,"4,995",810,"4,995"
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,810,810,,,
2. Quỹ của TCTD,"22,562","27,447","27,454","27,453","27,453"
3. Chênh lệch tỷ giá hối đoái,-983,-960,-950,"-1,032",-968
4. Chênh lệch đánh giá lại tài sản,"85,174","85,331","102,068",,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,94,101,"93,397",111,"110,679"
6. Lợi ích cổ đông không kiểm soát,106,96,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"1,839,223","1,773,714","1,905,639","1,932,362","2,085,397"
