VCB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
a. Nguyên giá TSCĐ,"4,624","4,789","4,792","4,865","4,882"
b. Hao mòn TSCĐ,"-1,864","-1,974","-2,075","-2,184","-2,252"
X. Bất động sản đầu tư,0,0,,,
a. Nguyên giá BĐSĐT,0,0,,,
b. Hao mòn BĐSĐT,0,0,,,
"XI. Tài sản ""Có"" khác","36,489","61,397","28,402","37,009","26,061"
1. Các khoản phải thu,"24,546","24,933","15,382","24,959","13,759"
"2. Các khoản lãi, phí phải thu","8,045","9,209","10,053","8,954","9,000"
3. Tài sản thuế TNDN hoãn lại,6,927,954,953,952
4. Tài sản Có khác,"3,898","26,332","2,026","2,154","2,363"
- Trong đó: Lợi thế thương mại,0,0,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-5,-4,-12,-12,-12
TỔNG CỘNG TÀI SẢN,"1,649,664","1,814,188","1,846,431","1,704,273","1,731,306"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"93,953","67,315","62,168","2,270","2,517"
II. Tiền gửi và vay các TCTD khác,"179,759","232,511","255,334","160,661","160,234"
1. Tiền gửi của các TCTD khác,"173,006","222,041","237,183","155,314","155,074"
2. Vay các TCTD khác,"6,752","10,470","18,151","5,347","5,160"
III. Tiền gửi của khách hàng,"1,197,151","1,243,468","1,281,488","1,326,854","1,349,007"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,120,0,899,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",4,3,2,1,1
VI. Phát hành giấy tờ có giá,"14,699","25,338","27,338","16,324","15,278"
VII. Các khoản nợ khác,"35,589","107,564","75,443","46,161","44,126"
"1. Các khoản lãi, phí phải trả","12,813","12,485","15,749","19,006","22,899"
2. Thuế TNDN hoãn lại phải trả,0,0,,,
3. Các khoản phải trả và công nợ khác,"22,776","95,079","59,694","27,155","21,226"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,,,
TỔNG NỢ PHẢI TRẢ,"1,521,275","1,676,200","1,701,773","1,552,272","1,572,062"
VIII. Vốn và các quỹ,"128,390","137,988","144,658","152,001","159,244"
1. Vốn của TCTD,"53,130","53,130","53,130","53,130","61,696"
a. Vốn điều lệ,"47,325","47,325","47,325","47,325","55,891"
b. Vốn đầu tư XDCB,"4,995","4,995",0,,
c. Thặng dư vốn cổ phần,810,"4,995",810,"4,995","4,995"
d. Cổ phiếu quỹ,0,0,,,
e. Cổ phiếu ưu đãi,0,0,,,
g. Vốn khác,0,810,810,810,
2. Quỹ của TCTD,"18,123","18,133","22,557","22,564","22,563"
3. Chênh lệch tỷ giá hối đoái,-741,-863,-843,-886,-935
4. Chênh lệch đánh giá lại tài sản,"57,775","69,720",0,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,102,"67,500",94,"77,095","75,814"
6. Lợi ích cổ đông không kiểm soát,0,88,98,105,
IX. Lợi ích của cổ đông thiểu số,0,0,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"1,649,664","1,814,188","1,846,431","1,704,273","1,731,306"
