VCB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
1. Đầu tư vào công ty con,0,0,0,0,0
"2. Đầu tư vào công ty liên doanh, liên kết",699,692,783,763,775
3. Đầu tư dài hạn khác,"2,858","2,858","2,842","2,829","2,829"
4. Dự phòng giảm giá đầu tư dài hạn,-23,-26,-26,-36,-36
IX. Tài sản cố định,"4,345","4,334","4,297","5,039","4,914"
1. Tài sản cố định hữu hình,"2,721","2,724","2,694","3,386","3,248"
a. Nguyên giá TSCĐ,"6,581","6,722","6,839","7,662","7,692"
b. Hao mòn TSCĐ,"-3,860","-3,998","-4,145","-4,276","-4,443"
2. Tài sản cố định thuê tài chính,0,0,0,0,0
a. Nguyên giá TSCĐ,0,0,0,0,0
b. Hao mòn TSCĐ,0,0,0,0,0
3. Tài sản cố định vô hình,"1,624","1,610","1,602","1,654","1,665"
a. Nguyên giá TSCĐ,"2,142","2,143","2,149","2,212","2,231"
b. Hao mòn TSCĐ,-518,-533,-547,-558,-566
X. Bất động sản đầu tư,0,0,0,0,0
a. Nguyên giá BĐSĐT,0,0,0,0,0
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","9,275","7,925","9,099","10,281","10,755"
1. Các khoản phải thu,"3,509","3,525","3,507","3,838","3,400"
"2. Các khoản lãi, phí phải thu","3,503","3,323","4,397","4,842","4,759"
3. Tài sản thuế TNDN hoãn lại,2,2,2,2,3
4. Tài sản Có khác,"2,261","1,075","1,194","1,599","2,594"
- Trong đó: Lợi thế thương mại,0,0,0,0,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,-1,-1,-1,-1
TỔNG CỘNG TÀI SẢN,"539,757","576,530","615,575","673,910","662,324"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"13,894","7,793","8,878","41,480","21,561"
II. Tiền gửi và vay các TCTD khác,"31,768","48,571","55,842","72,135","65,175"
1. Tiền gửi của các TCTD khác,"27,814","31,818","47,203","51,744","45,591"
2. Vay các TCTD khác,"3,954","16,754","8,639","20,392","19,585"
III. Tiền gửi của khách hàng,"436,320","459,626","487,713","499,764","513,997"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,278,129,292,0,0
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",0,0,0,0,0
VI. Phát hành giấy tờ có giá,"2,509","2,502","2,486","2,479","2,473"
VII. Các khoản nợ khác,"10,355","12,079","16,201","11,914","11,970"
"1. Các khoản lãi, phí phải trả","4,314","4,094","4,653","4,991","4,508"
2. Thuế TNDN hoãn lại phải trả,18,18,18,19,19
3. Các khoản phải trả và công nợ khác,"6,023","7,967","11,530","6,903","7,442"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,0,0,0
TỔNG NỢ PHẢI TRẢ,"495,123","530,700","571,412","627,772","615,176"
VIII. Vốn và các quỹ,"44,634","45,830","44,163","46,138","47,148"
1. Vốn của TCTD,"32,421","32,421","32,421","32,421","32,421"
a. Vốn điều lệ,"26,650","26,650","26,650","26,650","26,650"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,"5,725","5,725","5,725","5,725","5,725"
d. Cổ phiếu quỹ,0,0,0,0,0
e. Cổ phiếu ưu đãi,0,0,0,0,0
g. Vốn khác,45,45,45,45,45
2. Quỹ của TCTD,"4,152","4,152","4,150","4,154","4,941"
3. Chênh lệch tỷ giá hối đoái,67,-62,-221,80,238
4. Chênh lệch đánh giá lại tài sản,83,83,83,89,89
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"7,760","9,081","7,572","9,228","9,314"
6. Lợi ích cổ đông không kiểm soát,151,155,158,167,145
IX. Lợi ích của cổ đông thiểu số,0,0,0,0,0
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"539,757","576,530","615,575","673,910","662,324"
