VCB,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"26,706","25,964","38,866","19,144","31,740"
II. Tiền gửi và vay các TCTD khác,"68,683","49,981","47,962","49,558","47,362"
1. Tiền gửi của các TCTD khác,"59,930","39,613","22,725","18,939","20,216"
2. Vay các TCTD khác,"8,753","10,368","25,237","30,619","27,146"
III. Tiền gửi của khách hàng,"176,650","201,216","226,909","224,479","242,630"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,0,11,0,199
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","26,996","8,218",0,0,0
VI. Phát hành giấy tờ có giá,"2,548","2,126","2,071","2,067","2,066"
VII. Các khoản nợ khác,"14,924","17,570","21,451","21,867","27,362"
"1. Các khoản lãi, phí phải trả","3,401","3,446","2,949","2,555","3,160"
2. Thuế TNDN hoãn lại phải trả,7,7,7,7,13
3. Các khoản phải trả và công nợ khác,"10,350","12,951","17,601","18,408","23,414"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),"1,166","1,166",894,898,775
TỔNG NỢ PHẢI TRẢ,"316,509","305,074","337,272","317,117","351,359"
VIII. Vốn và các quỹ,"27,555","28,533","29,335","41,644","40,153"
1. Vốn của TCTD,"18,620","20,739","20,739","32,421","32,421"
a. Vốn điều lệ,"17,588","19,698","19,698","23,174","23,174"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,987,996,996,"9,201","9,201"
d. Cổ phiếu quỹ,0,0,0,0,0
e. Cổ phiếu ưu đãi,0,0,0,0,0
g. Vốn khác,45,45,45,45,45
2. Quỹ của TCTD,"1,457","1,456","1,438","2,117","2,127"
3. Chênh lệch tỷ giá hối đoái,379,379,197,173,151
4. Chênh lệch đánh giá lại tài sản,31,31,70,70,70
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"7,068","5,927","6,891","6,863","5,384"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,144,128,143,148,151
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"344,207","333,735","366,750","358,908","391,663"
