VCB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","12,788","13,211","13,240","12,495","13,755"
1. Các khoản phải thu,"4,414","4,605","4,602","4,227","3,986"
"2. Các khoản lãi, phí phải thu","6,755","6,026","6,387","6,517","8,166"
3. Tài sản thuế TNDN hoãn lại,4,6,6,6,6
4. Tài sản Có khác,"1,618","2,576","2,248","1,749","1,602"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-2,-2,-2,-3,-3
TỔNG CỘNG TÀI SẢN,"898,484","1,035,335","1,003,906","977,682","995,111"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"67,132","171,385","131,381","71,701","81,235"
II. Tiền gửi và vay các TCTD khác,"45,505","66,942","40,590","39,530","34,176"
1. Tiền gửi của các TCTD khác,"36,846","55,804","35,261","36,605","31,218"
2. Vay các TCTD khác,"8,660","11,138","5,329","2,925","2,958"
III. Tiền gửi của khách hàng,"688,000","708,506","730,987","764,497","773,406"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,376,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",12,23,27,28,27
VI. Phát hành giấy tờ có giá,"16,257","18,215","18,295","21,172","21,095"
VII. Các khoản nợ khác,"27,331","16,198","26,560","21,775","23,646"
"1. Các khoản lãi, phí phải trả","8,028","8,467","8,487","8,153","8,531"
2. Thuế TNDN hoãn lại phải trả,19,20,20,20,21
3. Các khoản phải trả và công nợ khác,"19,285","7,711","18,054","13,602","15,094"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"844,238","981,269","947,840","919,079","933,585"
VIII. Vốn và các quỹ,"54,246","54,067","56,066","58,603","61,526"
1. Vốn của TCTD,"36,023","36,022","36,322","36,322","36,322"
a. Vốn điều lệ,"35,978","35,978","35,978","35,978","35,978"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,,,,,
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,45,44,344,345,345
2. Quỹ của TCTD,"5,933","5,916","7,254","7,259","7,254"
3. Chênh lệch tỷ giá hối đoái,88,94,96,81,108
4. Chênh lệch đánh giá lại tài sản,83,83,83,105,107
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"11,963","11,862","12,217","14,737","17,650"
6. Lợi ích cổ đông không kiểm soát,156,89,93,98,84
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"898,484","1,035,335","1,003,906","977,682","995,111"
