|code|name|exchange|cafef_url|tax_code|address|phone_number|email|website|listing_date
10|MWG|Công ty cổ phần Đầu tư Thế giới Di động|HSX|/du-lieu/hose/mwg-cngatyacaphnauatathagiiadiang.chn|0306731335|222 Yersin - P.Phú Cường - Tp.Thủ Dầu Một - T.Bình Dương|(84.28) 3812 5960|mwg@thegioididong.com|https://mwg.vn|14/07/2014
11|NVL|Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va|HSX|/du-lieu/hose/nvl-cngatyacaphnatpaonauataaacanoava.chn|0301444753|Số 313B - 315 Nam Kỳ Khởi Nghĩa - P. Võ Thị Sáu - Q.3 - Tp. HCM|(84.28) 3915 3666|info@novaland.com.vn|https://www.novaland.com.vn|28/12/2016
12|PDR|Công ty cổ phần Phát triển Bất động sản Phát Đạt|HSX|/du-lieu/hose/pdr-cngatyacaphnaphatatrinabtangasnaphatat.chn|0303493756|Số 39 Phạm Ngọc Thạch - P. Võ Thị Sáu - Q.3 - Tp.Hồ Chí Minh|(84.28) 2226 6868 (Ext: 0)|info@phatdat.com.vn|https://www.phatdat.com.vn|30/07/2010
13|PLX|Tập đoàn Xăng dầu Việt Nam|HSX|/du-lieu/hose/plx-tpaonaxngaduavitanam.chn|0100107370|Số 1 - Phố Khâm Thiên - P. Khâm Thiên - Q. Đống Đa - Tp. Hà Nội|(84.24) 3851 2603|banbientapweb@petrolimex.com.vn|https://www.petrolimex.com.vn|21/04/2017
14|PNJ|Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận|HSX|/du-lieu/hose/pnj-cngatyacaphnavngabcaaaquaphanhun.chn|0300521758|170E Phan Đăng Lưu - P.4 - Q. Phú Nhuận - Tp. Hồ Chí Minh|(84.28) 3995 1703|pnj@pnj.com.vn|https://www.pnj.com.vn|23/03/2009
15|POW|Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP|HSX|/du-lieu/hose/pow-tngacngatyainalcaduakhavitanamaactcp.chn|0102276173|Tầng 8, 9 - Tòa nhà VPI - 167 Trung Kính - Cầu Giấy - Hà Nội|(024) 22210 288|truyenthong@pvpower.vn|https://pvpower.vn|14/01/2019
16|REE|Công ty Cổ phần Cơ điện lạnh|HSX|/du-lieu/hose/ree-cngatyacaphnacainalnh.chn|0300741143|Số 364 Cộng Hòa - P. 13 - Q. Tân Bình - Tp. Hồ Chí Minh|(84.28) 3810 0017|ree@reecorp.com.vn|https://www.reecorp.com|28/07/2000
17|SBT|Công ty cổ phần Thành Thành Công - Biên Hòa|HSX|/du-lieu/hose/sbt-cngatyacaphnathnhathnhacngaabinaha.chn|3900244389|X. Tân Hưng - H. Tân Châu - T. Tây Ninh|(84.276) 375 7250|info@ttcagris.com.vn|https://ttcagris.com.vn/|25/02/2008
18|SSI|Công ty cổ phần Chứng khoán SSI|HSX|/du-lieu/hose/ssi-cngatyacaphnachngakhoanassi.chn|0301955155|Số 72 Nguyễn Huệ - P. Bến Nghé - Q.1 - Tp. Hồ Chí Minh|(84.28) 3824 2897|investorrelation@ssi.com.vn|https://www.ssi.com.vn|29/10/2007
19|STB|Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín|HSX|/du-lieu/hose/stb-ngnahngathngamiacaphnasiagnathngatn.chn|0301103908|Số 266-268 Nam Kỳ Khởi Nghĩa - P. Võ Thị Sáu - Q. 3 - Tp. HCM|(84.28) 3932 0420|hdqt-sacombank@hcm.vnn.vn|https://www.sacombank.com.vn|12/07/2006
20|TCB|Ngân hàng TMCP Kỹ Thương Việt Nam (Techcombank)|HSX|/du-lieu/hose/tcb-ngnahngatmcpakathngavitanam.chn|0100230800|Techcombank Tower - Số 06 Quang Trung - P. Trần Hưng Đạo - Q. Hoàn Kiếm - Tp. Hà Nội|(84.24) 3944 6368|ho@techcombank.com.vn|https://www.techcombank.com.vn|04/06/2018
21|TCH|Công ty cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy|HSX|/du-lieu/hose/tch-cngatyacaphnauatadchavatiachnhahongahuy.chn|0200117929|Số 116 Nguyễn Đức Cảnh - P. An Biên - Q. Lê Chân - Tp. Hải Phòng|(84.225) 361 0021|info@hoanghuy.vn|www.hoanghuy.vn|05/10/2016
22|TPB|Ngân hàng Thương mại cổ phần Tiên Phong|HSX|/du-lieu/hose/tpb-ngnahngathngamiacaphnatinaphong.chn|0102744865|Tòa nhà TPBank - 57 Lý Thường Kiệt - P. Trần Hưng Đạo - Q. Hoàn Kiếm - Tp. Hà Nội|(84.24) 3768 8998|info@tpbank.com.vn|https://tpb.vn|19/04/2018
23|VCB|Ngân hàng Thương mại cổ phần Ngoại thương Việt Nam|HSX|/du-lieu/hose/vcb-ngnahngathngamiacaphnangoiathngavitanam.chn|0100112437|Số 198 Trần Quang Khải - P. Lý Thái Tổ - Q. Hoàn Kiếm - Tp. Hà Nội|(84.24) 3934 3137|webmaster@vietcombank.com.vn|https://vietcombank.com.vn|30/06/2009
24|VHM|Công ty cổ phần Vinhomes|HSX|/du-lieu/hose/vhm-cngatyacaphnavinhomes.chn|0102671977|Tòa nhà văn phòng Symphony - Đường Chu Huy Mân - Khu đô thị Vinhomes Riverside - P. Phúc Lợi - Q. Long Biên - Tp. Hà Nội|(84.24) 3974 9350|info@vinhomes.vn|https://vinhomes.vn/|17/05/2018
25|VIC|Tập đoàn Vingroup - Công ty Cổ phần|HSX|/du-lieu/hose/vic-tpaonavingroupaacngatyacaphn.chn|0101245486|Số 07 đường Bằng Lăng 1 - KĐT Vinhomes Riverside - P. Việt Hưng - Q. Long Biên - Tp. Hà Nội|(84.24) 3974 9999 - 3974 9999|info@vingroup.net|https://www.vingroup.net/|19/09/2007
26|VJC|Công ty cổ phần Hàng không VietJet|HSX|/du-lieu/hose/vjc-cngatyacaphnahngakhngavietet.chn|0102325399|Số 302/3 phố Kim Mã - P. Ngọc Khánh - Q. Ba Đình - Tp. Hà Nội|(84.24) 3728 1828 - 7108 6668|info@vietjetair.com|https://www.vietjetair.com|28/02/2017
27|VNM|Công ty Cổ phần Sữa Việt Nam|HSX|/du-lieu/hose/vnm-cngatyacaphnasaavitanam.chn|0300588569|Tòa nhà Vinamilk - Số 10 Tân Trào - P. Tân Phú - Q. 7 - Tp. Hồ Chí Minh|(84.28) 5415 5555|vinamilk@vinamilk.com.vn|https://www.vinamilk.com.vn|19/01/2006
28|VPB|Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng|HSX|/du-lieu/hose/vpb-ngnahngathngamiacaphnavitanamathnhavng.chn|0100233583|Số 89 Láng Hạ - P. Láng Hạ - Q. Đống Đa - Tp. Hà Nội|(84.24) 3928 8869|vpb@hn.vnn.vn|https://www.vpbank.com.vn|17/08/2017
29|VRE|Công ty Cổ phần Vincom Retail|HSX|/du-lieu/hose/vre-cngatyacaphnavincomaretail.chn|0105850244|Số 7 - Đường Bằng Lăng 1 - KĐT Vinhomes Riverside - P. Việt Hưng - Q. Long Biên - Tp. Hà Nội|(84.24) 3974 9999|ir@vincom.com.vn|https://vincom.com.vn|06/11/2017
