SSB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,117
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",0,0,,,1
VI. Phát hành giấy tờ có giá,"2,900","3,728","3,728","7,228","8,137"
VII. Các khoản nợ khác,"1,986","2,144","2,234","2,625","3,027"
"1. Các khoản lãi, phí phải trả","1,796","1,798","2,097","2,501","2,830"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,190,347,136,123,197
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"105,769","118,937","114,912","123,145","119,866"
VIII. Vốn và các quỹ,"6,022","6,136","6,270","6,339","6,506"
1. Vốn của TCTD,"5,466","5,466","5,466","5,466","5,466"
a. Vốn điều lệ,"5,466","5,466","5,466","5,466","5,466"
b. Vốn đầu tư XDCB,0,0,0,,
c. Thặng dư vốn cổ phần,,,,,
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,0,0,0,,
2. Quỹ của TCTD,174,144,219,219,219
3. Chênh lệch tỷ giá hối đoái,-78,,-17,-84,-53
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,461,526,601,738,873
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"111,791","125,073","121,181","129,484","126,372"
