SSB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
4. Dự phòng giảm giá đầu tư dài hạn,-27,-27,-27,-29,-29
IX. Tài sản cố định,762,792,783,862,853
1. Tài sản cố định hữu hình,202,199,209,283,278
a. Nguyên giá TSCĐ,630,634,652,739,746
b. Hao mòn TSCĐ,-428,-436,-443,-456,-468
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,559,594,574,579,575
a. Nguyên giá TSCĐ,702,744,731,742,744
b. Hao mòn TSCĐ,-143,-151,-157,-163,-169
X. Bất động sản đầu tư,241,241,241,241,241
a. Nguyên giá BĐSĐT,248,248,249,249,250
b. Hao mòn BĐSĐT,-7,-7,-8,-8,-8
"XI. Tài sản ""Có"" khác","7,441","7,202","7,290","6,094","7,971"
1. Các khoản phải thu,"1,284","1,289","1,368","1,283","1,757"
"2. Các khoản lãi, phí phải thu","3,658","3,515","3,603","2,598","3,286"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,"2,528","2,431","2,354","2,247","2,963"
- Trong đó: Lợi thế thương mại,605,587,570,552,534
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-29,-33,-35,-35,-35
TỔNG CỘNG TÀI SẢN,"148,501","161,540","167,426","180,207","184,321"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,233,225,215,206,199
II. Tiền gửi và vay các TCTD khác,"19,100","36,085","40,288","42,517","44,399"
1. Tiền gửi của các TCTD khác,"13,166","29,001","31,388","25,388","34,423"
2. Vay các TCTD khác,"5,934","7,084","8,900","17,128","9,976"
III. Tiền gửi của khách hàng,"98,611","100,234","102,547","113,277","115,198"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,44,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",1,1,1,1,1
VI. Phát hành giấy tờ có giá,"15,299","9,794","8,916","7,065","6,619"
VII. Các khoản nợ khác,"3,949","3,779","3,660","3,472","3,679"
"1. Các khoản lãi, phí phải trả","3,235","3,045","3,041","3,065","3,115"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,714,734,619,407,564
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"137,236","150,116","155,628","166,537","170,095"
VIII. Vốn và các quỹ,"11,265","11,424","11,799","13,670","14,225"
1. Vốn của TCTD,"9,369","9,369","10,681","12,087","12,087"
a. Vốn điều lệ,"9,369","9,369","10,681","12,087","12,087"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,,,,,
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,232,232,232,456,456
3. Chênh lệch tỷ giá hối đoái,31,3,8,,0
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,633","1,820",878,"1,127","1,682"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"148,501","161,540","167,426","180,207","184,321"
