MSN,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
5. Tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"74,178","80,288","83,690","85,976","84,939"
I. Các khoản phải thu dài hạn,"1,589","1,581","1,573","1,592","1,549"
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
5. Phải thu về cho vay dài hạn,,,,,
6. Phải thu dài hạn khác,"1,589","1,581","1,573","1,592","1,549"
7. Dự phòng phải thu dài hạn khó đòi (*),,,,,
II. Tài sản cố định,"41,139","42,733","47,611","49,582","48,495"
1. Tài sản cố định hữu hình,"29,355","31,047","32,875","34,322","33,624"
- Nguyên giá,"40,132","45,816","48,476","50,778","50,810"
- Giá trị hao mòn lũy kế (*),"-10,778","-14,769","-15,601","-16,456","-17,186"
2. Tài sản cố định thuê tài chính,22,23,,,
- Nguyên giá,67,67,67,90,92
- Giá trị hao mòn lũy kế (*),-67,-67,-67,-68,-69
3. Tài sản cố định vô hình,"11,784","11,686","14,736","15,238","14,848"
- Nguyên giá,"15,146","15,549","18,844","19,594","19,415"
- Giá trị hao mòn lũy kế (*),"-3,362","-3,864","-4,108","-4,356","-4,566"
III. Bất động sản đầu tư,18,17,16,15,13
- Nguyên giá,19,19,19,19,19
- Giá trị hao mòn lũy kế (*),0,-2,-3,-4,-5
IV. Tài sản dở dang dài hạn,"3,312","3,344","3,886","2,275","2,592"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,
2. Chi phí xây dựng cơ bản dở dang,"3,312","3,344","3,886","2,275","2,592"
V. Đầu tư tài chính dài hạn,"18,039","18,656","19,507","20,353","21,292"
1. Đầu tư vào công ty con,,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"18,020","18,638","19,487","20,321","21,257"
3. Đầu tư góp vốn vào đơn vị khác,22,22,22,31,31
4. Dự phòng đầu tư tài chính dài hạn (*),-10,-11,-8,-6,-3
5. Đầu tư nắm giữ đến ngày đáo hạn,7,7,7,7,7
6. Đầu tư dài hạn khác,,,,,
VI. Tài sản dài hạn khác,"10,082","13,956","11,096","12,159","10,997"
1. Chi phí trả trước dài hạn,"5,802","5,998","6,025","6,534","6,336"
2. Tài sản thuế thu nhập hoãn lại,225,"1,164","1,261","1,794",955
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,,,,,
5. Lợi thế thương mại,"4,055","6,795","3,810","3,832","3,706"
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
TỔNG CỘNG TÀI SẢN,"105,076","105,004","109,265","115,737","116,267"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ,"53,509","73,786","80,669","90,706","90,861"
I. Nợ ngắn hạn,"33,058","37,243","37,458","38,875","37,774"
1. Phải trả người bán ngắn hạn,"5,310","5,619","5,859","6,833","7,109"
2. Người mua trả tiền trước ngắn hạn,933,"1,177",676,"1,075",560
3. Thuế và các khoản phải nộp Nhà nước,417,"1,045","1,089",941,542
4. Phải trả người lao động,380,333,341,239,290
5. Chi phí phải trả ngắn hạn,"3,648","3,496","3,876","4,705","4,018"
6. Phải trả nội bộ ngắn hạn,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,11,9,17,21,8
9. Phải trả ngắn hạn khác,177,"3,934","3,741","2,472","3,980"
10. Vay và nợ thuê tài chính ngắn hạn,"22,145","21,486","21,758","22,545","21,226"
11. Dự phòng phải trả ngắn hạn,104,64,7,5,
"12. Quỹ khen thưởng, phúc lợi",37,38,37,37,36
13. Quỹ bình ổn giá,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,
II. Nợ dài hạn,"20,451","36,542","43,211","51,832","53,087"
1. Phải trả người bán dài hạn,31,28,28,28,28
2. Người mua trả tiền trước dài hạn,,,,,
3. Chi phí phải trả dài hạn,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,
5. Phải trả nội bộ dài hạn,,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,,
7. Phải trả dài hạn khác,181,181,179,180,183
8. Vay và nợ thuê tài chính dài hạn,"17,131","27,228","31,827","39,466","42,064"
9. Trái phiếu chuyển đổi,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,"2,525","2,494","4,398","4,651","3,649"
12. Dự phòng phải trả dài hạn,583,"6,612","6,780","7,506","7,164"
13. Quỹ phát triển khoa học và công nghệ,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"51,566","31,218","28,596","25,030","25,405"
I. Vốn chủ sở hữu,"51,566","31,218","28,596","25,030","25,405"
1. Vốn góp của chủ sở hữu,"11,689","11,689","11,747","11,747","11,747"
- Cổ phiếu phổ thông có quyền biểu quyết,"11,689","11,689","11,747","11,747","11,747"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,"11,084","11,084","11,084","11,084","11,084"
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,"-8,564","-8,564","-8,564","-8,564","-8,564"
5. Cổ phiếu quỹ (*),,,,,
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,8,-209,-221,-227,-253
8. Quỹ đầu tư phát triển,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,-285,-310,,,
11. Lợi nhuận sau thuế chưa phân phối,"28,165","9,141","6,514","2,182","2,469"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"28,559","28,558","28,558","27,384","2,182"
- LNST chưa phân phối kỳ này,-394,"-19,417","-22,045","-25,201",286
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"9,183","8,075","8,035","9,093","9,233"
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"105,076","105,004","109,265","115,737","116,267"
