CTG,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
"2. Đầu tư vào công ty liên doanh, liên kết","3,204","2,915","2,994","3,114","3,254"
3. Đầu tư dài hạn khác,241,241,241,241,241
4. Dự phòng giảm giá đầu tư dài hạn,-33,-33,-33,-24,
IX. Tài sản cố định,"11,009","10,795","10,597","10,811","10,594"
1. Tài sản cố định hữu hình,"6,493","6,336","6,213","6,409","6,248"
a. Nguyên giá TSCĐ,"15,069","15,075","15,120","15,445","15,450"
b. Hao mòn TSCĐ,"-8,576","-8,739","-8,907","-9,036","-9,202"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"4,516","4,459","4,384","4,402","4,346"
a. Nguyên giá TSCĐ,"6,302","6,303","6,298","6,387","6,394"
b. Hao mòn TSCĐ,"-1,785","-1,843","-1,914","-1,986","-2,049"
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","32,767","35,079","35,956","33,730","39,865"
1. Các khoản phải thu,"22,185","24,132","25,317","22,827","27,624"
"2. Các khoản lãi, phí phải thu","7,069","7,486","7,435","7,767","9,122"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,"3,524","3,493","3,237","3,209","3,191"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-11,-33,-34,-73,-72
TỔNG CỘNG TÀI SẢN,"1,222,652","1,239,557","1,261,204","1,341,393","1,343,985"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"64,984","44,380","14,715","44,597","33,117"
II. Tiền gửi và vay các TCTD khác,"91,560","113,722","125,879","128,519","123,598"
1. Tiền gửi của các TCTD khác,"72,273","96,725","107,337","98,537","75,672"
2. Vay các TCTD khác,"19,288","16,997","18,542","29,982","47,926"
III. Tiền gửi của khách hàng,"895,751","913,320","939,175","990,331","1,003,700"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,151,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","5,812","5,704","5,661","2,733","2,685"
VI. Phát hành giấy tờ có giá,"57,066","51,266","63,076","59,876","59,876"
VII. Các khoản nợ khác,"28,516","30,145","29,376","29,941","29,171"
"1. Các khoản lãi, phí phải trả","18,701","17,348","17,093","16,083","16,267"
2. Thuế TNDN hoãn lại phải trả,45,,,,
3. Các khoản phải trả và công nợ khác,"9,338","12,382","11,738","13,090","12,107"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),478,416,545,768,752
TỔNG NỢ PHẢI TRẢ,"1,143,840","1,158,537","1,177,882","1,255,998","1,252,147"
VIII. Vốn và các quỹ,"78,811","81,019","83,322","85,395","91,837"
1. Vốn của TCTD,"46,725","46,725","46,725","46,725","46,725"
a. Vốn điều lệ,"37,234","37,234","37,234","37,234","37,234"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,"8,975","8,975","8,975","8,975","8,975"
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,516,516,516,516,516
2. Quỹ của TCTD,"9,606","9,608","9,606","11,605","11,605"
3. Chênh lệch tỷ giá hối đoái,642,544,527,482,466
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"21,288","23,580","25,895","25,985","32,438"
6. Lợi ích cổ đông không kiểm soát,552,564,569,599,603
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"1,222,652","1,239,557","1,261,204","1,341,393","1,343,985"
