CTG,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
1. Tài sản cố định hữu hình,"6,193","6,031","5,911","5,853","6,422"
a. Nguyên giá TSCĐ,"13,925","13,944","13,985","14,075","14,818"
b. Hao mòn TSCĐ,"-7,732","-7,913","-8,074","-8,222","-8,395"
2. Tài sản cố định thuê tài chính,0,,,,
a. Nguyên giá TSCĐ,0,,,,
b. Hao mòn TSCĐ,0,,,,
3. Tài sản cố định vô hình,"4,921","4,892","4,602","4,394","4,575"
a. Nguyên giá TSCĐ,"6,424","6,449","6,210","6,045","6,302"
b. Hao mòn TSCĐ,"-1,503","-1,557","-1,607","-1,651","-1,728"
X. Bất động sản đầu tư,0,,,,
a. Nguyên giá BĐSĐT,0,,,,
b. Hao mòn BĐSĐT,0,,,,
"XI. Tài sản ""Có"" khác","31,721","34,646","35,794","34,617","32,729"
1. Các khoản phải thu,"21,423","24,286","25,558","24,290","22,437"
"2. Các khoản lãi, phí phải thu","6,905","6,963","6,935","6,860","6,664"
3. Tài sản thuế TNDN hoãn lại,0,,,,
4. Tài sản Có khác,"3,401","3,405","3,310","3,476","3,639"
- Trong đó: Lợi thế thương mại,1,454,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-9,-9,-9,-9,-11
TỔNG CỘNG TÀI SẢN,"1,164,318","1,146,774","1,183,796","1,202,210","1,240,789"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"62,600","58,048","71,482","73,504","70,603"
II. Tiền gửi và vay các TCTD khác,"110,873","95,782","96,386","93,381","109,483"
1. Tiền gửi của các TCTD khác,"73,942","81,970","81,465","66,742","82,538"
2. Vay các TCTD khác,"36,931","13,813","14,921","26,639","26,945"
III. Tiền gửi của khách hàng,"825,816","824,613","846,860","865,466","892,782"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","5,934","5,907","5,902","5,817","5,776"
VI. Phát hành giấy tờ có giá,"46,216","46,216","59,516","55,116","57,066"
VII. Các khoản nợ khác,"45,410","46,082","31,152","34,046","27,724"
"1. Các khoản lãi, phí phải trả","15,820","16,204","15,777","16,806","17,835"
2. Thuế TNDN hoãn lại phải trả,0,,,,
3. Các khoản phải trả và công nợ khác,"29,166","29,434","14,947","16,746","9,403"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),423,444,428,495,486
TỔNG NỢ PHẢI TRẢ,"1,096,849","1,076,648","1,111,299","1,127,331","1,163,434"
VIII. Vốn và các quỹ,"67,469","70,125","72,497","74,879","77,356"
1. Vốn của TCTD,"46,416","46,416","46,729","46,725","46,724"
a. Vốn điều lệ,"37,234","37,234","37,234","37,234","37,234"
b. Vốn đầu tư XDCB,0,,,,
c. Thặng dư vốn cổ phần,"8,975","8,975","8,975","8,975","8,975"
d. Cổ phiếu quỹ,0,,,,
e. Cổ phiếu ưu đãi,0,,,,
g. Vốn khác,207,207,521,516,515
2. Quỹ của TCTD,"8,154","8,173","8,179","8,178","9,606"
3. Chênh lệch tỷ giá hối đoái,589,717,768,662,625
4. Chênh lệch đánh giá lại tài sản,0,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"12,010","14,513","16,232","18,752","19,837"
6. Lợi ích cổ đông không kiểm soát,300,307,589,561,563
IX. Lợi ích của cổ đông thiểu số,0,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"1,164,318","1,146,774","1,183,796","1,202,210","1,240,789"
