CTG,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
TỔNG CỘNG TÀI SẢN,"1,473,022","1,447,809","1,531,468","1,663,730","1,691,062"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"79,886","17,291","33,294","51,245","59,479"
II. Tiền gửi và vay các TCTD khác,"164,527","160,353","138,834","194,898","217,177"
1. Tiền gửi của các TCTD khác,"107,937","51,657","33,671","88,860","95,578"
2. Vay các TCTD khác,"56,590","108,696","105,163","106,037","121,599"
III. Tiền gửi của khách hàng,"1,039,520","1,072,893","1,161,797","1,212,678","1,205,567"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","2,654","2,554","2,528","2,457","2,460"
VI. Phát hành giấy tờ có giá,"64,961","70,194","64,497","67,897","65,447"
VII. Các khoản nợ khác,"28,286","28,923","36,865","36,259","38,150"
"1. Các khoản lãi, phí phải trả","15,374","15,517","16,865","19,083","20,804"
2. Thuế TNDN hoãn lại phải trả,58,0,,,
3. Các khoản phải trả và công nợ khác,"12,102","12,587","18,945","16,088","16,260"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),752,818,"1,056","1,088","1,086"
TỔNG NỢ PHẢI TRẢ,"1,379,833","1,352,208","1,437,815","1,565,434","1,588,280"
VIII. Vốn và các quỹ,"93,190","95,601","93,653","98,296","102,782"
1. Vốn của TCTD,"46,725","57,548","57,548","57,548","57,612"
a. Vốn điều lệ,"37,234","48,058","48,058","48,058","48,058"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,"8,975","8,975","8,975","8,975","8,975"
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,516,516,516,516,580
2. Quỹ của TCTD,"11,617","11,613","13,667","13,672","13,659"
3. Chênh lệch tỷ giá hối đoái,506,423,249,226,115
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"33,732","25,387","21,494","26,125","30,626"
6. Lợi ích cổ đông không kiểm soát,610,630,695,725,770
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"1,473,022","1,447,809","1,531,468","1,663,730","1,691,062"
