CTG,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
b. Hao mòn TSCĐ,"-2,521","-2,625","-2,690","-2,754","-2,822"
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","72,946","81,638","62,170","56,253","57,512"
1. Các khoản phải thu,"57,651","65,994","45,417","39,818","41,642"
"2. Các khoản lãi, phí phải thu","11,983","12,387","13,544","13,307","12,781"
3. Tài sản thuế TNDN hoãn lại,0,,,,
4. Tài sản Có khác,"3,371","3,318","3,272","3,189","3,199"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-59,-60,-62,-61,-110
TỔNG CỘNG TÀI SẢN,"1,750,790","1,809,189","1,823,962","1,860,105","1,888,338"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"98,640","104,779","100,059","5,438","21,577"
II. Tiền gửi và vay các TCTD khác,"232,869","210,160","177,279","263,938","288,613"
1. Tiền gửi của các TCTD khác,"135,559","140,662","122,251","218,049","247,169"
2. Vay các TCTD khác,"97,310","69,498","55,028","45,889","41,444"
III. Tiền gửi của khách hàng,"1,189,723","1,249,181","1,272,350","1,310,048","1,310,324"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,50,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","2,429","2,392","2,319","2,406","2,498"
VI. Phát hành giấy tờ có giá,"80,824","91,370","111,592","112,618","87,879"
VII. Các khoản nợ khác,"40,196","43,001","47,418","47,595","55,393"
"1. Các khoản lãi, phí phải trả","20,976","21,435","25,910","29,356","31,092"
2. Thuế TNDN hoãn lại phải trả,0,0,0,,
3. Các khoản phải trả và công nợ khác,"18,122","20,527","20,449","17,159","23,145"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),"1,098","1,039","1,059","1,080","1,156"
TỔNG NỢ PHẢI TRẢ,"1,644,681","1,700,884","1,711,017","1,742,044","1,766,333"
VIII. Vốn và các quỹ,"106,109","108,305","112,945","118,060","122,005"
1. Vốn của TCTD,"57,612","57,868","57,868","57,868","57,868"
a. Vốn điều lệ,"48,058","48,058","48,058","48,058","48,058"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,"8,975","8,975","8,975","8,975","8,975"
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,580,836,836,836,836
2. Quỹ của TCTD,"13,657","16,085","16,075","16,086","16,090"
3. Chênh lệch tỷ giá hối đoái,154,121,75,7,62
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"33,954","33,487","38,167","43,294","47,148"
6. Lợi ích cổ đông không kiểm soát,730,744,759,806,838
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"1,750,790","1,809,189","1,823,962","1,860,105","1,888,338"
