CTG,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
b. Hao mòn TSCĐ,"-1,138","-1,270","-1,324","-1,389","-1,442"
X. Bất động sản đầu tư,0,0,,,
a. Nguyên giá BĐSĐT,0,0,,,
b. Hao mòn BĐSĐT,0,0,,,
"XI. Tài sản ""Có"" khác","31,283","31,398","34,772","35,495","37,426"
1. Các khoản phải thu,"12,695","13,669","16,817","17,647","18,845"
"2. Các khoản lãi, phí phải thu","15,423","14,541","14,727","14,643","15,303"
3. Tài sản thuế TNDN hoãn lại,0,0,,,
4. Tài sản Có khác,"3,166","3,197","3,236","3,213","3,285"
- Trong đó: Lợi thế thương mại,3,3,2,2,1
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-2,-9,-8,-8,-8
TỔNG CỘNG TÀI SẢN,"1,062,292","1,095,022","1,114,095","1,140,081","1,172,517"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"30,734","15,207","28,085","50,176","60,514"
II. Tiền gửi và vay các TCTD khác,"113,114","115,656","111,967","84,201","123,347"
1. Tiền gửi của các TCTD khác,"73,601","69,023","62,391","49,660","75,481"
2. Vay các TCTD khác,"39,513","46,633","49,576","34,541","47,866"
III. Tiền gửi của khách hàng,"725,041","752,370","789,273","852,449","825,749"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,98,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","6,461","6,427","6,501","6,545","6,598"
VI. Phát hành giấy tờ có giá,"18,302","22,502","22,502","31,117","41,117"
VII. Các khoản nợ khác,"106,360","119,175","89,596","47,453","45,277"
"1. Các khoản lãi, phí phải trả","11,470","12,354","13,484","14,262","15,533"
2. Thuế TNDN hoãn lại phải trả,0,0,,,
3. Các khoản phải trả và công nợ khác,"94,630","106,500","75,766","32,844","29,399"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),260,322,346,346,345
TỔNG NỢ PHẢI TRẢ,"1,000,012","1,031,337","1,047,923","1,072,039","1,102,602"
VIII. Vốn và các quỹ,"62,280","63,685","66,172","68,042","69,915"
1. Vốn của TCTD,"46,209","46,209","46,209","46,209","46,209"
a. Vốn điều lệ,"37,234","37,234","37,234","37,234","37,234"
b. Vốn đầu tư XDCB,0,0,,,
c. Thặng dư vốn cổ phần,"8,975","8,975","8,975","8,975","8,975"
d. Cổ phiếu quỹ,0,0,,,
e. Cổ phiếu ưu đãi,0,0,,,
g. Vốn khác,0,0,,,
2. Quỹ của TCTD,"6,434","7,465","7,484","7,494","7,560"
3. Chênh lệch tỷ giá hối đoái,565,551,569,657,682
4. Chênh lệch đánh giá lại tài sản,0,0,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"8,797","9,165","11,603","13,372","15,153"
6. Lợi ích cổ đông không kiểm soát,276,296,306,310,312
IX. Lợi ích của cổ đông thiểu số,0,0,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"1,062,292","1,095,022","1,114,095","1,140,081","1,172,517"
