CTG,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
1. Tài sản cố định hữu hình,"6,133","5,962","5,870","5,781","6,149"
a. Nguyên giá TSCĐ,"16,641","16,640","16,701","16,773","17,254"
b. Hao mòn TSCĐ,"-10,508","-10,679","-10,831","-10,992","-11,104"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"3,992","3,959","3,893","3,842","3,853"
a. Nguyên giá TSCĐ,"6,804","6,836","6,838","6,844","6,928"
b. Hao mòn TSCĐ,"-2,812","-2,877","-2,944","-3,002","-3,075"
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","59,570","54,728","52,647","46,839","44,689"
1. Các khoản phải thu,"41,485","36,837","36,348","30,800","27,775"
"2. Các khoản lãi, phí phải thu","14,710","14,510","12,960","12,709","13,305"
3. Tài sản thuế TNDN hoãn lại,0,,,,
4. Tài sản Có khác,"3,481","3,489","3,445","3,437","3,716"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-107,-107,-107,-107,-106
TỔNG CỘNG TÀI SẢN,"2,032,690","2,077,615","2,161,429","2,229,791","2,385,384"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"21,814","46,137","111,855","95,457","154,284"
II. Tiền gửi và vay các TCTD khác,"304,424","325,516","297,409","298,637","276,135"
1. Tiền gửi của các TCTD khác,"259,893","284,967","249,374","274,382","253,520"
2. Vay các TCTD khác,"44,531","40,549","48,035","24,255","22,615"
III. Tiền gửi của khách hàng,"1,410,899","1,427,665","1,466,830","1,516,890","1,606,145"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,556,"1,378",398,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","2,238","2,201","2,233","2,105","2,180"
VI. Phát hành giấy tờ có giá,"115,376","101,544","100,257","131,826","151,678"
VII. Các khoản nợ khác,"49,813","43,969","45,495","43,890","44,620"
"1. Các khoản lãi, phí phải trả","27,875","23,927","22,414","21,278","21,026"
2. Thuế TNDN hoãn lại phải trả,0,0,0,0,
3. Các khoản phải trả và công nợ khác,"20,536","18,566","21,501","20,097","20,830"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),"1,401","1,477","1,580","2,515","2,763"
TỔNG NỢ PHẢI TRẢ,"1,905,119","1,947,033","2,025,457","2,088,805","2,235,439"
VIII. Vốn và các quỹ,"127,571","130,582","135,973","140,986","149,944"
1. Vốn của TCTD,"63,511","63,511","63,511","63,511","63,584"
a. Vốn điều lệ,"53,700","53,700","53,700","53,700","53,700"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,"8,975","8,975","8,975","8,975","8,975"
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,836,836,836,836,909
2. Quỹ của TCTD,"19,057","19,048","19,071","19,077","22,742"
3. Chênh lệch tỷ giá hối đoái,87,125,183,36,243
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"44,055","46,998","52,285","57,472","62,406"
6. Lợi ích cổ đông không kiểm soát,861,900,924,891,970
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"2,032,690","2,077,615","2,161,429","2,229,791","2,385,384"
