CTG,Q1/2009,Q3/2009,Q4/2009,Q1/2010,Q2/2010
TỔNG CỘNG TÀI SẢN,"193,281","226,570","245,412","263,812","294,638"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,802,"4,814","13,719","18,394","26,911"
II. Tiền gửi và vay các TCTD khác,"5,216","6,031","14,808","12,694","19,500"
1. Tiền gửi của các TCTD khác,"4,091","4,897","9,593","7,805","14,169"
2. Vay các TCTD khác,"1,125","1,134","5,215","4,888","5,331"
III. Tiền gửi của khách hàng,"128,096","145,200","148,507","156,691","155,131"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,236,145,0,0
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","18,181","20,931","16,847","25,466","25,004"
VI. Phát hành giấy tờ có giá,"1,038","5,145","8,585","9,214","17,875"
VII. Các khoản nợ khác,"26,577","27,595","25,605","23,647","33,618"
"1. Các khoản lãi, phí phải trả","2,684","2,145","1,715","2,209","2,853"
2. Thuế TNDN hoãn lại phải trả,0,0,0,0,0
3. Các khoản phải trả và công nợ khác,"23,893","25,165","23,636","21,110","30,448"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,285,254,328,317
TỔNG NỢ PHẢI TRẢ,"179,910","209,954","228,216","246,106","278,040"
VIII. Vốn và các quỹ,"13,371","16,411","16,989","17,510","16,403"
1. Vốn của TCTD,"8,122","12,251","12,218","12,218","11,447"
a. Vốn điều lệ,"7,722","11,286","11,253","11,253","11,253"
b. Vốn đầu tư XDCB,286,5,5,5,5
c. Thặng dư vốn cổ phần,0,863,863,863,88
d. Cổ phiếu quỹ,0,0,0,0,0
e. Cổ phiếu ưu đãi,0,0,0,0,0
g. Vốn khác,113,98,98,98,101
2. Quỹ của TCTD,"2,439","1,583","1,926","1,743","2,972"
3. Chênh lệch tỷ giá hối đoái,204,10,0,-127,188
4. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"2,606","2,568","2,845","3,676","1,797"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,205,207,196,195
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"193,281","226,570","245,412","263,812","294,638"
