SHB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
b. Hao mòn BĐSĐT,0,0,,,
"XI. Tài sản ""Có"" khác","18,724","20,838","27,128","25,946","25,355"
1. Các khoản phải thu,"2,074","4,880","13,875","10,649","11,708"
"2. Các khoản lãi, phí phải thu","9,227","8,282","8,302","9,532","8,474"
3. Tài sản thuế TNDN hoãn lại,0,,,,
4. Tài sản Có khác,"7,651","7,830","5,361","6,175","5,584"
- Trong đó: Lợi thế thương mại,0,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-228,-154,-410,-410,-411
TỔNG CỘNG TÀI SẢN,"264,300","277,994","286,905","303,831","299,698"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"2,783","2,758","2,926","2,901","2,863"
II. Tiền gửi và vay các TCTD khác,"31,526","43,217","36,593","41,064","39,814"
1. Tiền gửi của các TCTD khác,"25,883","33,243","22,732","30,037","29,242"
2. Vay các TCTD khác,"5,642","9,974","13,861","11,028","10,572"
III. Tiền gửi của khách hàng,"193,178","196,054","208,444","219,651","219,406"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,40,9,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","2,423","1,498","1,676","1,551","1,254"
VI. Phát hành giấy tờ có giá,"16,461","14,967","16,921","17,203","14,371"
VII. Các khoản nợ khác,"4,550","4,632","5,142","5,709","5,926"
"1. Các khoản lãi, phí phải trả","4,078","4,103","4,760","5,230","5,466"
2. Thuế TNDN hoãn lại phải trả,0,0,0,0,
3. Các khoản phải trả và công nợ khác,472,528,381,479,460
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,,,,
TỔNG NỢ PHẢI TRẢ,"250,921","263,126","271,702","288,120","283,644"
VIII. Vốn và các quỹ,"13,379","14,868","15,202","15,711","16,054"
1. Vốn của TCTD,"10,293","11,293","12,133","12,133","12,133"
a. Vốn điều lệ,"10,197","11,197","12,036","12,036","12,036"
b. Vốn đầu tư XDCB,0,,,,
c. Thặng dư vốn cổ phần,102,102,102,102,102
d. Cổ phiếu quỹ,-5,-5,-5,-5,-5
e. Cổ phiếu ưu đãi,0,,,,
g. Vốn khác,0,,,,
2. Quỹ của TCTD,"1,040","1,010","1,221","1,225","1,225"
3. Chênh lệch tỷ giá hối đoái,2,20,55,-2,
4. Chênh lệch đánh giá lại tài sản,0,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"2,042","2,564","1,829","2,299","2,699"
6. Lợi ích cổ đông không kiểm soát,2,,,,
IX. Lợi ích của cổ đông thiểu số,0,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"264,300","277,994","286,905","303,831","299,698"
