SHB,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
II. Tiền gửi và vay các TCTD khác,"17,664","21,476","15,909","20,111","23,558"
1. Tiền gửi của các TCTD khác,"17,664","21,476","15,909","19,187","23,558"
2. Vay các TCTD khác,0,0,0,924,0
III. Tiền gửi của khách hàng,"33,145","32,611","34,786","41,879","44,733"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,0,0,0,0
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",421,433,226,235,287
VI. Phát hành giấy tờ có giá,"2,815","6,714","11,205","4,629","4,241"
VII. Các khoản nợ khác,852,908,848,992,"1,672"
"1. Các khoản lãi, phí phải trả",624,697,524,804,922
2. Thuế TNDN hoãn lại phải trả,0,0,0,0,0
3. Các khoản phải trả và công nợ khác,217,197,298,162,725
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),11,14,26,26,25
TỔNG NỢ PHẢI TRẢ,"55,599","64,072","65,158","68,246","75,291"
VIII. Vốn và các quỹ,"5,440","5,679","5,834","6,124","5,695"
1. Vốn của TCTD,"4,909","4,909","4,909","4,909","4,909"
a. Vốn điều lệ,"4,816","4,816","4,816","4,816","4,816"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,98,98,98,98,98
d. Cổ phiếu quỹ,-5,-5,-5,-5,-5
e. Cổ phiếu ưu đãi,0,0,0,0,0
g. Vốn khác,0,0,0,0,0
2. Quỹ của TCTD,169,169,171,278,278
3. Chênh lệch tỷ giá hối đoái,0,-3,0,-6,-16
4. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,362,604,754,943,525
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,0,0,0,0
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"61,039","69,752","70,993","74,370","80,986"
