SHB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
b. Hao mòn TSCĐ,-658,-664,-681,-709,-724
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"4,307","4,311","4,310","4,315","4,319"
a. Nguyên giá TSCĐ,"4,545","4,565","4,569","4,581","4,590"
b. Hao mòn TSCĐ,-238,-254,-259,-266,-271
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","20,118","22,957","23,835","30,751","31,194"
1. Các khoản phải thu,"8,014","10,130","10,455","13,653","12,773"
"2. Các khoản lãi, phí phải thu","9,808","9,248","9,791","10,612","8,293"
3. Tài sản thuế TNDN hoãn lại,11,11,,,
4. Tài sản Có khác,"3,065","4,232","4,389","7,629","10,597"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-769,-653,-799,"-1,154",-480
TỔNG CỘNG TÀI SẢN,"323,339","333,106","341,914","357,239","365,643"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"12,097","1,232","2,783","2,755",725
II. Tiền gửi và vay các TCTD khác,"45,030","53,374","43,749","51,238","48,525"
1. Tiền gửi của các TCTD khác,"31,448","32,311","25,173","30,980","31,527"
2. Vay các TCTD khác,"13,582","21,062","18,576","20,258","16,998"
III. Tiền gửi của khách hàng,"225,226","232,940","244,466","246,240","259,351"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","1,474","1,495","1,783","2,176","2,510"
VI. Phát hành giấy tờ có giá,"16,722","20,519","24,196","28,350","26,733"
VII. Các khoản nợ khác,"6,237","6,480","7,311","8,277","9,090"
"1. Các khoản lãi, phí phải trả","5,427","5,792","6,760","7,704","8,526"
2. Thuế TNDN hoãn lại phải trả,0,0,,,
3. Các khoản phải trả và công nợ khác,810,688,551,573,564
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"306,785","316,040","324,287","339,036","346,933"
VIII. Vốn và các quỹ,"16,554","17,066","17,627","18,203","18,710"
1. Vốn của TCTD,"12,133","12,133","12,133","12,133","14,647"
a. Vốn điều lệ,"12,036","12,036","12,036","12,036","14,551"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,102,102,102,102,102
d. Cổ phiếu quỹ,-5,-5,-5,-5,-5
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"1,228","1,467","1,520","1,520","1,475"
3. Chênh lệch tỷ giá hối đoái,-15,12,,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"3,193","3,481","3,974","4,538","2,587"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"323,339","333,106","341,914","357,239","365,643"
