FPT,Q3/2007,Q4/2007,Q1/2008,Q2/2008,Q3/2008
3. Tài sản cố định vô hình,34,35,34,40,35
- Nguyên giá,47,51,54,64,63
- Giá trị hao mòn lũy kế (*),-13,-17,-20,-24,-28
III. Bất động sản đầu tư,0,0,0,0,0
- Nguyên giá,0,0,0,0,0
- Giá trị hao mòn lũy kế (*),0,0,0,0,0
IV. Tài sản dở dang dài hạn,,,,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,
2. Chi phí xây dựng cơ bản dở dang,114,8,15,26,33
V. Đầu tư tài chính dài hạn,114,330,341,332,339
1. Đầu tư vào công ty con,0,0,0,0,0
2. Đầu tư vào công ty liên kết. liên doanh,97,307,298,285,292
3. Đầu tư góp vốn vào đơn vị khác,,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),0,0,-1,-1,-1
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
6. Đầu tư dài hạn khác,17,23,44,47,48
VI. Tài sản dài hạn khác,24,37,240,287,324
1. Chi phí trả trước dài hạn,22,35,237,282,317
2. Tài sản thuế thu nhập hoãn lại,0,0,0,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,2,2,3,5,7
5. Lợi thế thương mại,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),0,0,0,0,0
TỔNG CỘNG TÀI SẢN,"3,785","5,346","6,451","6,481","6,200"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ,"1,520","3,069","3,895","3,750","3,381"
I. Nợ ngắn hạn,"1,389","3,002","3,820","3,672","3,306"
1. Phải trả người bán ngắn hạn,468,"1,006",989,"1,016","1,505"
2. Người mua trả tiền trước ngắn hạn,156,200,197,601,422
3. Thuế và các khoản phải nộp Nhà nước,20,249,205,194,175
4. Phải trả người lao động,0,72,0,2,3
5. Chi phí phải trả ngắn hạn,68,104,145,169,181
6. Phải trả nội bộ ngắn hạn,0,0,0,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,0,0,13,16,9
8. Doanh thu chưa thực hiện ngắn hạn,,,,,
9. Phải trả ngắn hạn khác,41,129,46,64,63
10. Vay và nợ thuê tài chính ngắn hạn,657,"1,249","2,218","1,618",964
11. Dự phòng phải trả ngắn hạn,0,0,0,0,0
"12. Quỹ khen thưởng, phúc lợi",-21,-8,7,-10,-15
13. Quỹ bình ổn giá,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,0,0,0,0,0
II. Nợ dài hạn,131,67,76,78,75
1. Phải trả người bán dài hạn,0,0,0,0,0
2. Người mua trả tiền trước dài hạn,,,,,
3. Chi phí phải trả dài hạn,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,
5. Phải trả nội bộ dài hạn,0,0,0,0,0
6. Doanh thu chưa thực hiện dài hạn,0,0,0,0,0
7. Phải trả dài hạn khác,12,11,10,9,6
8. Vay và nợ thuê tài chính dài hạn,119,55,65,68,68
9. Trái phiếu chuyển đổi,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,0,0,0,0,0
12. Dự phòng phải trả dài hạn,0,0,0,0,0
13. Quỹ phát triển khoa học và công nghệ,0,0,0,0,0
14. Dự phòng trợ cấp mất việc làm,0,1,0,0,0
B. VỐN CHỦ SỞ HỮU,"1,981","1,988","2,138","2,246","2,283"
I. Vốn chủ sở hữu,"1,978","1,986","2,136","2,243","2,280"
1. Vốn góp của chủ sở hữu,924,924,924,942,942
- Cổ phiếu phổ thông có quyền biểu quyết,,,,,
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,525,525,525,525,525
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,0,0,0,0,0
5. Cổ phiếu quỹ (*),0,0,0,0,-1
6. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
7. Chênh lệch tỷ giá hối đoái,1,0,0,1,0
8. Quỹ đầu tư phát triển,0,0,79,79,79
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,0,0,0,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,0,0,0,0,0
11. Lợi nhuận sau thuế chưa phân phối,496,504,608,697,736
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,,,
- LNST chưa phân phối kỳ này,,,,,
12. Nguồn vốn đầu tư XDCB,0,0,0,0,0
13. Lợi ích cổ đông không kiểm soát,,,,,
14. Quỹ dự phòng tài chính,34,34,0,0,0
II. Nguồn kinh phí và quỹ khác,3,3,3,3,3
1. Nguồn kinh phí,3,3,3,3,3
2. Nguồn kinh phí đã hình thành TSCĐ,0,0,0,0,0
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,284,289,418,486,537
TỔNG CỘNG NGUỒN VỐN,"3,785","5,346","6,451","6,481","6,200"
