FPT,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
- Nguyên giá,1,1,1,0,0
- Giá trị hao mòn lũy kế (*),-1,-1,0,0,0
3. Tài sản cố định vô hình,279,269,265,265,268
- Nguyên giá,431,433,439,449,463
- Giá trị hao mòn lũy kế (*),-151,-164,-173,-184,-195
III. Bất động sản đầu tư,,,,,
- Nguyên giá,,,,,
- Giá trị hao mòn lũy kế (*),,,,,
IV. Tài sản dở dang dài hạn,,,,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,
2. Chi phí xây dựng cơ bản dở dang,401,541,551,539,576
V. Đầu tư tài chính dài hạn,843,697,710,711,714
1. Đầu tư vào công ty con,,,,,
2. Đầu tư vào công ty liên kết. liên doanh,225,210,210,215,219
3. Đầu tư góp vốn vào đơn vị khác,,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),-39,-178,-163,-168,-168
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
6. Đầu tư dài hạn khác,657,664,663,664,663
VI. Tài sản dài hạn khác,392,456,480,523,553
1. Chi phí trả trước dài hạn,290,337,352,384,407
2. Tài sản thuế thu nhập hoãn lại,63,77,80,87,96
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,40,43,47,51,50
5. Lợi thế thương mại,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),216,216,216,216,232
TỔNG CỘNG TÀI SẢN,"14,692","14,270","14,059","15,523","15,709"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ,"7,521","7,195","6,524","7,428","7,660"
I. Nợ ngắn hạn,"7,219","6,899","6,285","7,170","7,379"
1. Phải trả người bán ngắn hạn,"1,286","1,843","1,521","1,694","1,628"
2. Người mua trả tiền trước ngắn hạn,350,359,380,342,505
3. Thuế và các khoản phải nộp Nhà nước,262,294,238,269,165
4. Phải trả người lao động,114,210,118,197,231
5. Chi phí phải trả ngắn hạn,451,346,304,306,324
6. Phải trả nội bộ ngắn hạn,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,72,6,5,5,5
8. Doanh thu chưa thực hiện ngắn hạn,234,396,401,481,606
9. Phải trả ngắn hạn khác,484,329,360,363,314
10. Vay và nợ thuê tài chính ngắn hạn,"3,923","2,858","2,831","3,476","3,570"
11. Dự phòng phải trả ngắn hạn,11,24,24,25,33
"12. Quỹ khen thưởng, phúc lợi",33,235,102,11,-2
13. Quỹ bình ổn giá,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,0,,,,
II. Nợ dài hạn,302,295,239,258,281
1. Phải trả người bán dài hạn,,,,,
2. Người mua trả tiền trước dài hạn,,,,,
3. Chi phí phải trả dài hạn,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,
5. Phải trả nội bộ dài hạn,,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,,
7. Phải trả dài hạn khác,260,272,207,209,195
8. Vay và nợ thuê tài chính dài hạn,0,22,31,48,86
9. Trái phiếu chuyển đổi,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,7,,,,
12. Dự phòng phải trả dài hạn,0,0,0,0,0
13. Quỹ phát triển khoa học và công nghệ,32,2,1,1,0
14. Dự phòng trợ cấp mất việc làm,1,0,,,
B. VỐN CHỦ SỞ HỮU,"6,153","6,182","6,529","6,990","6,904"
I. Vốn chủ sở hữu,"6,150","6,179","6,526","6,987","6,901"
1. Vốn góp của chủ sở hữu,"2,738","2,738","2,738","2,752","2,752"
- Cổ phiếu phổ thông có quyền biểu quyết,,,,,
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,49,49,49,49,49
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,,,,,
5. Cổ phiếu quỹ (*),-1,-1,-1,-1,-1
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,14,28,17,17,16
8. Quỹ đầu tư phát triển,0,67,67,67,67
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,115,115,,,
11. Lợi nhuận sau thuế chưa phân phối,"3,202","3,181","3,540","3,988","3,903"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,,,
- LNST chưa phân phối kỳ này,,,,,
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,,,,,
14. Quỹ dự phòng tài chính,146,115,115,,
II. Nguồn kinh phí và quỹ khác,3,3,3,3,3
1. Nguồn kinh phí,3,3,3,3,3
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,"1,018",894,"1,006","1,105","1,145"
TỔNG CỘNG NGUỒN VỐN,"14,692","14,270","14,059","15,523","15,709"
