SSI,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
2.1. Các khoản đầu tư nắm giữ đến ngày đáo hạn,"2,954","4,983","3,087","3,382","3,178"
2.2. Đầu tư vào công ty con,,,,,
"2.3 Đầu tư vào công ty liên kết, liên doanh",793,809,602,611,600
2.4 Đầu tư chứng khoán dài hạn,,,,,
- Chứng khoán sẵn sàng để bán,,,,,
- Chứng khoán nắm giữ đến ngày đáo hạn,,,,,
2.5 Đầu tư dài hạn khác,,,,,
2.6 Dự phòng giảm giá đầu tư dài hạn,,,,,
II. Tài sản cố định,158,171,189,172,215
1. Tài sản cố định hữu hình,113,127,136,125,142
- Nguyên giá,255,279,297,281,311
- Giá trị hao mòn lũy kế,-142,-152,-161,-156,-168
- Đánh giá TSCĐHH theo giá trị hợp lý,,,,,
2. Tài sản cố định thuê tài chính,,,,,
- Nguyên giá,,,,,
- Giá trị hao mòn lũy kế,,,,,
- Đánh giá TSCĐTTC theo giá trị hợp lý,,,,,
3. Tài sản cố định vô hình,45,44,53,46,72
- Nguyên giá,144,147,161,161,195
- Giá trị hao mòn lũy kế,-98,-103,-108,-115,-122
- Đánh giá TSCĐVH theo giá trị hợp lý,,,,,
III. Bất động sản đầu tư,192,187,233,232,266
- Nguyên giá,276,273,321,323,361
- Giá trị hao mòn lũy kế,-84,-85,-87,-90,-94
- Đánh giá BĐSĐT theo giá trị hợp lý,,,,,
IV. Chi phí xây dựng cơ bản dở dang,30,34,35,54,34
V. Tài sản dài hạn khác,106,103,107,119,137
"1. Cầm cố, thế chấp, ký quỹ, ký cược dài hạn",29,29,33,33,33
2. Chi phí trả trước dài hạn,27,24,25,22,39
3. Tài sản thuế thu nhập hoãn lại,14,14,15,30,30
4. Tiền nộp Quỹ hỗ trợ thanh toán,20,20,20,20,20
5. Tài sản dài hạn khác,,,,,
6. Lợi thế thương mại,15,15,15,15,15
VI. Dự phòng suy giảm giá trị tài sản dài hạn,,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),"41,910","47,604","50,793","50,081","43,272"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ (300=310+340),"30,510","35,526","36,573","35,013","28,905"
I. Nợ ngắn hạn,"30,452","35,461","36,479","34,946","28,845"
1. Vay và nợ thuê tài chính ngắn hạn,"27,578","34,213","31,121","33,131","25,755"
1.1. Vay ngắn hạn,"27,578","34,213","31,121","33,131","25,755"
1.2 Nợ thuê tài sản tài chính ngắn hạn,,,,,
2. Vay tài sản tài chính ngắn hạn,,,,,
3. Trái phiếu chuyển đổi ngắn hạn,,,,,
4. Trái phiếu phát hành ngắn hạn,,,,,
5. Vay quỹ hỗ trợ thanh toán,,,,,
6. Phải trả hoạt động giao dịch chứng khoán,97,418,180,83,27
7. Phải trả về lỗi giao dịch các tài sản tài chính,,,,,
8. Phải trả người bán ngắn hạn,93,10,22,9,25
9. Người mua trả tiền trước ngắn hạn,4,4,6,7,13
10. Thuế và các khoản phải nộp Nhà nước,258,254,353,314,180
11. Phải trả người lao động,14,14,138,100,99
12. Các khoản trích nộp phúc lợi nhân viên,0,0,0,1,1
13. Chi phí phải trả ngắn hạn,69,119,98,80,65
14. Phải trả nội bộ ngắn hạn,,,,,
15. Doanh thu chưa thực hiện ngắn hạn,7,4,2,4,3
"16. Nhận ký quỹ, ký cược ngắn hạn",2,1,1,1,1
"17. Các khoản phải trả, phải nộp khác ngắn hạn","2,080",171,"4,312","1,068","2,348"
"Phải trả hộ cổ tức, gốc và lãi trái phiếu",,,,,
Phải trả tổ chức phát hành chứng khoán,,,,,
18. Dự phòng phải trả ngắn hạn,,,,,
Giao dịch mua bán lại trái phiếu chính phủ,,,,,
19. Quỹ khen thưởng phúc lợi,252,252,246,147,329
II. Nợ dài hạn,58,65,94,67,60
1. Vay và nợ thuê tài chính dài hạn,,,,,
1.1. Vay dài hạn,,,,,
1.2 Nợ thuê tài sản tài chính dài hạn,,,,,
2. Vay tài sản tài chính dài hạn,,,,,
3. Trái phiếu chuyển đổi dài hạn,,,,,
4. Trái phiếu phát hành dài hạn,,,,,
5. Phải trả người bán dài hạn,,,,,
6. Người mua trả tiền trước dài hạn,,,,,
7. Chi phí phải trả dài hạn,,,,,
8. Phải trả nội bộ dài hạn,,,,,
9. Doanh thu chưa thực hiện dài hạn,53,53,53,53,53
"10. Nhận ký quỹ, ký cược dài hạn",,,,,
"11. Phải trả, phải nộp khác dài hạn",,,,,
Vốn nhận ủy thác đầu tư dài hạn,,,,,
Dự phòng trợ cấp mất việc làm,,,,,
12. Dự phòng phải trả dài hạn,,,,,
13. Dự phòng bồi thường thiệt hại cho nhà đầu tư,,,,,
14. Thuế thu nhập hoãn lại phải trả,5,12,41,15,7
15. Quỹ phát triển khoa học và công nghệ,,,,,
B. VỐN CHỦ SỞ HỮU (400=410+420),"11,400","12,078","14,220","15,068","14,367"
I. Vốn chủ sở hữu,"11,400","12,078","14,220","15,068","14,367"
1. Vốn đầu tư của chủ sở hữu,"7,378","9,532","10,643","10,746","10,746"
1.1. Vốn góp của chủ sở hữu,"6,573","8,756","9,848","9,948","9,948"
a. Cổ phiếu phổ thông,"6,573","8,756","9,848","9,948","9,948"
b. Cổ phiếu ưu đãi,,,,,
1.2. Thặng dư vốn cổ phần,826,797,817,817,817
1.3. Quyền chọn chuyển đổi trái phiếu,,,,,
1.4. Vốn khác của chủ sở hữu,,,,,
1.5. Cổ phiếu quỹ,-21,-21,-22,-19,-19
2. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,-4,-4,-4,-4,-4
3. Chênh lệch tỷ giá hối đoái,38,34,34,35,41
4. Quỹ dự trữ điều lệ,580,61,61,61,61
Quỹ đầu tư phát triển,,,,,
5. Quỹ dự phòng tài chính và rủi ro nghề nghiệp,496,496,496,496,
6. Quỹ khác thuộc vốn chủ sở hữu,,,,,
7. Lợi nhuận sau thuế chưa phân phối,"2,849","1,897","2,928","3,635","3,379"
7.1. Lợi nhuận đã thực hiện,"2,842","1,904","2,799","3,589","3,422"
7.2. Lợi nhuận chưa thực hiện,6,-7,129,46,-43
Nguồn vốn đầu tư XDCB,,,,,
Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
8. Lợi ích cổ đông không nắm quyền kiểm soát,63,62,63,99,144
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
TỔNG CỘNG NGUỒN VỐN  (440=300+400),"41,910","47,604","50,793","50,081","43,272"
LỢI NHUẬN ĐÃ PHÂN PHỐI CHO NHÀ ĐẦU TƯ,,,,,
1. Lợi nhuận đã phân phối cho Nhà đầu tư trong năm,,,,,
