SSI,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
2.6. Chi phí hoạt động tự doanh,10,14,1,4,12
2.7. Chi phí môi giới chứng khoán,297,319,252,312,394
"2.8. Chi phí hoạt động bảo lãnh, đại lý phát hành chứng  khoán",3,,,1,4
2.9. Chi phí tư vấn,12,39,6,13,12
"2.10. Chi phí hoạt động đấu giá, ủy thác",,,,,
2.11. Chi phí lưu ký chứng khoán,11,12,11,12,11
2.12. Chi phí khác,54,61,50,85,57
"Trong đó: Chi phí sửa lỗi giao dịch chứng khoán, lỗi khác",,,,,
- Chi phí trực tiếp hoạt động kinh doanh chứng khoán,,,,,
- Chi phí dự phòng chứng khoán,,,,,
Cộng chi phí hoạt động (21->33),553,641,393,463,653
Lợi nhuận gộp của hoạt động kinh doanh,795,710,"1,097","1,217","1,289"
III. DOANH THU HOẠT ĐỘNG TÀI CHÍNH,,,,,
3.1. Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,1,1,1,0,6
"3.2. Doanh thu, dự thu cổ tức, lãi tiền gửi không cố định phát sinh trong kỳ",4,21,9,4,5
"3.3. Lãi bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",,1,,,
3.4. Doanh thu khác về đầu tư,11,82,9,22,18
Cộng doanh thu hoạt động tài chính (41->44),16,106,19,27,30
IV. CHÍ PHÍ TÀI CHÍNH,,,,,
4.1. Chênh lệch lỗ tỷ giá hối đoái đã và chưa thưc hiện,57,-10,7,15,0
4.2. Chi phí lãi vay,237,251,392,428,357
"4.3. Lỗ bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",,,,,
4.4. Chi phí đầu tư khác,28,209,23,5,0
Cộng chi phí tài chính (51->54),322,449,422,448,357
V. CHI PHÍ BÁN HÀNG,,,,,
VI. CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,75,86,77,90,81
VII. KẾT QUẢ HOẠT ĐỘNG,415,281,617,706,880
VIII. THU NHẬP KHÁC VÀ CHI PHÍ KHÁC,,,,,
8.1. Thu nhập khác,1,8,0,0,0
8.2. Chi phí khác,0,1,0,0,0
Cộng kết quả hoạt động khác,0,7,0,0,0
"Lãi/lỗ từ công ty liên doanh, liên kết",,,,,
IX. TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ,415,289,618,707,880
9.1. Lợi nhuận đã thực hiện,517,281,490,687,876
9.2. Lợi nhuận chưa thực hiện,-102,7,128,19,4
X. CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP,79,55,115,139,170
10.1. Chi phí thuế TNDN hiện hành,93,39,119,125,165
10.2. Chi phí thuế TNDN hoãn lại,-14,15,-5,14,5
XI.  LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN,336,234,503,567,710
11.1. Lợi nhuận sau thuế phân bổ cho chủ sở hữu,336,234,503,563,711
"11.2. Lợi nhuận sau thuế trích các Quỹ (Quỹ dự trữ điều lệ, Quỹ Dự phòng tài chính và rủi ro nghề nghiệp theo quy định của Điều lệ Công ty là %)",,,,,
11.3.  Lợi nhuận thuần phân bổ cho  lợi ích cổ đông không kiểm soát,0,0,0,4,-1
XII. THU NHẬP (LỖ) TOÀN DIỆN KHÁC SAU THUẾ TNDN,,,,,
12.1. Lãi/(Lỗ) từ đánh giá lại các khoản đầu tư giữ đến ngày đáo hạn,,,,,
12.2.Lãi/(Lỗ) từ đánh giá lại các tài sản tài chính sẵn sàng để bán,,-2,-11,2,-8
"12.3. Lãi (lỗ) toàn diện khác được chia từ hoạt động đầu tư vào công ty con, đầu tư liên kết, liên doanh",,,,,
12.4. Lãi/(Lỗ) từ đánh giá lại các công cụ tài chính phái sinh,,,,,
12.5. Lãi/(lỗ) chênh lệch tỷ giá của hoạt động tại nước ngoài,,,,,
"12.6. Lãi, lỗ từ các khoản đầu tư vào công ty con. Công ty liên kết, liên doanh chưa chia",,,,,
"12.7. Lãi, lỗ đánh giá công cụ phái sinh",,,,,
"12.8. Lãi, lỗ đánh giá lại tài sản cố định theo mô hình giá trị hợp lý",,,,,
Tổng thu nhập toàn diện,,-2,-11,2,-8
Thu nhập toàn diện phân bổ cho chủ sở hữu,,,,,
Thu nhập toàn diện phân bổ cho cổ đông không nắm quyền kiểm soát,,,,,
XIII. THU NHẬP THUẦN TRÊN CỔ PHIẾU PHỔ THÔNG,,,,,
13.1.Lãi cơ bản trên cổ phiếu (Đồng/1 cổ phiếu),,,,,
13.2.Thu nhập pha loãng trên cổ phiếu (Đồng/1 cổ phiếu),,,,,
